Detailed Statistics Departures  
Origin Airport: Columbia, MO: Columbia Regional (COU)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","2959","N719SK","ORD","10:21","10:14","87","78","-7","10:24","10","0","0","0","0","0"
"OO","12/01/2021","3128","N730EV","DFW","19:37","19:41","103","108","4","19:53","12","0","0","0","0","0"
"OO","12/01/2021","3177","N754EV","DFW","06:01","05:55","109","108","-6","06:12","17","0","0","0","0","0"
"OO","12/01/2021","3285","N870DC","DFW","12:38","12:29","102","94","-9","12:41","12","0","0","0","0","0"
"OO","12/01/2022","3177","N726SK","DFW","05:45","05:49","111","126","4","06:31","42","19","0","0","0","0"
"OO","12/01/2022","3285","N756SK","DFW","14:36","14:46","109","107","10","15:04","18","0","0","0","0","0"
"OO","12/02/2021","2959","N719EV","ORD","10:18","10:10","87","80","-8","10:25","15","0","0","0","0","0"
"OO","12/02/2021","2960","N705SK","ORD","05:36","05:27","98","78","-9","05:44","17","0","0","0","0","0"
"OO","12/02/2021","2964","N718EV","DFW","19:37","19:30","103","95","-7","19:41","11","0","0","0","0","0"
"OO","12/02/2021","3177","N763SK","DFW","06:01","06:01","109","94","0","06:12","11","0","0","0","0","0"
"OO","12/02/2021","3285","N742SK","DFW","12:38","12:34","102","91","-4","12:44","10","0","0","0","0","0"
"OO","12/02/2022","3177","N771SK","DFW","05:45","05:39","111","104","-6","05:52","13","0","0","0","0","0"
"OO","12/02/2022","3285","N713EV","DFW","14:36","14:39","109","101","3","14:50","11","0","0","0","0","0"
"OO","12/03/2021","2959","N738EV","ORD","10:18","10:07","87","86","-11","10:26","19","0","0","0","0","0"
