Detailed Statistics Departures  
Origin Airport: Columbia, SC: Columbia Metropolitan (CAE)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3807","N218NN","DFW","07:20","07:19","183","172","-1","07:30","11","0","0","0","0","0"
"MQ","12/01/2021","3892","N267NN","DFW","16:07","16:29","181","163","22","16:43","14","0","0","0","0","0"
"MQ","12/02/2021","3807","N205NN","DFW","07:20","07:14","183","159","-6","07:24","10","0","0","0","0","0"
"MQ","12/02/2021","3892","N259NN","DFW","16:07","16:13","181","163","6","16:21","8","0","0","0","0","0"
"MQ","12/02/2021","4116","N209NN","DFW","11:56","12:00","179","155","4","12:08","8","0","0","0","0","0"
"MQ","12/03/2021","3807","N210NN","DFW","07:20","07:18","183","158","-2","07:27","9","0","0","0","0","0"
"MQ","12/03/2021","3892","N257NN","DFW","16:07","16:13","181","169","6","16:24","11","0","0","0","0","0"
"MQ","12/03/2021","4116","N212NN","DFW","11:56","12:04","179","167","8","12:17","13","0","0","0","0","0"
"MQ","12/04/2021","3807","N247NN","DFW","07:20","07:17","183","158","-3","07:27","10","0","0","0","0","0"
"MQ","12/04/2021","3892","N241NN","DFW","16:07","16:05","181","175","-2","16:22","17","0","0","0","0","0"
"MQ","12/04/2021","4116","N282NN","DFW","11:56","12:03","179","174","7","12:16","13","0","0","0","0","0"
"MQ","12/05/2021","3807","N221NN","DFW","07:20","07:15","183","157","-5","07:23","8","0","0","0","0","0"
"MQ","12/05/2021","3892","N202NN","DFW","16:07","16:35","181","161","28","16:43","8","0","0","0","0","0"
"MQ","12/06/2021","3807","N272NN","DFW","07:20","07:14","183","182","-6","07:25","11","0","0","0","0","0"
"MQ","12/06/2021","3892","N269NN","DFW","16:07","16:03","181","173","-4","16:13","10","0","0","0","0","0"
"MQ","12/06/2021","4116","N220NN","DFW","11:56","12:36","179","193","40","12:52","16","16","0","14","0","24"
"MQ","12/07/2021","3807","N212NN","DFW","07:20","07:17","183","183","-3","07:27","10","0","0","0","0","0"
"MQ","12/07/2021","3892","N219NN","DFW","16:07","16:03","181","181","-4","16:17","14","0","0","0","0","0"
"MQ","12/08/2021","3807","N219NN","DFW","07:20","07:21","183","170","1","07:30","9","0","0","0","0","0"
"MQ","12/08/2021","3892","N240NN","DFW","16:07","16:05","181","187","-2","16:18","13","0","0","0","0","0"
"MQ","12/09/2021","3807","N276NN","DFW","07:20","07:23","183","174","3","07:34","11","0","0","0","0","0"
"MQ","12/09/2021","3892","N222NS","DFW","16:07","16:01","181","172","-6","16:13","12","0","0","0","0","0"
"MQ","12/09/2021","4116","N207AN","DFW","11:56","12:12","179","169","16","12:23","11","0","0","0","0","0"
"MQ","12/10/2021","3807","N243NN","DFW","07:20","07:17","183","175","-3","07:25","8","0","0","0","0","0"
"MQ","12/10/2021","3892","N228NN","DFW","16:07","16:13","181","179","6","16:24","11","0","0","0","0","0"
"MQ","12/10/2021","4116","N267NN","DFW","11:56","11:52","179","176","-4","12:04","12","0","0","0","0","0"
"MQ","12/11/2021","3807","N212NN","DFW","07:20","07:19","183","187","-1","07:28","9","0","0","0","0","0"
"MQ","12/11/2021","3892","N265NN","DFW","16:07","16:21","181","188","14","16:32","11","6","0","7","0","8"
"MQ","12/11/2021","4116","N213NN","DFW","11:56","13:02","179","168","66","13:12","10","2","0","0","0","53"
"MQ","12/12/2021","3807","N214NN","DFW","07:20","07:17","183","178","-3","07:32","15","0","0","0","0","0"
"MQ","12/12/2021","3892","N292NN","DFW","16:07","16:00","181","168","-7","16:10","10","0","0","0","0","0"
"MQ","12/13/2021","3807","N273NN","DFW","07:20","07:14","183","173","-6","07:34","20","0","0","0","0","0"
"MQ","12/13/2021","3892","N257NN","DFW","16:07","16:07","181","162","0","16:17","10","0","0","0","0","0"
"MQ","12/13/2021","4116","N255NN","DFW","11:56","11:55","179","162","-1","12:04","9","0","0","0","0","0"
