Detailed Statistics Departures  
Origin Airport: Columbia, SC: Columbia Metropolitan (CAE)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1246","N919AT","ATL","10:25","10:22","70","57","-3","10:37","15","0","0","0","0","0"
"DL","12/01/2021","1262","N921AT","ATL","08:45","08:39","77","61","-6","08:55","16","0","0","0","0","0"
"DL","12/01/2021","1267","N990AT","ATL","06:50","06:49","72","53","-1","07:00","11","0","0","0","0","0"
"DL","12/01/2021","1589","N938AT","ATL","15:51","15:48","74","67","-3","16:08","20","0","0","0","0","0"
"DL","12/01/2021","1612","N928AT","ATL","05:30","05:26","67","57","-4","05:39","13","0","0","0","0","0"
"DL","12/01/2021","2209","N955AT","ATL","13:38","13:32","71","52","-6","13:40","8","0","0","0","0","0"
"DL","12/01/2022","1151","N938AT","ATL","11:40","11:51","72","55","11","12:00","9","0","0","0","0","0"
"DL","12/01/2022","1530","N970AT","ATL","14:28","14:21","72","64","-7","14:38","17","0","0","0","0","0"
"DL","12/01/2022","1693","N378NW","ATL","05:30","05:20","70","60","-10","05:37","17","0","0","0","0","0"
"DL","12/01/2022","2551","N986AT","ATL","06:50","06:44","77","62","-6","07:00","16","0","0","0","0","0"
"DL","12/01/2023","1067","N985AT","ATL","18:02","17:54","69","72","-8","18:12","18","0","0","0","0","0"
"DL","12/01/2023","2102","N891AT","ATL","14:31","14:29","71","73","-2","14:41","12","0","0","0","0","0"
"DL","12/01/2023","2407","N394DA","ATL","05:20","05:19","62","63","-1","05:33","14","0","0","0","0","0"
"DL","12/01/2023","2415","N816DN","ATL","06:54","06:54","70","66","0","07:04","10","0","0","0","0","0"
"DL","12/02/2021","1246","N932AT","ATL","10:25","10:23","70","63","-2","10:41","18","0","0","0","0","0"
"DL","12/02/2021","1262","N925AT","ATL","08:45","08:42","77","58","-3","08:53","11","0","0","0","0","0"
"DL","12/02/2021","1267","N934AT","ATL","06:50","06:48","72","55","-2","06:58","10","0","0","0","0","0"
"DL","12/02/2021","1589","N939AT","ATL","15:51","15:46","74","52","-5","15:56","10","0","0","0","0","0"
"DL","12/02/2021","1612","N966AT","ATL","05:30","05:27","67","56","-3","05:40","13","0","0","0","0","0"
"DL","12/02/2021","2209","N977AT","ATL","13:38","13:33","71","59","-5","13:45","12","0","0","0","0","0"
"DL","12/02/2022","1060","N950AT","ATL","17:29","17:21","70","69","-8","17:38","17","0","0","0","0","0"
"DL","12/02/2022","1151","N950AT","ATL","11:40","11:36","72","57","-4","11:48","12","0","0","0","0","0"
"DL","12/02/2022","1530","N921AT","ATL","14:28","14:23","72","63","-5","14:34","11","0","0","0","0","0"
"DL","12/02/2022","1693","N376NW","ATL","05:30","05:30","70","80","0","06:09","39","0","0","0","0","0"
"DL","12/02/2022","2551","N946AT","ATL","06:50","06:52","77","69","2","07:14","22","0","0","0","0","0"
"DL","12/02/2023","1067","N979AT","ATL","18:02","17:48","69","68","-14","17:58","10","0","0","0","0","0"
"DL","12/02/2023","2102","N980AT","ATL","14:31","14:32","71","66","1","14:41","9","0","0","0","0","0"
"DL","12/02/2023","2407","N373DA","ATL","05:20","05:15","62","61","-5","05:25","10","0","0","0","0","0"
"DL","12/02/2023","2415","N875DN","ATL","06:54","06:53","70","71","-1","07:05","12","0","0","0","0","0"
"DL","12/03/2021","1246","N932AT","ATL","10:25","10:22","70","59","-3","10:37","15","0","0","0","0","0"
"DL","12/03/2021","1262","N965AT","ATL","08:45","08:44","77","61","-1","08:58","14","0","0","0","0","0"
"DL","12/03/2021","1267","N993AT","ATL","06:50","06:48","72","60","-2","07:04","16","0","0","0","0","0"
"DL","12/03/2021","1589","N939AT","ATL","15:51","15:41","74","56","-10","15:54","13","0","0","0","0","0"
"DL","12/03/2021","1612","N932AT","ATL","05:30","05:34","67","57","4","05:43","9","0","0","0","0","0"
"DL","12/03/2021","2209","N948AT","ATL","13:38","13:32","71","53","-6","13:44","12","0","0","0","0","0"
"DL","12/03/2022","1151","N921AT","ATL","11:40","11:32","72","75","-8","11:57","25","0","0","0","0","0"
"DL","12/03/2022","1530","N933AT","ATL","15:30","15:25","71","61","-5","15:39","14","0","0","0","0","0"
"DL","12/03/2022","1693","N129DN","ATL","05:30","05:34","70","57","4","05:45","11","0","0","0","0","0"
"DL","12/03/2022","2551","N938AT","ATL","06:50","06:47","77","59","-3","06:58","11","0","0","0","0","0"
"DL","12/03/2023","1067","N957AT","ATL","18:02","17:53","69","60","-9","18:02","9","0","0","0","0","0"
"DL","12/03/2023","2102","N939AT","ATL","14:31","14:23","71","70","-8","14:42","19","0","0","0","0","0"
"DL","12/03/2023","2407","N372DA","ATL","05:20","05:16","62","58","-4","05:28","12","0","0","0","0","0"
"DL","12/03/2023","2415","N906DN","ATL","06:54","06:50","70","67","-4","07:07","17","0","0","0","0","0"
"DL","12/04/2021","1246","N977AT","ATL","10:25","10:20","70","66","-5","10:38","18","0","0","0","0","0"
"DL","12/04/2021","1262","N947AT","ATL","09:00","08:56","77","54","-4","09:07","11","0","0","0","0","0"
"DL","12/04/2021","1267","N979AT","ATL","06:50","06:48","72","61","-2","07:02","14","0","0","0","0","0"
"DL","12/04/2021","2209","N926AT","ATL","13:00","12:55","68","50","-5","13:03","8","0","0","0","0","0"
"DL","12/04/2021","2490","N982AT","ATL","17:25","17:43","69","52","18","17:51","8","0","0","0","0","0"
"DL","12/04/2022","1060","N943AT","ATL","17:31","17:19","70","59","-12","17:29","10","0","0","0","0","0"
"DL","12/04/2022","1151","N927AT","ATL","11:40","11:31","72","67","-9","11:44","13","0","0","0","0","0"
"DL","12/04/2022","1530","N945AT","ATL","14:28","14:19","72","57","-9","14:31","12","0","0","0","0","0"
"DL","12/04/2022","1693","N355NW","ATL","05:30","05:28","70","67","-2","05:38","10","0","0","0","0","0"
"DL","12/04/2022","2551","N988AT","ATL","06:50","06:55","77","59","5","07:09","14","0","0","0","0","0"
"DL","12/04/2023","2102","N980AT","ATL","14:31","14:23","71","70","-8","14:40","17","0","0","0","0","0"
"DL","12/04/2023","2407","N3749D","ATL","05:20","05:19","62","59","-1","05:31","12","0","0","0","0","0"
"DL","12/04/2023","2415","N864DN","ATL","06:54","06:48","70","63","-6","07:03","15","0","0","0","0","0"
"DL","12/05/2021","1246","N971AT","ATL","10:21","10:19","71","63","-2","10:27","8","0","0","0","0","0"
"DL","12/05/2021","1262","N608AT","ATL","08:45","08:36","80","61","-9","08:49","13","0","0","0","0","0"
"DL","12/05/2021","1589","N928AT","ATL","15:26","15:18","70","66","-8","15:32","14","0","0","0","0","0"
"DL","12/05/2021","1612","N971AT","ATL","05:30","05:28","70","59","-2","05:42","14","0","0","0","0","0"
"DL","12/05/2021","2209","N942AT","ATL","13:25","13:21","69","64","-4","13:30","9","0","0","0","0","0"
"DL","12/05/2022","1060","N981AT","ATL","17:31","17:23","70","71","-8","17:36","13","0","0","0","0","0"
"DL","12/05/2022","1151","N966AT","ATL","11:40","11:35","72","76","-5","11:56","21","0","0","0","0","0"
"DL","12/05/2022","1530","N608AT","ATL","14:28","14:24","72","71","-4","14:37","13","0","0","0","0","0"
"DL","12/05/2022","1693","N337NW","ATL","05:30","05:32","70","58","2","05:44","12","0","0","0","0","0"
"DL","12/05/2022","2551","N985AT","ATL","06:42","06:36","76","73","-6","06:52","16","0","0","0","0","0"
"DL","12/05/2023","1067","N896AT","ATL","18:02","17:57","69","64","-5","18:11","14","0","0","0","0","0"
"DL","12/05/2023","2102","N932AT","ATL","14:31","14:18","71","60","-13","14:32","14","0","0","0","0","0"
"DL","12/05/2023","2407","N378DA","ATL","05:20","05:13","62","60","-7","05:27","14","0","0","0","0","0"
"DL","12/05/2023","2415","N818DA","ATL","06:54","06:53","70","69","-1","07:14","21","0","0","0","0","0"
"DL","12/06/2021","1246","N952AT","ATL","10:21","10:19","71","75","-2","10:38","19","0","0","0","0","0"
"DL","12/06/2021","1262","N717JL","ATL","08:45","08:44","80","66","-1","09:00","16","0","0","0","0","0"
"DL","12/06/2021","1267","N947AT","ATL","06:50","06:50","77","62","0","07:02","12","0","0","0","0","0"
"DL","12/06/2021","1589","N971AT","ATL","15:26","15:24","70","67","-2","15:35","11","0","0","0","0","0"
"DL","12/06/2021","1612","N607AT","ATL","05:30","05:27","70","57","-3","05:37","10","0","0","0","0","0"
"DL","12/06/2021","2209","N929AT","ATL","13:25","13:23","69","60","-2","13:33","10","0","0","0","0","0"
"DL","12/06/2022","1060","N997AT","ATL","17:31","17:22","70","77","-9","17:40","18","0","0","0","0","0"
"DL","12/06/2022","1151","N985AT","ATL","11:46","11:59","72","66","13","12:10","11","0","0","0","0","0"
"DL","12/06/2022","1530","N979AT","ATL","14:28","14:29","72","63","1","14:39","10","0","0","0","0","0"
"DL","12/06/2022","1693","N325US","ATL","05:30","05:51","70","80","21","06:01","10","21","0","10","0","0"
