Detailed Statistics Departures  
Origin Airport: Columbus, GA: Columbus Airport (CSG)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/17/2021","5919","N918FJ","DFW","07:45","07:43","164","162","-2","08:14","31","0","0","0","0","0"
"YV","12/18/2021","5919","N939LR","DFW","07:45","07:53","164","168","8","08:08","15","0","0","0","0","0"
"YV","12/19/2021","5919","","DFW","07:45","00:00","164","0","0","00:00","0","0","0","0","0","0"
"YV","12/20/2021","5919","N915FJ","DFW","07:45","08:18","164","145","33","08:35","17","0","0","0","0","0"
"YV","12/21/2021","5919","N953LR","DFW","07:45","07:55","164","144","10","08:14","19","0","0","0","0","0"
"YV","12/22/2021","5919","N249LR","DFW","07:45","08:24","164","161","39","08:35","11","36","0","0","0","0"
"YV","12/23/2021","5919","N329MS","DFW","07:45","07:56","164","162","11","08:24","28","0","0","0","0","0"
"YV","12/24/2021","5919","N934FJ","DFW","07:45","07:39","164","153","-6","08:11","32","0","0","0","0","0"
"YV","12/25/2021","5919","N245LR","DFW","07:45","07:37","164","134","-8","07:50","13","0","0","0","0","0"
"YV","12/26/2021","5919","N942LR","DFW","07:45","08:20","164","160","35","08:41","21","31","0","0","0","0"
"YV","12/27/2021","5919","N913FJ","DFW","07:45","08:04","164","159","19","08:26","22","0","0","0","0","0"
"YV","12/28/2021","5919","N246LR","DFW","07:45","07:59","164","148","14","08:13","14","0","0","0","0","0"
"YV","12/29/2021","5919","N957LR","DFW","07:45","07:45","164","151","0","07:59","14","0","0","0","0","0"
"YV","12/30/2021","5919","N943LR","DFW","07:45","07:46","164","175","1","08:09","23","0","0","0","0","0"
"YV","12/31/2021","5919","N957LR","DFW","07:45","07:37","164","154","-8","07:54","17","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
