Detailed Statistics Departures  
Origin Airport: Columbus, GA: Columbus Airport (CSG)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3297","N872DC","DFW","08:08","08:05","140","139","-3","08:21","16","0","0","0","0","0"
"OO","12/01/2022","3056","N603SK","DFW","16:06","16:25","150","137","19","16:37","12","0","0","0","0","0"
"OO","12/01/2023","3662","N693CA","ATL","12:09","12:04","50","48","-5","12:23","19","0","0","0","0","0"
"OO","12/01/2023","3684","N823SK","ATL","06:30","06:26","56","42","-4","06:41","15","0","0","0","0","0"
"OO","12/01/2023","4092","N822SK","ATL","16:59","16:54","54","46","-5","17:12","18","0","0","0","0","0"
"OO","12/02/2021","3297","N751EV","DFW","08:01","08:05","140","141","4","08:21","16","0","0","0","0","0"
"OO","12/02/2022","3056","N764SK","DFW","16:06","17:21","150","135","75","17:31","10","60","0","0","0","0"
"OO","12/02/2023","3662","N800SK","ATL","14:03","14:19","54","43","16","14:29","10","0","0","0","0","0"
"OO","12/02/2023","3684","N822SK","ATL","06:30","06:25","56","46","-5","06:41","16","0","0","0","0","0"
"OO","12/03/2021","3297","N763SK","DFW","08:01","08:12","140","146","11","08:34","22","17","0","0","0","0"
"OO","12/03/2022","3056","N709EV","DFW","16:06","16:00","150","138","-6","16:12","12","0","0","0","0","0"
"OO","12/03/2023","3662","N823SK","ATL","12:09","12:06","50","51","-3","12:19","13","0","0","0","0","0"
"OO","12/03/2023","3684","N823SK","ATL","06:30","06:43","56","70","13","07:14","31","13","0","14","0","0"
"OO","12/03/2023","4092","N824SK","ATL","16:59","16:54","54","48","-5","17:10","16","0","0","0","0","0"
"OO","12/04/2021","3297","N724SK","DFW","08:01","10:02","140","132","121","10:15","13","113","0","0","0","0"
