Detailed Statistics Departures  
Origin Airport: Corpus Christi, TX: Corpus Christi International (CRP)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2023","6091","N244LR","IAH","07:20","12:07","72","67","287","12:26","19","282","0","0","0","0"
"YV","12/01/2023","6133","N241LR","IAH","05:20","05:09","73","64","-11","05:23","14","0","0","0","0","0"
"YV","12/02/2022","6057","N85358","IAH","16:18","16:18","67","58","0","16:29","11","0","0","0","0","0"
"YV","12/02/2023","6091","N943LR","IAH","07:20","07:13","72","50","-7","07:24","11","0","0","0","0","0"
"YV","12/03/2022","5839","N958LR","DFW","10:28","10:20","83","79","-8","10:35","15","0","0","0","0","0"
"YV","12/03/2022","5840","N934FJ","DFW","14:27","14:56","85","76","29","15:07","11","0","0","0","0","20"
"YV","12/03/2023","6091","N329MS","IAH","07:20","07:19","72","74","-1","07:41","22","0","0","0","0","0"
"YV","12/03/2023","6166","N933LR","IAH","16:13","16:04","71","55","-9","16:15","11","0","0","0","0","0"
"YV","12/04/2022","6057","N80343","IAH","16:18","16:08","67","60","-10","16:23","15","0","0","0","0","0"
"YV","12/04/2023","6091","N948LR","IAH","07:20","07:11","72","60","-9","07:21","10","0","0","0","0","0"
"YV","12/05/2022","6057","N85351","IAH","16:18","16:17","67","64","-1","16:29","12","0","0","0","0","0"
"YV","12/05/2023","6091","N934FJ","IAH","07:20","07:13","72","70","-7","07:30","17","0","0","0","0","0"
"YV","12/05/2023","6166","N245LR","IAH","16:13","16:03","71","71","-10","16:20","17","0","0","0","0","0"
"YV","12/06/2023","6091","N947LR","IAH","07:20","07:18","72","91","-2","08:04","46","0","0","17","0","0"
"YV","12/06/2023","6166","N329MS","IAH","16:13","16:08","71","59","-5","16:17","9","0","0","0","0","0"
"YV","12/07/2023","6091","N241LR","IAH","07:20","07:10","72","69","-10","07:27","17","0","0","0","0","0"
"YV","12/08/2023","6091","N943LR","IAH","07:20","07:09","72","66","-11","07:19","10","0","0","0","0","0"
"YV","12/09/2022","6057","N86347","IAH","16:18","16:12","67","67","-6","16:29","17","0","0","0","0","0"
"YV","12/09/2023","6091","N922FJ","IAH","07:20","13:27","72","60","367","13:38","11","0","0","0","0","355"
"YV","12/09/2023","6166","N245LR","IAH","16:13","16:02","71","71","-11","16:14","12","0","0","0","0","0"
"YV","12/10/2022","5839","N902FJ","DFW","10:28","10:38","83","80","10","10:50","12","0","0","0","0","0"
"YV","12/10/2022","5840","N244LR","DFW","14:27","06:55","85","143","988","08:14","79","0","979","58","0","9"
"YV","12/10/2023","6091","N249LR","IAH","07:20","07:21","72","61","1","07:34","13","0","0","0","0","0"
"YV","12/10/2023","6166","N927LR","IAH","16:13","16:28","71","62","15","16:41","13","0","0","0","0","0"
"YV","12/11/2022","6057","N88332","IAH","16:18","16:12","67","54","-6","16:20","8","0","0","0","0","0"
"YV","12/11/2023","6091","N922FJ","IAH","07:20","08:53","72","66","93","09:14","21","87","0","0","0","0"
"YV","12/12/2022","6057","N80343","IAH","16:18","16:15","67","57","-3","16:27","12","0","0","0","0","0"
"YV","12/12/2023","6091","N950LR","IAH","07:20","07:11","72","69","-9","07:30","19","0","0","0","0","0"
"YV","12/12/2023","6166","N87318","IAH","16:13","16:05","71","77","-8","16:38","33","0","0","0","0","0"
"YV","12/13/2023","6091","N934FJ","IAH","07:20","07:20","72","88","0","08:04","44","0","0","16","0","0"
"YV","12/13/2023","6166","N244LR","IAH","16:13","16:07","71","72","-6","16:35","28","0","0","0","0","0"
"YV","12/14/2023","6091","N329MS","IAH","07:20","07:18","72","59","-2","07:33","15","0","0","0","0","0"
"YV","12/15/2022","5797","N948LR","DFW","12:30","12:33","85","82","3","12:51","18","0","0","0","0","0"
"YV","12/15/2022","5844","N249LR","DFW","18:30","18:32","85","74","2","18:44","12","0","0","0","0","0"
"YV","12/15/2023","6091","N920FJ","IAH","07:20","07:21","72","89","1","08:07","46","0","0","18","0","0"
"YV","12/16/2022","5797","N928LR","DFW","12:30","14:37","85","0","127","00:00","0","0","0","0","0","0"
"YV","12/16/2022","5844","N952LR","DFW","18:30","18:34","85","84","4","18:48","14","0","0","0","0","0"
"YV","12/16/2022","6082","N88325","IAH","07:15","07:04","67","61","-11","07:14","10","0","0","0","0","0"
"YV","12/16/2023","6091","N948LR","IAH","07:20","07:12","72","66","-8","07:26","14","0","0","0","0","0"
"YV","12/16/2023","6166","N919FJ","IAH","16:13","16:46","71","57","33","16:56","10","19","0","0","0","0"
"YV","12/17/2022","5844","N902FJ","DFW","18:30","18:27","85","83","-3","18:38","11","0","0","0","0","0"
"YV","12/17/2022","6082","N89342","IAH","07:15","07:06","67","55","-9","07:16","10","0","0","0","0","0"
"YV","12/17/2023","6091","N927LR","IAH","07:20","07:12","72","85","-8","07:40","28","0","0","0","0","0"
"YV","12/18/2022","5797","N957LR","DFW","12:30","12:18","85","81","-12","12:30","12","0","0","0","0","0"
"YV","12/18/2022","5844","N934FJ","DFW","18:30","18:21","85","82","-9","18:35","14","0","0","0","0","0"
"YV","12/18/2022","6082","N82333","IAH","07:15","07:04","67","53","-11","07:14","10","0","0","0","0","0"
"YV","12/18/2023","6091","N948LR","IAH","07:20","07:17","72","83","-3","07:44","27","0","0","0","0","0"
"YV","12/19/2022","5797","N248LR","DFW","12:30","12:25","85","76","-5","12:36","11","0","0","0","0","0"
"YV","12/19/2022","6082","N87339","IAH","07:15","07:07","67","50","-8","07:17","10","0","0","0","0","0"
"YV","12/19/2023","6091","N943LR","IAH","07:20","07:12","72","54","-8","07:22","10","0","0","0","0","0"
"YV","12/19/2023","6166","N934FJ","IAH","16:13","15:59","71","57","-14","16:13","14","0","0","0","0","0"
"YV","12/20/2022","6082","N87339","IAH","07:15","07:09","67","64","-6","07:25","16","0","0","0","0","0"
"YV","12/20/2023","6091","N946LR","IAH","07:20","07:15","72","59","-5","07:31","16","0","0","0","0","0"
"YV","12/20/2023","6166","N950LR","IAH","16:13","16:03","71","62","-10","16:21","18","0","0","0","0","0"
"YV","12/21/2022","5797","N950LR","DFW","12:30","12:21","85","79","-9","12:31","10","0","0","0","0","0"
"YV","12/21/2022","5844","N245LR","DFW","18:30","18:21","85","78","-9","18:35","14","0","0","0","0","0"
"YV","12/21/2022","6082","N88335","IAH","07:15","09:03","67","61","108","09:13","10","102","0","0","0","0"
"YV","12/21/2023","6028","N86316","IAH","09:30","09:18","72","57","-12","09:31","13","0","0","0","0","0"
"YV","12/22/2022","5797","N905J","DFW","12:30","19:20","85","83","410","19:29","9","0","0","0","0","408"
"YV","12/22/2022","5844","N326MS","DFW","18:30","20:23","85","86","113","20:31","8","0","0","1","0","113"
"YV","12/22/2022","6082","N85351","IAH","07:15","07:01","67","64","-14","07:16","15","0","0","0","0","0"
"YV","12/22/2023","6028","N82314","IAH","09:30","09:22","72","61","-8","09:33","11","0","0","0","0","0"
"YV","12/22/2023","6277","N905J","IAH","16:15","16:28","70","59","13","16:39","11","0","0","0","0","0"
"YV","12/23/2022","5797","N958LR","DFW","12:30","13:42","85","88","72","13:54","12","0","32","3","0","40"
"YV","12/23/2022","5844","N930LR","DFW","18:30","18:58","85","78","28","19:10","12","0","0","0","0","21"
"YV","12/23/2022","6082","N87339","IAH","07:15","07:34","67","73","19","07:55","21","25","0","0","0","0"
"YV","12/23/2023","6028","N82314","IAH","09:30","09:22","72","55","-8","09:34","12","0","0","0","0","0"
"YV","12/23/2023","6277","N922FJ","IAH","16:15","17:30","70","94","75","17:51","21","36","0","24","0","39"
"YV","12/24/2022","6082","N87306","IAH","07:15","07:15","67","53","0","07:22","7","0","0","0","0","0"
"YV","12/24/2023","6028","N86344","IAH","09:30","09:23","72","62","-7","09:41","18","0","0","0","0","0"
"YV","12/24/2023","6277","N249LR","IAH","16:15","15:56","70","65","-19","16:09","13","0","0","0","0","0"
"YV","12/25/2022","6082","N86311","IAH","07:15","08:10","67","55","55","08:19","9","0","0","43","0","0"
"YV","12/25/2023","6028","N86324","IAH","09:30","09:22","72","57","-8","09:35","13","0","0","0","0","0"
"YV","12/25/2023","6264","N86316","IAH","07:01","06:50","72","57","-11","07:03","13","0","0","0","0","0"
"YV","12/25/2023","6277","N951LR","IAH","16:15","16:10","70","62","-5","16:19","9","0","0","0","0","0"
"YV","12/26/2022","5797","N958LR","DFW","12:30","12:26","85","85","-4","12:38","12","0","0","0","0","0"
"YV","12/26/2022","5844","N944LR","DFW","18:30","18:16","85","83","-14","18:25","9","0","0","0","0","0"
"YV","12/26/2022","6082","N85351","IAH","07:15","07:06","67","57","-9","07:17","11","0","0","0","0","0"
"YV","12/26/2023","6028","N249LR","IAH","09:30","09:20","72","50","-10","09:31","11","0","0","0","0","0"
"YV","12/26/2023","6277","N245LR","IAH","16:15","16:08","70","49","-7","16:19","11","0","0","0","0","0"
"YV","12/27/2022","5844","N249LR","DFW","18:30","18:15","85","97","-15","18:26","11","0","0","0","0","0"
"YV","12/27/2022","6082","N87318","IAH","07:15","07:03","67","63","-12","07:15","12","0","0","0","0","0"
"YV","12/27/2023","6028","N88325","IAH","09:30","09:21","72","60","-9","09:31","10","0","0","0","0","0"
"YV","12/27/2023","6277","N944LR","IAH","16:15","16:06","70","64","-9","16:20","14","0","0","0","0","0"
"YV","12/28/2022","5797","N951LR","DFW","12:30","12:20","85","92","-10","12:32","12","0","0","0","0","0"
"YV","12/28/2022","5844","N933LR","DFW","18:30","19:43","85","78","73","19:55","12","0","0","0","0","66"
"YV","12/28/2022","6082","N88301","IAH","07:15","07:06","67","66","-9","07:17","11","0","0","0","0","0"
"YV","12/28/2023","6028","N88327","IAH","09:30","09:23","72","75","-7","09:42","19","0","0","0","0","0"
"YV","12/28/2023","6277","N905J","IAH","16:15","16:11","70","60","-4","16:21","10","0","0","0","0","0"
"YV","12/29/2022","5797","N957LR","DFW","12:30","12:44","85","73","14","12:55","11","0","0","0","0","0"
"YV","12/29/2022","5844","N922FJ","DFW","18:30","18:22","85","83","-8","18:37","15","0","0","0","0","0"
"YV","12/29/2022","6082","N89308","IAH","07:15","07:07","67","61","-8","07:19","12","0","0","0","0","0"
"YV","12/29/2023","6028","N89321","IAH","09:30","09:17","72","70","-13","09:33","16","0","0","0","0","0"
"YV","12/29/2023","6277","N922FJ","IAH","16:15","16:04","70","63","-11","16:18","14","0","0","0","0","0"
"YV","12/30/2022","5797","N326MS","DFW","12:30","12:50","85","75","20","13:04","14","0","0","0","0","0"
"YV","12/30/2022","5844","N927LR","DFW","18:30","18:34","85","79","4","18:44","10","0","0","0","0","0"
"YV","12/30/2022","6082","N89349","IAH","07:15","07:43","67","58","28","07:54","11","19","0","0","0","0"
"YV","12/30/2023","6028","N86344","IAH","09:30","09:21","72","63","-9","09:31","10","0","0","0","0","0"
"YV","12/30/2023","6277","N329MS","IAH","16:15","16:04","70","65","-11","16:18","14","0","0","0","0","0"
"YV","12/31/2022","6082","N82333","IAH","07:15","07:09","67","65","-6","07:21","12","0","0","0","0","0"
"YV","12/31/2023","6028","N85352","IAH","09:30","09:28","72","58","-2","09:37","9","0","0","0","0","0"
"YV","12/31/2023","6277","N947LR","IAH","16:15","16:05","70","84","-10","16:18","13","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
