Detailed Statistics Departures  
Origin Airport: Corpus Christi, TX: Corpus Christi International (CRP)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0026","N447WN","HOU","10:20","10:29","55","65","9","10:54","25","9","0","10","0","0"
"WN","12/01/2021","0050","N463WN","HOU","16:45","16:40","60","52","-5","16:54","14","0","0","0","0","0"
"WN","12/01/2022","0012","N7888A","HOU","07:15","07:08","60","43","-7","07:17","9","0","0","0","0","0"
"WN","12/01/2022","0044","N8654B","HOU","15:05","15:01","55","49","-4","15:13","12","0","0","0","0","0"
"WN","12/01/2022","0058","N436WN","HOU","18:15","18:06","60","45","-9","18:17","11","0","0","0","0","0"
"WN","12/01/2022","1583","N8737L","HOU","10:55","10:51","55","46","-4","11:01","10","0","0","0","0","0"
"WN","12/01/2023","0012","N289CT","HOU","07:00","06:59","60","52","-1","07:09","10","0","0","0","0","0"
"WN","12/01/2023","0026","N8511K","HOU","10:50","10:45","55","56","-5","11:05","20","0","0","0","0","0"
"WN","12/01/2023","0062","N8708Q","HOU","19:40","19:36","60","46","-4","19:45","9","0","0","0","0","0"
"WN","12/01/2023","1817","N8898L","HOU","15:10","15:10","60","51","0","15:25","15","0","0","0","0","0"
"WN","12/02/2021","0026","N927WN","HOU","10:20","10:16","55","45","-4","10:23","7","0","0","0","0","0"
"WN","12/02/2021","0050","N441WN","HOU","16:45","16:37","60","56","-8","16:57","20","0","0","0","0","0"
"WN","12/02/2022","0012","N493WN","HOU","07:15","07:06","60","45","-9","07:15","9","0","0","0","0","0"
"WN","12/02/2022","0044","N8716B","HOU","15:05","15:05","55","57","0","15:25","20","0","0","0","0","0"
"WN","12/02/2022","0058","N472WN","HOU","18:15","18:10","60","58","-5","18:27","17","0","0","0","0","0"
"WN","12/02/2022","1583","N7813P","HOU","10:55","10:57","55","49","2","11:07","10","0","0","0","0","0"
"WN","12/02/2023","0004","N408WN","HOU","07:00","06:58","60","55","-2","07:14","16","0","0","0","0","0"
"WN","12/02/2023","5009","N8566Z","HOU","13:05","13:01","60","47","-4","13:11","10","0","0","0","0","0"
"WN","12/03/2021","0026","N7728D","HOU","10:20","11:20","55","52","60","11:31","11","57","0","0","0","0"
"WN","12/03/2021","0050","N550WN","HOU","16:45","16:47","60","58","2","17:04","17","0","0","0","0","0"
"WN","12/03/2022","0010","N7862A","HOU","06:35","06:30","55","46","-5","06:38","8","0","0","0","0","0"
"WN","12/03/2022","0301","N8674B","HOU","10:00","09:55","60","41","-5","10:02","7","0","0","0","0","0"
"WN","12/03/2022","1855","N8735L","HOU","14:35","14:34","55","45","-1","14:43","9","0","0","0","0","0"
"WN","12/03/2023","0012","N260WN","HOU","07:00","06:58","60","54","-2","07:09","11","0","0","0","0","0"
"WN","12/03/2023","0026","N7736A","HOU","10:50","11:02","55","41","12","11:08","6","0","0","0","0","0"
"WN","12/03/2023","0062","N8802Q","HOU","19:40","19:39","60","50","-1","19:51","12","0","0","0","0","0"
"WN","12/03/2023","1817","N8825Q","HOU","15:10","15:09","60","53","-1","15:23","14","0","0","0","0","0"
"WN","12/04/2021","2738","N773SA","HOU","12:10","12:08","60","49","-2","12:19","11","0","0","0","0","0"
"WN","12/04/2021","3819","N734SA","HOU","06:25","06:59","55","48","34","07:10","11","0","27","0","0","0"
"WN","12/04/2022","0010","N7839A","HOU","06:35","06:35","60","44","0","06:43","8","0","0","0","0","0"
"WN","12/04/2022","0044","N7749B","HOU","14:50","14:48","55","52","-2","15:04","16","0","0","0","0","0"
"WN","12/04/2022","0058","N7814B","HOU","18:05","18:02","60","48","-3","18:15","13","0","0","0","0","0"
"WN","12/04/2022","1583","N8663A","HOU","11:20","11:15","55","50","-5","11:24","9","0","0","0","0","0"
"WN","12/04/2023","0012","N408WN","HOU","07:00","06:55","60","0","-5","07:09","14","0","0","0","0","0"
"WN","12/04/2023","0026","N8305E","HOU","10:50","10:47","55","48","-3","10:57","10","0","0","0","0","0"
"WN","12/04/2023","0062","N1811U","HOU","19:40","19:36","60","41","-4","19:43","7","0","0","0","0","0"
"WN","12/04/2023","1817","N8651A","HOU","15:10","15:09","60","54","-1","15:27","18","0","0","0","0","0"
"WN","12/05/2021","0056","N8650F","HOU","12:20","12:16","60","48","-4","12:24","8","0","0","0","0","0"
"WN","12/05/2021","0598","N563WN","HOU","07:20","07:38","60","45","18","07:46","8","0","0","0","0","0"
"WN","12/05/2021","2850","N7713A","HOU","17:40","17:39","65","78","-1","18:18","39","0","0","0","0","0"
"WN","12/05/2022","0012","N7740A","HOU","07:15","07:10","60","63","-5","07:22","12","0","0","0","0","0"
"WN","12/05/2022","0044","N550WN","HOU","15:05","15:00","55","48","-5","15:10","10","0","0","0","0","0"
"WN","12/05/2022","0058","N448WN","HOU","18:15","18:12","60","46","-3","18:21","9","0","0","0","0","0"
"WN","12/05/2022","1583","N909WN","HOU","10:55","10:48","55","46","-7","10:56","8","0","0","0","0","0"
"WN","12/05/2023","0012","N435WN","HOU","07:00","06:58","60","58","-2","07:09","11","0","0","0","0","0"
"WN","12/05/2023","0026","N8583Z","HOU","10:50","10:44","55","46","-6","10:53","9","0","0","0","0","0"
"WN","12/05/2023","0062","N8501V","HOU","19:40","19:35","60","46","-5","19:44","9","0","0","0","0","0"
