Detailed Statistics Departures  
Origin Airport: Dallas, TX: Dallas Love Field (DAL)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1533","N944AT","ATL","18:47","18:44","122","115","-3","18:57","13","0","0","0","0","0"
"DL","12/01/2021","2229","N928AT","ATL","10:41","10:37","118","122","-4","10:59","22","0","0","0","0","0"
"DL","12/01/2021","2888","N988AT","ATL","16:26","16:24","122","111","-2","16:34","10","0","0","0","0","0"
"DL","12/01/2021","2914","N925AT","ATL","12:36","12:33","121","115","-3","12:46","13","0","0","0","0","0"
"DL","12/01/2021","2921","N940AT","ATL","07:00","06:57","126","110","-3","07:12","15","0","0","0","0","0"
"DL","12/01/2022","1668","N936AT","ATL","07:00","06:58","124","106","-2","07:10","12","0","0","0","0","0"
"DL","12/01/2022","2069","N971AT","ATL","16:30","17:03","122","117","33","17:14","11","18","0","0","0","10"
"DL","12/01/2022","2108","N924AT","ATL","12:07","12:01","121","102","-6","12:11","10","0","0","0","0","0"
"DL","12/01/2022","2275","N955AT","ATL","18:58","18:58","121","111","0","19:14","16","0","0","0","0","0"
"DL","12/01/2023","1156","N323NB","LAX","12:25","12:25","212","192","0","12:38","13","0","0","0","0","0"
"DL","12/01/2023","1163","N335NB","LAX","19:20","19:22","213","197","2","19:33","11","0","0","0","0","0"
"DL","12/01/2023","1210","N365NB","LAX","07:15","07:07","215","205","-8","07:19","12","0","0","0","0","0"
"DL","12/01/2023","1432","N325NB","ATL","13:59","13:57","122","119","-2","14:20","23","0","0","0","0","0"
"DL","12/01/2023","2016","N362NB","ATL","15:40","15:43","125","108","3","15:53","10","0","0","0","0","0"
"DL","12/01/2023","2554","N334NB","ATL","17:35","17:27","125","105","-8","17:38","11","0","0","0","0","0"
"DL","12/01/2023","2566","N335NB","ATL","06:00","05:53","125","110","-7","06:05","12","0","0","0","0","0"
"DL","12/01/2023","2736","N333NB","ATL","10:34","10:31","122","111","-3","10:48","17","0","0","0","0","0"
"DL","12/02/2021","1533","N955AT","ATL","18:47","18:44","122","120","-3","18:55","11","0","0","0","0","0"
"DL","12/02/2021","2229","N981AT","ATL","10:41","10:42","118","117","1","10:56","14","0","0","0","0","0"
"DL","12/02/2021","2888","N938AT","ATL","16:26","16:22","122","114","-4","16:35","13","0","0","0","0","0"
"DL","12/02/2021","2914","N608AT","ATL","12:36","12:29","121","112","-7","12:40","11","0","0","0","0","0"
"DL","12/02/2021","2921","N926AT","ATL","07:00","06:52","126","113","-8","07:03","11","0","0","0","0","0"
"DL","12/02/2022","1668","N896AT","ATL","07:00","07:00","124","107","0","07:11","11","0","0","0","0","0"
"DL","12/02/2022","2069","N991AT","ATL","16:30","16:28","122","108","-2","16:41","13","0","0","0","0","0"
"DL","12/02/2022","2108","N993AT","ATL","12:07","12:03","121","104","-4","12:15","12","0","0","0","0","0"
"DL","12/02/2022","2275","N927AT","ATL","18:58","18:55","121","109","-3","19:08","13","0","0","0","0","0"
