Detailed Statistics Departures  
Origin Airport: Dayton, OH: James M Cox/Dayton International (DAY)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5050","N514AE","DCA","09:45","09:42","84","74","-3","09:56","14","0","0","0","0","0"
"OH","12/01/2021","5083","N571NN","PHL","05:23","05:18","102","92","-5","05:36","18","0","0","0","0","0"
"OH","12/01/2021","5227","N547NN","CLT","13:30","13:27","104","82","-3","13:39","12","0","0","0","0","0"
"OH","12/01/2021","5234","N585NN","CLT","06:34","06:32","116","102","-2","07:03","31","0","0","0","0","0"
"OH","12/01/2021","5238","N504AE","PHL","07:32","07:20","102","85","-12","07:32","12","0","0","0","0","0"
"OH","12/01/2021","5261","N596NN","DCA","06:16","06:13","86","101","-3","06:48","35","0","0","0","0","0"
"OH","12/01/2021","5321","N576NN","CLT","17:18","17:12","102","91","-6","17:24","12","0","0","0","0","0"
"OH","12/01/2021","5477","N514AE","DCA","20:07","20:07","83","87","0","20:21","14","0","0","0","0","0"
"OH","12/01/2021","5545","N525AE","DCA","14:44","14:34","84","89","-10","14:47","13","0","0","0","0","0"
"OH","12/01/2022","5055","N567NN","CLT","19:55","19:44","100","93","-11","20:02","18","0","0","0","0","0"
"OH","12/01/2022","5144","N535EA","DCA","09:36","09:27","88","90","-9","09:54","27","0","0","0","0","0"
"OH","12/01/2022","5234","N559NN","CLT","06:45","06:47","109","103","2","07:15","28","0","0","0","0","0"
"OH","12/01/2022","5238","N612NN","PHL","08:00","07:52","104","106","-8","08:16","24","0","0","0","0","0"
"OH","12/01/2022","5261","N575NN","DCA","07:42","07:37","97","91","-5","07:59","22","0","0","0","0","0"
"OH","12/01/2022","5285","N559NN","CLT","12:15","12:05","100","104","-10","12:22","17","0","0","0","0","0"
"OH","12/01/2022","5545","N535EA","DCA","14:06","14:06","88","98","0","14:22","16","0","0","0","0","0"
"OH","12/01/2023","5050","N569NN","DCA","09:34","09:24","86","79","-10","09:36","12","0","0","0","0","0"
"OH","12/01/2023","5157","N571NN","DFW","07:27","07:20","182","179","-7","07:32","12","0","0","0","0","0"
"OH","12/01/2023","5227","N598NN","CLT","13:19","13:10","99","95","-9","13:25","15","0","0","0","0","0"
"OH","12/01/2023","5242","N500AE","CLT","08:40","08:30","98","100","-10","08:47","17","0","0","0","0","0"
"OH","12/01/2023","5247","N527EA","DCA","19:52","19:44","86","92","-8","19:59","15","0","0","0","0","0"
"OH","12/01/2023","5261","N511AE","DCA","06:04","06:25","89","74","21","06:37","12","0","0","0","0","0"
