Detailed Statistics Departures  
Origin Airport: Daytona Beach, FL: Daytona Beach International (DAB)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/15/2022","3419","N208AN","DFW","16:34","16:32","186","182","-2","16:44","12","0","0","0","0","0"
"MQ","12/16/2022","3419","N292NN","DFW","16:34","16:31","186","188","-3","16:43","12","0","0","0","0","0"
"MQ","12/17/2022","3419","N280NN","DFW","16:34","16:25","186","186","-9","16:38","13","0","0","0","0","0"
"MQ","12/18/2022","3419","N228NN","DFW","16:34","16:34","186","177","0","16:38","4","0","0","0","0","0"
"MQ","12/19/2022","3419","N202NN","DFW","16:34","16:34","186","219","0","17:02","28","0","0","33","0","0"
"MQ","12/20/2022","3419","N231AN","DFW","16:34","16:42","186","175","8","16:53","11","0","0","0","0","0"
"MQ","12/21/2022","3419","N206NN","DFW","16:34","16:28","186","177","-6","16:37","9","0","0","0","0","0"
"MQ","12/22/2022","3419","N260NN","DFW","16:34","18:32","186","187","118","18:42","10","0","0","1","0","118"
"MQ","12/23/2022","3419","N203NN","DFW","16:34","16:32","186","180","-2","16:42","10","0","0","0","0","0"
"MQ","12/26/2022","3419","N272NN","DFW","16:34","16:31","186","171","-3","16:40","9","0","0","0","0","0"
"MQ","12/27/2022","3419","N232NN","DFW","16:34","16:31","186","184","-3","16:44","13","0","0","0","0","0"
"MQ","12/28/2022","3419","N250NN","DFW","16:34","16:31","186","190","-3","16:45","14","0","0","0","0","0"
"MQ","12/29/2022","3419","N266NN","DFW","16:34","16:35","186","177","1","16:46","11","0","0","0","0","0"
"MQ","12/30/2022","3419","N212NN","DFW","16:34","16:46","186","173","12","17:01","15","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
