Detailed Statistics Departures  
Origin Airport: Deadhorse, AK: Deadhorse Airport (SCC)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0555","N612AS","ANC","08:20","07:58","101","96","-22","08:06","8","0","0","0","0","0"
"AS","12/01/2022","0036","N612AS","ANC","18:10","17:48","104","103","-22","18:09","21","0","0","0","0","0"
"AS","12/01/2022","0080","N618AS","ANC","08:15","08:34","102","87","19","08:41","7","0","0","0","0","0"
"AS","12/01/2023","0055","N538AS","ANC","08:20","08:02","110","125","-18","08:11","9","0","0","0","0","0"
"AS","12/02/2021","0054","N622AS","ANC","18:30","18:04","99","95","-26","18:15","11","0","0","0","0","0"
"AS","12/02/2021","0538","N622AS","ANC","08:19","07:58","101","123","-21","08:19","21","0","0","0","0","0"
"AS","12/02/2022","0080","N607AS","ANC","08:15","08:36","102","104","21","08:51","15","0","0","2","0","21"
"AS","12/02/2023","0055","N512AS","ANC","08:20","08:11","110","97","-9","08:17","6","0","0","0","0","0"
"AS","12/03/2021","0538","N622AS","ANC","08:19","08:03","101","88","-16","08:09","6","0","0","0","0","0"
"AS","12/03/2022","0080","N612AS","ANC","08:15","07:55","102","100","-20","08:06","11","0","0","0","0","0"
"AS","12/04/2023","0055","N570AS","ANC","08:20","08:00","110","102","-20","08:07","7","0","0","0","0","0"
"AS","12/05/2022","0080","N619AS","ANC","08:15","07:58","102","107","-17","08:06","8","0","0","0","0","0"
"AS","12/05/2023","0055","N566AS","ANC","08:20","08:16","110","114","-4","08:39","23","0","0","0","0","0"
"AS","12/05/2023","0087","N251AK","ANC","18:15","17:53","104","98","-22","18:02","9","0","0","0","0","0"
"AS","12/06/2021","0538","N609AS","ANC","08:19","07:54","101","112","-25","08:02","8","0","0","0","0","0"
"AS","12/06/2022","0036","N559AS","ANC","18:10","18:55","104","109","45","19:05","10","0","0","5","0","45"
"AS","12/06/2022","0080","N622AS","ANC","08:15","08:02","102","108","-13","08:14","12","0","0","0","0","0"
