Detailed Statistics Departures  
Origin Airport: Denver, CO: Denver International (DEN)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0618","N293AK","PDX","17:00","16:58","165","161","-2","17:16","18","0","0","0","0","0"
"AS","12/01/2021","0623","N433AS","SEA","12:35","12:40","190","185","5","12:57","17","0","0","0","0","0"
"AS","12/01/2021","1171","N423AS","SEA","06:50","06:42","195","172","-8","06:55","13","0","0","0","0","0"
"AS","12/01/2021","1177","N413AS","SEA","21:07","21:26","183","168","19","21:36","10","0","0","0","0","0"
"AS","12/01/2022","0590","N253AK","PDX","13:05","13:13","169","173","8","13:31","18","0","0","0","0","0"
"AS","12/01/2022","0620","N527AS","SEA","15:40","00:00","184","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0643","N263AK","SEA","07:00","08:59","188","185","119","09:14","15","0","0","116","0","0"
"AS","12/01/2022","0682","N294AK","SEA","11:40","00:00","185","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","1474","N978AK","SEA","19:45","19:48","186","179","3","20:04","16","0","0","0","0","0"
"AS","12/01/2023","0617","N548AS","SEA","15:29","15:32","186","175","3","15:48","16","0","0","0","0","0"
"AS","12/01/2023","0643","N943AK","SEA","06:00","05:48","190","199","-12","06:30","42","0","0","0","0","0"
"AS","12/01/2023","0681","N525AS","SEA","10:50","10:47","188","171","-3","11:01","14","0","0","0","0","0"
"AS","12/01/2023","0705","N529AS","SEA","19:50","19:36","190","170","-14","19:53","17","0","0","0","0","0"
"AS","12/01/2023","0795","N519AS","PDX","18:29","18:15","175","162","-14","18:33","18","0","0","0","0","0"
"AS","12/02/2021","0618","N293AK","PDX","17:00","16:58","165","172","-2","17:10","12","0","0","0","0","0"
"AS","12/02/2021","0623","N284AK","SEA","12:35","12:34","190","175","-1","12:56","22","0","0","0","0","0"
