Detailed Statistics Departures  
Origin Airport: Des Moines, IA: Des Moines International (DSM)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5168","N607NN","CLT","13:37","13:25","149","140","-12","13:39","14","0","0","0","0","0"
"OH","12/01/2021","5278","N605NN","DCA","18:12","18:01","138","126","-11","18:12","11","0","0","0","0","0"
"OH","12/01/2022","5017","N594NN","CLT","06:30","06:25","146","153","-5","06:59","34","0","0","0","0","0"
"OH","12/01/2022","5168","N580NN","CLT","13:55","13:46","146","152","-9","14:09","23","0","0","0","0","0"
"OH","12/01/2023","5098","N599NN","DCA","05:50","05:46","148","144","-4","06:05","19","0","0","0","0","0"
"OH","12/01/2023","5388","N705PS","DCA","12:38","12:49","141","138","11","13:04","15","0","0","0","0","0"
"OH","12/02/2021","5168","N591NN","CLT","13:37","13:24","149","139","-13","13:35","11","0","0","0","0","0"
"OH","12/02/2021","5278","N563NN","DCA","18:07","18:08","138","117","1","18:19","11","0","0","0","0","0"
"OH","12/02/2022","5017","N562NN","CLT","06:30","06:20","146","129","-10","06:37","17","0","0","0","0","0"
"OH","12/02/2022","5168","N580NN","CLT","13:55","13:49","146","126","-6","14:03","14","0","0","0","0","0"
"OH","12/02/2023","5098","N589NN","DCA","05:50","05:42","148","147","-8","05:58","16","0","0","0","0","0"
"OH","12/02/2023","5388","N607NN","DCA","13:39","13:27","141","129","-12","13:47","20","0","0","0","0","0"
"OH","12/03/2021","5168","N551NN","CLT","13:37","13:27","149","143","-10","13:42","15","0","0","0","0","0"
"OH","12/03/2021","5278","N567NN","DCA","18:07","18:17","138","135","10","18:31","14","0","0","0","0","0"
"OH","12/03/2022","5017","N579NN","CLT","06:30","06:22","146","147","-8","06:43","21","0","0","0","0","0"
"OH","12/03/2022","5168","N597NN","CLT","13:55","13:46","146","136","-9","14:05","19","0","0","0","0","0"
"OH","12/03/2023","5098","N587NN","DCA","05:50","05:39","148","148","-11","06:12","33","0","0","0","0","0"
"OH","12/03/2023","5388","N589NN","DCA","12:38","12:25","141","173","-13","12:42","17","0","0","19","0","0"
"OH","12/04/2021","5168","N579NN","CLT","13:37","13:54","149","148","17","14:14","20","0","0","0","0","16"
"OH","12/04/2021","5182","N586NN","DCA","06:06","08:38","143","145","152","08:56","18","152","0","2","0","0"
"OH","12/04/2021","5278","N535EA","DCA","12:21","12:11","137","124","-10","12:20","9","0","0","0","0","0"
"OH","12/04/2022","5017","N584NN","CLT","06:30","06:26","146","156","-4","07:07","41","0","0","0","0","0"
