Detailed Statistics Departures  
Origin Airport: Des Moines, IA: Des Moines International (DSM)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0320","N7867A","DEN","15:45","16:03","115","110","18","16:12","9","0","0","0","0","0"
"WN","12/01/2021","1480","N8807L","STL","08:50","08:40","70","54","-10","08:51","11","0","0","0","0","0"
"WN","12/01/2021","4529","N218WN","LAS","14:40","14:35","190","171","-5","14:43","8","0","0","0","0","0"
"WN","12/01/2022","0988","N8536Z","STL","17:25","17:23","60","51","-2","17:31","8","0","0","0","0","0"
"WN","12/01/2022","1435","N872CB","DEN","11:55","11:55","110","109","0","12:08","13","0","0","0","0","0"
"WN","12/01/2022","1888","N7729A","STL","06:00","05:58","75","67","-2","06:20","22","0","0","0","0","0"
"WN","12/01/2022","3442","N7821L","DEN","07:00","07:00","125","116","0","07:18","18","0","0","0","0","0"
"WN","12/01/2022","3462","N906WN","DEN","14:45","14:43","120","106","-2","14:54","11","0","0","0","0","0"
"WN","12/01/2023","1429","N7731A","DEN","07:30","07:27","125","120","-3","07:37","10","0","0","0","0","0"
"WN","12/01/2023","1700","N8531Q","LAS","12:55","13:18","210","182","23","13:25","7","0","0","0","0","0"
"WN","12/01/2023","2087","N8612K","STL","17:30","17:25","65","58","-5","17:31","6","0","0","0","0","0"
"WN","12/01/2023","2157","N8731J","STL","06:25","06:15","70","58","-10","06:23","8","0","0","0","0","0"
"WN","12/01/2023","2158","N7740A","DEN","14:20","14:16","115","110","-4","14:31","15","0","0","0","0","0"
"WN","12/02/2021","0320","N424WN","DEN","15:45","16:15","115","104","30","16:23","8","4","0","0","0","15"
"WN","12/02/2021","1480","N8515X","STL","08:50","08:40","70","53","-10","08:48","8","0","0","0","0","0"
"WN","12/02/2021","4529","N465WN","LAS","14:40","14:33","190","170","-7","14:41","8","0","0","0","0","0"
"WN","12/02/2022","0988","N8644C","STL","17:25","17:18","60","52","-7","17:27","9","0","0","0","0","0"
"WN","12/02/2022","1435","N8633A","DEN","11:55","11:54","110","114","-1","12:04","10","0","0","0","0","0"
"WN","12/02/2022","1888","N464WN","STL","06:00","06:21","75","53","21","06:33","12","0","0","0","0","0"
"WN","12/02/2022","3442","N483WN","DEN","07:00","07:08","125","107","8","07:18","10","0","0","0","0","0"
"WN","12/02/2022","3462","N477WN","DEN","14:45","14:42","120","114","-3","14:50","8","0","0","0","0","0"
