Detailed Statistics Departures  
Origin Airport: Detroit, MI: Detroit Metro Wayne County (DTW)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","6033","N87367","IAH","13:00","12:58","205","158","-2","13:10","12","0","0","0","0","0"
"YV","12/01/2021","6320","N82338","IAD","05:45","05:45","95","90","0","06:09","24","0","0","0","0","0"
"YV","12/01/2021","6326","N88310","IAH","16:30","16:30","205","171","0","16:53","23","0","0","0","0","0"
"YV","12/01/2022","6128","N86336","IAD","14:51","14:49","90","77","-2","14:59","10","0","0","0","0","0"
"YV","12/01/2022","6320","N87339","IAD","05:50","05:45","91","73","-5","05:55","10","0","0","0","0","0"
"YV","12/01/2023","6010","N87337","IAD","14:15","14:11","100","96","-4","14:32","21","0","0","0","0","0"
"YV","12/01/2023","6014","N87302","IAH","14:45","14:36","204","206","-9","14:48","12","0","0","0","0","0"
"YV","12/01/2023","6165","N85320","IAH","16:35","16:34","201","206","-1","16:45","11","0","0","0","0","0"
"YV","12/01/2023","6362","N88332","IAD","19:45","19:36","95","87","-9","19:51","15","0","0","0","0","0"
"YV","12/02/2021","6326","N89315","IAH","16:30","16:29","205","176","-1","16:50","21","0","0","0","0","0"
"YV","12/02/2022","6128","N89357","IAD","14:51","15:00","90","73","9","15:08","8","0","0","0","0","0"
"YV","12/02/2022","6320","N86336","IAD","05:50","05:50","91","83","0","06:04","14","0","0","0","0","0"
"YV","12/02/2023","6010","N87337","IAD","14:15","14:09","100","76","-6","14:19","10","0","0","0","0","0"
"YV","12/02/2023","6165","N86350","IAH","16:35","16:35","201","213","0","16:52","17","0","0","0","0","0"
"YV","12/02/2023","6362","N88330","IAD","19:45","19:43","95","88","-2","19:55","12","0","0","0","0","0"
"YV","12/03/2021","6326","N86336","IAH","16:30","17:24","205","166","54","17:36","12","0","0","0","0","15"
"YV","12/03/2022","6031","N83329","IAH","16:38","16:37","194","171","-1","16:47","10","0","0","0","0","0"
"YV","12/03/2022","6128","N86344","IAD","14:51","14:51","90","79","0","15:05","14","0","0","0","0","0"
"YV","12/03/2022","6320","N89357","IAD","05:50","05:47","91","78","-3","05:57","10","0","0","0","0","0"
"YV","12/03/2023","6010","N85340","IAD","14:15","14:53","100","89","38","15:05","12","0","0","0","0","27"
"YV","12/03/2023","6165","N86324","IAH","16:35","17:22","201","212","47","17:39","17","0","0","11","0","47"
"YV","12/03/2023","6362","N87302","IAD","19:45","20:10","95","73","25","20:19","9","0","0","0","0","0"
"YV","12/04/2021","6323","N85370","IAD","19:29","19:27","95","74","-2","19:37","10","0","0","0","0","0"
"YV","12/04/2022","6128","N89357","IAD","14:51","14:44","90","83","-7","15:00","16","0","0","0","0","0"
"YV","12/04/2022","6320","N87339","IAD","05:50","05:40","91","107","-10","06:20","40","0","0","0","0","0"
"YV","12/04/2023","6010","N86336","IAD","14:15","14:12","100","78","-3","14:23","11","0","0","0","0","0"
"YV","12/04/2023","6014","N88346","IAH","14:45","14:36","204","184","-9","14:47","11","0","0","0","0","0"
"YV","12/04/2023","6165","N86334","IAH","16:35","16:29","201","176","-6","16:42","13","0","0","0","0","0"
"YV","12/04/2023","6362","N83329","IAD","19:45","19:45","95","83","0","19:57","12","0","0","0","0","0"
"YV","12/05/2022","6128","N86309","IAD","14:51","14:49","90","95","-2","15:04","15","0","0","0","0","0"
"YV","12/05/2022","6320","N86344","IAD","05:50","05:48","91","76","-2","05:58","10","0","0","0","0","0"
"YV","12/05/2023","6010","N83329","IAD","14:15","14:12","100","82","-3","14:24","12","0","0","0","0","0"
"YV","12/05/2023","6165","N87353","IAH","16:35","16:31","201","171","-4","16:44","13","0","0","0","0","0"
"YV","12/05/2023","6362","N88327","IAD","19:45","19:34","95","94","-11","19:58","24","0","0","0","0","0"
"YV","12/06/2022","6128","N88327","IAD","14:51","14:45","90","94","-6","14:56","11","0","0","0","0","0"
"YV","12/06/2022","6320","N85352","IAD","05:50","05:47","91","82","-3","06:01","14","0","0","0","0","0"
