Detailed Statistics Departures  
Origin Airport: Detroit, MI: Detroit Metro Wayne County (DTW)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5286","N523AE","PHL","17:23","17:18","101","97","-5","17:40","22","0","0","0","0","0"
"OH","12/01/2021","5421","N702PS","DCA","13:19","13:18","93","106","-1","13:42","24","0","0","0","0","0"
"OH","12/01/2021","5426","N587NN","PHL","12:30","12:23","102","104","-7","12:37","14","0","0","0","0","0"
"OH","12/01/2022","5066","N611NN","DCA","05:51","05:44","111","85","-7","05:56","12","0","0","0","0","0"
"OH","12/01/2022","5249","N575NN","DCA","17:31","17:22","99","79","-9","17:35","13","0","0","0","0","0"
"OH","12/01/2022","5253","N575NN","DCA","12:35","12:25","104","94","-10","12:37","12","0","0","0","0","0"
"OH","12/01/2022","5256","N569NN","PHL","11:19","11:08","96","88","-11","11:22","14","0","0","0","0","0"
"OH","12/01/2022","5286","N569NN","PHL","18:09","18:48","96","98","39","19:12","24","0","0","2","0","39"
"OH","12/01/2022","5309","N563NN","CLT","19:45","19:32","121","114","-13","19:47","15","0","0","0","0","0"
"OH","12/01/2023","5336","N505AE","DCA","10:33","10:24","98","99","-9","10:39","15","0","0","0","0","0"
"OH","12/01/2023","5444","N526EA","DCA","06:02","05:51","98","84","-11","06:08","17","0","0","0","0","0"
"OH","12/01/2023","5568","N531EG","DCA","18:27","19:51","86","102","84","20:13","22","84","0","16","0","0"
"OH","12/02/2021","5286","N575NN","PHL","17:23","17:40","101","75","17","17:53","13","0","0","0","0","0"
"OH","12/02/2021","5338","N588NN","PHL","06:44","06:36","105","87","-8","06:51","15","0","0","0","0","0"
"OH","12/02/2021","5421","N725PS","DCA","13:19","13:06","93","80","-13","13:22","16","0","0","0","0","0"
"OH","12/02/2021","5426","N593NN","PHL","12:30","14:18","102","90","108","14:42","24","0","0","0","0","96"
"OH","12/02/2022","5066","N558NN","DCA","05:51","05:39","111","101","-12","05:56","17","0","0","0","0","0"
"OH","12/02/2022","5249","N581NN","DCA","17:36","17:30","99","96","-6","17:47","17","0","0","0","0","0"
"OH","12/02/2022","5253","N570NN","DCA","12:42","12:32","102","81","-10","12:47","15","0","0","0","0","0"
"OH","12/02/2022","5256","N604NN","PHL","11:19","11:06","96","93","-13","11:21","15","0","0","0","0","0"
"OH","12/02/2022","5286","N549NN","PHL","18:09","18:03","96","78","-6","18:15","12","0","0","0","0","0"
"OH","12/02/2022","5309","N583NN","CLT","19:45","21:20","121","105","95","21:34","14","79","0","0","0","0"
"OH","12/02/2023","5336","N506AE","DCA","10:20","10:15","99","90","-5","10:40","25","0","0","0","0","0"
"OH","12/02/2023","5444","N539EA","DCA","06:02","05:53","98","85","-9","06:11","18","0","0","0","0","0"
"OH","12/03/2021","5286","N601EN","PHL","17:23","17:19","101","98","-4","17:38","19","0","0","0","0","0"
"OH","12/03/2021","5338","N555NN","PHL","06:44","06:38","105","90","-6","06:50","12","0","0","0","0","0"
"OH","12/03/2021","5421","N709PS","DCA","13:19","13:26","93","126","7","13:41","15","0","0","33","0","7"
"OH","12/03/2021","5426","N565NN","PHL","12:30","12:24","102","128","-6","13:20","56","0","0","20","0","0"
"OH","12/03/2022","5066","N507AE","DCA","06:02","05:55","97","89","-7","06:17","22","0","0","0","0","0"
"OH","12/03/2022","5253","N561NN","DCA","12:31","12:22","104","95","-9","12:40","18","0","0","0","0","0"
"OH","12/03/2022","5286","N517AE","PHL","18:05","18:11","96","85","6","18:24","13","0","0","0","0","0"
"OH","12/03/2022","5309","N615NN","CLT","19:45","19:36","121","98","-9","19:48","12","0","0","0","0","0"
"OH","12/03/2023","5336","N545PB","DCA","10:33","10:25","98","104","-8","10:42","17","0","0","0","0","0"
"OH","12/03/2023","5568","N522AE","DCA","18:27","18:18","86","110","-9","19:00","42","0","0","15","0","0"
"OH","12/04/2021","5286","N602NN","PHL","17:23","17:14","101","109","-9","17:33","19","0","0","0","0","0"
