Detailed Statistics Departures  
Origin Airport: Detroit, MI: Detroit Metro Wayne County (DTW)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3452","N721YX","EWR","16:40","16:35","111","98","-5","16:51","16","0","0","0","0","0"
"YX","12/01/2021","3475","N726YX","EWR","11:50","11:48","111","95","-2","12:03","15","0","0","0","0","0"
"YX","12/01/2021","3630","N864RW","EWR","06:00","06:00","109","105","0","06:29","29","0","0","0","0","0"
"YX","12/01/2021","3683","N648RW","EWR","18:55","18:55","111","96","0","19:09","14","0","0","0","0","0"
"YX","12/01/2021","4758","N821MD","LGA","06:07","05:58","108","98","-9","06:14","16","0","0","0","0","0"
"YX","12/01/2021","4821","N439YX","DCA","06:00","05:52","101","87","-8","06:11","19","0","0","0","0","0"
"YX","12/01/2021","4944","N112HQ","LGA","15:24","15:17","111","106","-7","15:42","25","0","0","0","0","0"
"YX","12/01/2021","4995","N137HQ","LGA","19:28","19:22","112","103","-6","19:44","22","0","0","0","0","0"
"YX","12/01/2021","5004","N101HQ","LGA","08:39","08:48","118","97","9","09:08","20","0","0","0","0","0"
"YX","12/01/2021","5013","N420YX","LGA","13:15","13:12","104","96","-3","13:24","12","0","0","0","0","0"
"YX","12/01/2021","5654","N230JQ","LEX","16:07","16:00","77","66","-7","16:11","11","0","0","0","0","0"
"YX","12/01/2021","5773","N230JQ","CMH","08:30","08:26","61","55","-4","08:40","14","0","0","0","0","0"
"YX","12/01/2021","5794","N230JQ","PIT","21:06","21:02","65","57","-4","21:16","14","0","0","0","0","0"
"YX","12/01/2021","5860","N230JQ","CMH","12:29","12:21","56","56","-8","12:35","14","0","0","0","0","0"
"YX","12/01/2022","3433","N864RW","EWR","14:00","13:51","108","150","-9","14:58","67","0","0","33","0","0"
