Detailed Statistics Departures  
Origin Airport: Detroit, MI: Detroit Metro Wayne County (DTW)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0904","N7702A","STL","12:40","12:34","100","80","-6","12:43","9","0","0","0","0","0"
"WN","12/01/2021","1416","N8679A","BNA","19:05","19:45","100","80","40","19:55","10","15","0","0","0","5"
"WN","12/01/2021","1645","N484WN","BWI","16:05","16:08","90","84","3","16:23","15","0","0","0","0","0"
"WN","12/01/2021","2605","N8571Z","DEN","13:00","12:59","190","182","-1","13:06","7","0","0","0","0","0"
"WN","12/01/2021","3981","N7742B","STL","17:20","17:16","95","78","-4","17:24","8","0","0","0","0","0"
"WN","12/01/2021","4386","N8535S","BNA","06:30","06:27","115","93","-3","06:48","21","0","0","0","0","0"
"WN","12/01/2021","4590","N8517F","MDW","07:15","07:15","90","75","0","07:41","26","0","0","0","0","0"
"WN","12/01/2021","5182","N262WN","MDW","13:20","13:17","70","58","-3","13:25","8","0","0","0","0","0"
"WN","12/01/2021","6119","N919WN","MDW","17:15","17:11","70","57","-4","17:19","8","0","0","0","0","0"
"WN","12/01/2022","0568","N8324A","BNA","18:55","19:34","100","85","39","19:41","7","5","0","0","0","19"
"WN","12/01/2022","0685","N746SW","MDW","06:45","06:39","85","80","-6","07:10","31","0","0","0","0","0"
"WN","12/01/2022","0972","N8663A","BNA","06:15","06:13","115","87","-2","06:24","11","0","0","0","0","0"
"WN","12/01/2022","1128","N8732S","BWI","13:35","13:47","85","78","12","13:59","12","0","0","0","0","0"
"WN","12/01/2022","1411","N8644C","DEN","13:20","13:46","190","175","26","13:54","8","0","0","0","0","0"
"WN","12/01/2022","1597","N746SW","MDW","10:55","10:49","75","55","-6","10:56","7","0","0","0","0","0"
"WN","12/01/2022","1740","N7867A","MDW","18:20","18:27","70","58","7","18:34","7","0","0","0","0","0"
"WN","12/01/2022","2119","N8812Q","STL","11:25","11:20","95","88","-5","11:31","11","0","0","0","0","0"
"WN","12/01/2022","2660","N8692F","BWI","05:45","05:39","100","70","-6","05:49","10","0","0","0","0","0"
"WN","12/01/2023","0179","N248WN","MDW","13:30","13:26","70","52","-4","13:31","5","0","0","0","0","0"
"WN","12/01/2023","0296","N290WN","BNA","18:45","18:41","95","97","-4","18:53","12","0","0","0","0","0"
"WN","12/01/2023","0835","N8720L","BWI","13:25","13:34","85","80","9","13:46","12","0","0","0","0","0"
"WN","12/01/2023","1845","N8678E","BNA","11:30","11:33","95","86","3","11:40","7","0","0","0","0","0"
"WN","12/01/2023","2081","N963WN","MDW","08:00","07:56","80","62","-4","08:07","11","0","0","0","0","0"
"WN","12/01/2023","2237","N8812Q","DEN","05:35","05:35","200","177","0","05:46","11","0","0","0","0","0"
"WN","12/01/2023","2609","N1806U","STL","20:10","20:08","100","108","-2","20:22","14","0","0","0","0","0"
"WN","12/01/2023","2850","N8528Q","DEN","18:05","18:02","195","184","-3","18:15","13","0","0","0","0","0"
"WN","12/01/2023","3259","N963WN","STL","12:00","12:00","90","97","0","12:08","8","0","0","0","0","0"
"WN","12/01/2023","3334","N7879A","MDW","17:20","17:29","75","74","9","17:49","20","0","0","0","0","0"
"WN","12/01/2023","3436","N8755L","BWI","06:10","06:08","100","82","-2","06:19","11","0","0","0","0","0"
"WN","12/02/2021","0904","N452WN","STL","12:40","12:39","100","84","-1","12:50","11","0","0","0","0","0"
"WN","12/02/2021","1416","N8617E","BNA","19:05","19:06","100","76","1","19:14","8","0","0","0","0","0"
"WN","12/02/2021","1645","N7823A","BWI","16:05","16:13","90","76","8","16:24","11","0","0","0","0","0"
"WN","12/02/2021","2605","N8662F","DEN","13:00","13:03","190","183","3","13:13","10","0","0","0","0","0"
"WN","12/02/2021","3981","N264LV","STL","17:20","17:15","95","87","-5","17:26","11","0","0","0","0","0"
"WN","12/02/2021","4386","N8630B","BNA","06:30","06:25","115","78","-5","06:35","10","0","0","0","0","0"
"WN","12/02/2021","4590","N8503A","MDW","07:15","07:34","90","59","19","07:42","8","0","0","0","0","0"
"WN","12/02/2021","5182","N928WN","MDW","13:20","13:38","70","62","18","13:48","10","0","0","0","0","0"
"WN","12/02/2021","6119","N563WN","MDW","17:15","17:15","70","61","0","17:25","10","0","0","0","0","0"
"WN","12/02/2022","0568","N8507C","BNA","18:55","19:28","100","81","33","19:36","8","0","0","0","0","0"
"WN","12/02/2022","0685","N7867A","MDW","06:45","06:40","85","59","-5","06:49","9","0","0","0","0","0"
"WN","12/02/2022","0972","N8580Z","BNA","06:15","06:27","115","79","12","06:35","8","0","0","0","0","0"
"WN","12/02/2022","1128","N8611F","BWI","13:35","13:30","85","70","-5","13:39","9","0","0","0","0","0"
"WN","12/02/2022","1411","N8676A","DEN","13:20","13:22","190","184","2","13:29","7","0","0","0","0","0"
"WN","12/02/2022","1597","N7867A","MDW","10:55","10:54","75","56","-1","11:03","9","0","0","0","0","0"
"WN","12/02/2022","1740","N485WN","MDW","18:20","18:35","70","61","15","18:43","8","0","0","0","0","0"
"WN","12/02/2022","2119","N8718Q","STL","11:25","11:23","95","90","-2","11:32","9","0","0","0","0","0"
"WN","12/02/2022","2660","N8645A","BWI","05:45","05:45","100","74","0","05:52","7","0","0","0","0","0"
"WN","12/02/2023","1330","N8640D","BNA","06:10","06:08","110","96","-2","06:19","11","0","0","0","0","0"
"WN","12/02/2023","1838","N8850Q","BWI","16:20","16:15","85","78","-5","16:28","13","0","0","0","0","0"
"WN","12/02/2023","2081","N8744B","MDW","07:50","07:47","80","67","-3","08:01","14","0","0","0","0","0"
"WN","12/02/2023","2609","N8580Z","STL","13:20","13:17","95","95","-3","13:26","9","0","0","0","0","0"
"WN","12/02/2023","2850","N919WN","DEN","14:55","14:59","195","184","4","15:13","14","0","0","0","0","0"
"WN","12/02/2023","3208","N268WN","PHX","15:10","15:20","260","259","10","15:34","14","0","0","0","0","0"
"WN","12/02/2023","3334","N8580Z","MDW","17:55","17:53","70","62","-2","18:04","11","0","0","0","0","0"
"WN","12/02/2023","3436","N937WN","BWI","07:00","06:58","115","72","-2","07:09","11","0","0","0","0","0"
"WN","12/03/2021","0904","N965WN","STL","12:40","12:38","100","81","-2","12:48","10","0","0","0","0","0"
"WN","12/03/2021","1416","N8688J","BNA","19:05","19:03","100","87","-2","19:10","7","0","0","0","0","0"
"WN","12/03/2021","1645","N7739A","BWI","16:05","16:22","90","76","17","16:33","11","0","0","0","0","0"
"WN","12/03/2021","2605","N8523W","DEN","13:00","12:59","190","178","-1","13:07","8","0","0","0","0","0"
"WN","12/03/2021","3981","N922WN","STL","17:20","17:27","95","84","7","17:35","8","0","0","0","0","0"
"WN","12/03/2021","4386","N8607M","BNA","06:30","06:28","115","75","-2","06:35","7","0","0","0","0","0"
"WN","12/03/2021","4590","N8307K","MDW","07:15","07:22","90","123","7","08:36","74","7","0","33","0","0"
"WN","12/03/2021","5182","N492WN","MDW","13:20","13:19","70","59","-1","13:28","9","0","0","0","0","0"
"WN","12/03/2021","6119","N7740A","MDW","17:15","17:11","70","61","-4","17:18","7","0","0","0","0","0"
"WN","12/03/2022","0568","N8804L","BNA","17:05","17:41","100","84","36","17:49","8","4","0","0","0","16"
"WN","12/03/2022","0685","N8520Q","MDW","06:20","06:14","90","70","-6","06:23","9","0","0","0","0","0"
"WN","12/03/2022","1305","N8801Q","PHX","15:30","15:57","265","290","27","16:06","9","15","0","25","0","12"
