Detailed Statistics Departures  
Origin Airport: Devils Lake, ND: Devils Lake Regional (DVL)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","5045","N986SW","JMS","06:00","05:52","55","59","-8","06:27","35","0","0","0","0","0"
"OO","12/01/2021","5102","N905EV","DEN","17:00","16:46","129","134","-14","17:11","25","0","0","0","0","0"
"OO","12/01/2022","5019","N954SW","JMS","11:25","11:15","57","44","-10","11:27","12","0","0","0","0","0"
"OO","12/01/2022","5053","N909SW","DEN","18:21","18:11","137","133","-10","18:33","22","0","0","0","0","0"
"OO","12/01/2023","5034","N487CA","JMS","11:55","11:49","55","48","-6","12:03","14","0","0","0","0","0"
"OO","12/01/2023","5053","N932EV","DEN","18:23","18:18","137","135","-5","18:30","12","0","0","0","0","0"
"OO","12/02/2021","5045","N431SW","JMS","06:00","05:56","55","53","-4","06:22","26","0","0","0","0","0"
"OO","12/02/2021","5102","N472CA","DEN","17:00","16:51","129","133","-9","17:20","29","0","0","0","0","0"
"OO","12/02/2022","5019","N223JS","JMS","11:25","11:11","57","69","-14","11:44","33","0","0","0","0","0"
"OO","12/02/2022","5053","N430SW","DEN","18:21","18:12","137","118","-9","18:20","8","0","0","0","0","0"
"OO","12/02/2023","5034","N909SW","JMS","11:55","11:35","55","49","-20","11:58","23","0","0","0","0","0"
