Detailed Statistics Departures  
Origin Airport: Dillingham, AK: Dillingham Airport (DLG)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2211","N650QX","ANC","15:50","16:51","60","66","61","16:58","7","61","0","6","0","0"
"QX","12/01/2022","2232","N636QX","ANC","13:59","13:39","61","66","-20","13:47","8","0","0","0","0","0"
"QX","12/01/2023","2232","N628QX","ANC","12:16","12:08","67","77","-8","12:27","19","0","0","0","0","0"
"QX","12/02/2021","2211","N650QX","ANC","15:50","16:45","60","62","55","16:52","7","0","0","2","55","0"
"QX","12/02/2022","2231","N633QX","ANC","12:16","12:21","61","75","5","12:32","11","0","0","19","0","0"
"QX","12/02/2023","2232","N632QX","ANC","12:16","12:33","67","57","17","12:37","4","0","0","0","0","0"
"QX","12/03/2021","2211","N646QX","ANC","15:50","16:11","60","64","21","16:16","5","0","0","4","21","0"
"QX","12/03/2022","2232","N626QX","ANC","13:59","13:45","61","57","-14","13:52","7","0","0","0","0","0"
"QX","12/03/2023","2232","N630QX","ANC","12:16","12:44","67","65","28","12:50","6","0","26","0","0","0"
"QX","12/04/2021","2211","N646QX","ANC","15:50","16:36","60","59","46","16:40","4","0","0","0","45","0"
"QX","12/04/2022","2232","N644QX","ANC","13:59","13:54","61","69","-5","14:08","14","0","0","0","0","0"
"QX","12/04/2023","2232","N652MK","ANC","12:16","12:07","67","68","-9","12:16","9","0","0","0","0","0"
