Detailed Statistics Departures  
Origin Airport: Amarillo, TX: Rick Husband Amarillo International (AMA)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5832","N915FJ","DFW","12:29","12:42","72","76","13","13:01","19","0","0","4","0","13"
"YV","12/01/2021","5925","N959LR","DFW","14:18","14:13","76","66","-5","14:27","14","0","0","0","0","0"
"YV","12/01/2021","5985","N244LR","DFW","10:24","10:17","76","70","-7","10:29","12","0","0","0","0","0"
"YV","12/01/2022","5759","N919FJ","DFW","16:23","16:15","77","74","-8","16:31","16","0","0","0","0","0"
"YV","12/01/2022","5832","N952LR","DFW","12:39","12:28","77","74","-11","12:42","14","0","0","0","0","0"
"YV","12/01/2022","5861","N329MS","DFW","06:00","06:15","79","68","15","06:29","14","0","0","0","0","0"
"YV","12/02/2021","5832","N950LR","DFW","12:32","13:50","72","71","78","14:06","16","4","0","0","0","73"
"YV","12/02/2021","5861","N920FJ","DFW","05:00","04:56","81","61","-4","05:06","10","0","0","0","0","0"
"YV","12/02/2021","5925","N326MS","DFW","14:18","15:15","76","73","57","15:31","16","1","0","0","0","53"
"YV","12/02/2021","5985","N247LR","DFW","10:24","10:13","76","66","-11","10:21","8","0","0","0","0","0"
"YV","12/02/2022","5759","N958LR","DFW","16:23","16:19","77","69","-4","16:32","13","0","0","0","0","0"
"YV","12/02/2022","5832","N944LR","DFW","12:39","12:33","77","58","-6","12:41","8","0","0","0","0","0"
"YV","12/02/2022","5861","N958LR","DFW","06:00","05:55","79","78","-5","06:17","22","0","0","0","0","0"
"YV","12/03/2021","5832","N914FJ","DFW","12:32","12:24","72","74","-8","12:38","14","0","0","0","0","0"
"YV","12/03/2021","5861","N952LR","DFW","05:00","04:57","81","85","-3","05:29","32","0","0","0","0","0"
"YV","12/03/2021","5925","N913FJ","DFW","14:18","14:21","76","78","3","14:41","20","0","0","0","0","0"
"YV","12/03/2021","5985","N904FJ","DFW","10:24","10:48","76","75","24","11:05","17","0","0","0","0","23"
"YV","12/03/2022","5832","N946LR","DFW","12:39","14:18","77","62","99","14:27","9","84","0","0","0","0"
"YV","12/03/2022","5861","N958LR","DFW","06:00","05:54","79","89","-6","06:14","20","0","0","0","0","0"
"YV","12/04/2021","5832","N959LR","DFW","12:32","12:26","72","83","-6","12:51","25","0","0","0","0","0"
"YV","12/04/2021","5861","N913FJ","DFW","05:00","04:51","81","65","-9","05:03","12","0","0","0","0","0"
"YV","12/04/2022","5759","N954LR","DFW","16:23","16:12","77","63","-11","16:24","12","0","0","0","0","0"
"YV","12/04/2022","5832","N959LR","DFW","12:39","14:05","77","62","86","14:16","11","0","0","0","0","71"
"YV","12/04/2022","5861","N928LR","DFW","06:00","05:54","79","67","-6","06:08","14","0","0","0","0","0"
"YV","12/05/2021","5832","N913FJ","DFW","12:32","12:28","72","76","-4","12:47","19","0","0","0","0","0"
"YV","12/05/2021","5925","N955LR","DFW","14:18","14:15","76","73","-3","14:24","9","0","0","0","0","0"
"YV","12/05/2021","5985","N935LR","DFW","10:24","10:21","76","76","-3","10:39","18","0","0","0","0","0"
"YV","12/05/2022","5759","N947LR","DFW","16:23","18:07","77","72","104","18:19","12","0","0","0","0","99"
"YV","12/05/2022","5832","N944LR","DFW","12:39","13:09","77","71","30","13:24","15","2","0","0","0","22"
"YV","12/05/2022","5861","N959LR","DFW","06:00","05:58","79","67","-2","06:13","15","0","0","0","0","0"
"YV","12/06/2021","5832","N248LR","DFW","12:32","12:24","72","75","-8","12:37","13","0","0","0","0","0"
"YV","12/06/2021","5861","N935LR","DFW","05:00","04:59","81","86","-1","05:14","15","0","0","0","0","0"
"YV","12/06/2021","5925","N939LR","DFW","14:18","14:13","76","73","-5","14:28","15","0","0","0","0","0"
"YV","12/06/2021","5985","N241LR","DFW","10:24","10:46","76","79","22","11:05","19","2","0","3","0","20"
"YV","12/06/2022","5759","N959LR","DFW","16:23","16:13","77","67","-10","16:26","13","0","0","0","0","0"
"YV","12/06/2022","5762","N904FJ","DFW","18:23","18:32","77","82","9","18:54","22","0","0","0","0","0"
"YV","12/06/2022","5861","N248LR","DFW","06:00","05:54","79","67","-6","06:08","14","0","0","0","0","0"
"YV","12/07/2021","5832","N942LR","DFW","12:32","12:30","72","75","-2","12:40","10","0","0","0","0","0"
"YV","12/07/2021","5985","N952LR","DFW","10:24","10:24","76","74","0","10:43","19","0","0","0","0","0"
"YV","12/07/2022","5832","N248LR","DFW","12:39","12:34","77","66","-5","12:45","11","0","0","0","0","0"
"YV","12/07/2022","5861","N922FJ","DFW","06:00","05:58","79","111","-2","06:48","50","0","0","30","0","0"
"YV","12/08/2021","5832","N925FJ","DFW","12:32","12:32","72","79","0","12:53","21","0","0","0","0","0"
"YV","12/08/2021","5925","N922FJ","DFW","14:18","14:12","76","72","-6","14:31","19","0","0","0","0","0"
"YV","12/08/2021","5985","N935LR","DFW","10:24","10:39","76","105","15","11:30","51","0","0","29","0","15"
"YV","12/08/2022","5759","N947LR","DFW","16:23","17:46","77","65","83","17:56","10","69","0","0","0","2"
"YV","12/08/2022","5832","N957LR","DFW","12:39","12:33","77","70","-6","12:46","13","0","0","0","0","0"
"YV","12/08/2022","5861","N958LR","DFW","06:00","15:09","79","63","549","15:22","13","533","0","0","0","0"
"YV","12/09/2021","5832","N942LR","DFW","12:32","12:59","72","71","27","13:11","12","0","0","0","0","26"
"YV","12/09/2021","5861","N904FJ","DFW","05:00","04:49","81","73","-11","05:03","14","0","0","0","0","0"
"YV","12/09/2021","5925","N943LR","DFW","14:18","14:28","76","75","10","14:43","15","0","0","0","0","0"
"YV","12/09/2021","5985","N938LR","DFW","10:24","10:12","76","86","-12","10:38","26","0","0","0","0","0"
"YV","12/09/2022","5759","N920FJ","DFW","16:23","16:11","77","76","-12","16:24","13","0","0","0","0","0"
"YV","12/09/2022","5832","N248LR","DFW","12:39","12:31","77","70","-8","12:44","13","0","0","0","0","0"
"YV","12/09/2022","5861","N904FJ","DFW","06:00","05:52","79","71","-8","06:07","15","0","0","0","0","0"
"YV","12/10/2021","5832","N928LR","DFW","12:32","12:43","72","64","11","12:53","10","0","0","0","0","0"
"YV","12/10/2021","5861","N248LR","DFW","05:00","04:54","81","72","-6","05:11","17","0","0","0","0","0"
"YV","12/10/2021","5925","N245LR","DFW","14:18","14:42","76","71","24","14:56","14","0","1","0","0","18"
"YV","12/10/2021","5985","N244LR","DFW","10:24","11:59","76","69","95","12:17","18","0","3","0","0","85"
"YV","12/10/2022","5832","N904FJ","DFW","12:39","13:30","77","97","51","13:42","12","0","1","20","0","50"
"YV","12/10/2022","5861","N902FJ","DFW","06:00","07:16","79","59","76","07:26","10","56","0","0","0","0"
"YV","12/11/2021","5832","N244LR","DFW","12:32","13:09","72","72","37","13:20","11","37","0","0","0","0"
"YV","12/11/2021","5861","N922FJ","DFW","05:00","04:50","81","75","-10","05:07","17","0","0","0","0","0"
"YV","12/11/2022","5759","N955LR","DFW","16:23","18:26","77","78","123","18:37","11","0","0","1","0","123"
"YV","12/11/2022","5832","N902FJ","DFW","12:39","12:49","77","71","10","13:02","13","0","0","0","0","0"
"YV","12/11/2022","5861","N925FJ","DFW","06:00","06:34","79","91","34","07:07","33","0","34","12","0","0"
"YV","12/12/2021","5832","N912FJ","DFW","12:32","12:31","72","72","-1","12:46","15","0","0","0","0","0"
"YV","12/12/2021","5925","N911FJ","DFW","14:18","14:13","76","64","-5","14:26","13","0","0","0","0","0"
"YV","12/12/2021","5985","N925FJ","DFW","10:24","10:25","76","70","1","10:37","12","0","0","0","0","0"
"YV","12/12/2022","5759","N947LR","DFW","16:23","16:17","77","83","-6","16:36","19","0","0","0","0","0"
"YV","12/12/2022","5832","N249LR","DFW","12:39","12:32","77","77","-7","12:46","14","0","0","0","0","0"
"YV","12/12/2022","5861","N958LR","DFW","06:00","07:19","79","67","79","07:30","11","67","0","0","0","0"
"YV","12/13/2021","5832","N909FJ","DFW","12:32","12:35","72","72","3","12:45","10","0","0","0","0","0"
"YV","12/13/2021","5861","N934FJ","DFW","05:00","04:56","81","80","-4","05:21","25","0","0","0","0","0"
"YV","12/13/2021","5925","N912FJ","DFW","14:18","14:46","76","70","28","15:04","18","0","0","0","22","0"
"YV","12/13/2021","5985","N244LR","DFW","10:24","14:53","76","68","269","15:06","13","0","0","0","0","261"
"YV","12/13/2022","5759","N955LR","DFW","16:23","16:33","77","59","10","16:40","7","0","0","0","0","0"
"YV","12/13/2022","5762","N249LR","DFW","18:23","18:18","77","63","-5","18:28","10","0","0","0","0","0"
"YV","12/13/2022","5861","N905J","DFW","06:00","05:52","79","101","-8","06:08","16","0","0","0","0","0"
"YV","12/14/2021","5832","N950LR","DFW","12:32","12:23","72","74","-9","12:38","15","0","0","0","0","0"
"YV","12/14/2021","5985","","DFW","10:24","00:00","76","0","0","00:00","0","0","0","0","0","0"
"YV","12/14/2022","5832","N957LR","DFW","12:39","12:36","77","70","-3","12:48","12","0","0","0","0","0"
"YV","12/14/2022","5861","N943LR","DFW","06:00","05:53","79","86","-7","06:24","31","0","0","0","0","0"
