Detailed Statistics Departures  
Origin Airport: Duluth, MN: Duluth International (DLH)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/15/2022","3403","N636RW","ORD","06:00","00:00","114","0","0","00:00","0","0","0","0","0","0"
"YX","12/15/2022","3521","N646RW","ORD","11:23","00:00","114","0","0","00:00","0","0","0","0","0","0"
"YX","12/16/2021","3542","N640RW","ORD","15:08","15:07","121","110","-1","15:28","21","0","0","0","0","0"
"YX","12/16/2022","3403","N863RW","ORD","06:00","06:00","114","135","0","06:46","46","0","0","21","0","0"
"YX","12/17/2021","3542","N857RW","ORD","15:08","15:16","121","102","8","15:31","15","0","0","0","0","0"
"YX","12/17/2021","3565","N855RW","ORD","07:45","07:41","121","108","-4","08:02","21","0","0","0","0","0"
"YX","12/17/2022","3403","N635RW","ORD","06:00","05:48","114","134","-12","06:40","52","0","0","0","0","0"
"YX","12/17/2022","3521","N635RW","ORD","11:23","11:26","114","135","3","12:19","53","0","0","24","0","0"
"YX","12/18/2021","3542","N640RW","ORD","15:08","14:58","121","98","-10","15:14","16","0","0","0","0","0"
"YX","12/18/2021","3565","N655RW","ORD","07:45","07:41","121","178","-4","08:54","73","0","0","53","0","0"
"YX","12/18/2022","3403","N655RW","ORD","06:00","05:45","114","118","-15","06:18","33","0","0","0","0","0"
"YX","12/18/2022","3521","N856RW","ORD","11:23","11:39","114","102","16","11:59","20","0","0","0","0","0"
"YX","12/19/2021","3542","N859RW","ORD","15:08","15:02","121","113","-6","15:31","29","0","0","0","0","0"
"YX","12/19/2021","3565","N863RW","ORD","07:45","09:14","121","115","89","09:45","31","0","0","83","0","0"
"YX","12/19/2022","3403","N651RW","ORD","06:00","05:48","114","124","-12","06:19","31","0","0","0","0","0"
"YX","12/19/2022","3521","N656RW","ORD","11:23","11:40","114","110","17","11:55","15","0","0","0","0","0"
"YX","12/20/2021","3542","N858RW","ORD","15:08","15:03","121","91","-5","15:13","10","0","0","0","0","0"
"YX","12/20/2021","3565","N656RW","ORD","07:45","07:35","121","130","-10","08:21","46","0","0","0","0","0"
"YX","12/20/2022","3403","N655RW","ORD","06:00","05:49","114","105","-11","06:11","22","0","0","0","0","0"
"YX","12/20/2022","3521","N646RW","ORD","11:23","14:39","114","89","196","14:52","13","171","0","0","0","0"
"YX","12/21/2021","3542","N861RW","ORD","15:08","14:59","121","102","-9","15:09","10","0","0","0","0","0"
"YX","12/21/2021","3565","N635RW","ORD","07:45","07:35","121","140","-10","08:24","49","0","0","0","0","0"
"YX","12/21/2022","3403","N856RW","ORD","06:00","06:24","114","113","24","06:50","26","23","0","0","0","0"
"YX","12/21/2022","3521","N634RW","ORD","11:23","11:19","114","117","-4","11:55","36","0","0","0","0","0"
"YX","12/22/2021","3542","N655RW","ORD","15:08","15:02","121","87","-6","15:11","9","0","0","0","0","0"
"YX","12/22/2021","3565","N656RW","ORD","07:45","07:38","121","127","-7","08:25","47","0","0","0","0","0"
"YX","12/22/2022","3403","N727YX","ORD","06:00","05:58","114","143","-2","06:48","50","0","0","27","0","0"
"YX","12/22/2022","3521","N654RW","ORD","11:23","00:00","114","0","0","00:00","0","0","0","0","0","0"
"YX","12/23/2021","3542","N653RW","ORD","15:08","15:00","121","101","-8","15:15","15","0","0","0","0","0"
"YX","12/23/2021","3565","N655RW","ORD","07:45","07:43","121","114","-2","08:09","26","0","0","0","0","0"
"YX","12/23/2022","3403","N748YX","ORD","06:00","06:00","114","127","0","06:31","31","0","0","0","0","0"
"YX","12/24/2021","3542","N856RW","ORD","15:08","15:05","121","91","-3","15:16","11","0","0","0","0","0"
"YX","12/24/2021","3565","N631RW","ORD","07:45","07:42","121","112","-3","08:04","22","0","0","0","0","0"
"YX","12/24/2022","3403","N726YX","ORD","06:00","06:01","114","109","1","06:20","19","0","0","0","0","0"
"YX","12/25/2021","3542","N642RW","ORD","15:08","15:04","121","90","-4","15:14","10","0","0","0","0","0"
"YX","12/25/2021","3565","N855RW","ORD","07:45","12:56","121","101","311","13:15","19","291","0","0","0","0"
"YX","12/25/2022","3403","N751YX","ORD","06:00","06:00","114","122","0","06:46","46","0","0","0","0","0"
"YX","12/25/2022","3521","N979RP","ORD","11:23","13:35","114","88","132","13:45","10","0","0","0","0","106"
"YX","12/26/2021","3542","N642RW","ORD","15:08","14:59","121","123","-9","15:31","32","0","0","0","0","0"
"YX","12/26/2021","3565","N636RW","ORD","07:45","07:38","121","131","-7","08:20","42","0","0","0","0","0"
"YX","12/26/2022","3403","N729YX","ORD","06:00","07:32","114","108","92","07:55","23","86","0","0","0","0"
"YX","12/26/2022","3521","N979RP","ORD","11:23","11:34","114","97","11","11:44","10","0","0","0","0","0"
"YX","12/27/2021","3542","N857RW","ORD","15:08","17:39","121","110","151","18:09","30","0","132","0","0","8"
"YX","12/27/2021","3565","N855RW","ORD","07:45","09:49","121","116","124","10:23","34","0","119","0","0","0"
"YX","12/27/2022","3403","N732YX","ORD","06:00","05:52","114","107","-8","06:16","24","0","0","0","0","0"
"YX","12/27/2022","3521","N863RW","ORD","11:23","11:18","114","99","-5","11:35","17","0","0","0","0","0"
"YX","12/28/2021","3542","N746YX","ORD","15:08","00:00","121","0","0","00:00","0","0","0","0","0","0"
"YX","12/28/2021","3565","N857RW","ORD","07:45","09:18","121","124","93","09:49","31","93","0","3","0","0"
"YX","12/28/2022","3403","N729YX","ORD","06:00","05:52","114","122","-8","06:34","42","0","0","0","0","0"
"YX","12/28/2022","3521","N655RW","ORD","11:23","11:35","114","108","12","11:59","24","0","0","0","0","0"
"YX","12/29/2021","3542","N638RW","ORD","15:08","15:13","121","96","5","15:26","13","0","0","0","0","0"
"YX","12/29/2021","3565","N649RW","ORD","07:45","10:01","121","100","136","10:25","24","115","0","0","0","0"
