Detailed Statistics Departures  
Origin Airport: Durango, CO: Durango La Plata County (DRO)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2022","5735","N241LR","PHX","14:58","14:54","83","79","-4","15:07","13","0","0","0","0","0"
"YV","12/01/2022","5749","N245LR","PHX","08:15","08:06","85","102","-9","08:36","30","0","0","0","0","0"
"YV","12/01/2022","5804","N951LR","DFW","06:05","06:04","118","123","-1","06:33","29","0","0","0","0","0"
"YV","12/01/2022","5809","N249LR","DFW","10:39","10:29","116","122","-10","10:52","23","0","0","0","0","0"
"YV","12/02/2022","5735","N930LR","PHX","14:58","15:18","83","79","20","15:35","17","1","0","0","0","15"
"YV","12/02/2022","5749","N950LR","PHX","08:15","08:07","85","95","-8","08:25","18","0","0","0","0","0"
"YV","12/02/2022","5804","N954LR","DFW","06:05","05:54","118","102","-11","06:05","11","0","0","0","0","0"
"YV","12/02/2022","5809","N247LR","DFW","10:39","10:25","116","104","-14","10:35","10","0","0","0","0","0"
"YV","12/03/2022","5735","N902FJ","PHX","14:58","14:50","83","83","-8","15:04","14","0","0","0","0","0"
"YV","12/03/2022","5749","N950LR","PHX","08:15","08:00","85","100","-15","08:23","23","0","0","0","0","0"
"YV","12/03/2022","5804","N329MS","DFW","06:05","05:56","118","116","-9","06:11","15","0","0","0","0","0"
"YV","12/03/2022","5809","N948LR","DFW","10:39","10:29","116","102","-10","10:42","13","0","0","0","0","0"
"YV","12/04/2022","5735","N245LR","PHX","14:58","14:45","83","85","-13","14:59","14","0","0","0","0","0"
"YV","12/04/2022","5749","N934FJ","PHX","08:15","10:46","85","86","151","11:07","21","151","0","1","0","0"
"YV","12/04/2022","5804","N920FJ","DFW","06:05","05:54","118","103","-11","06:10","16","0","0","0","0","0"
"YV","12/04/2022","5809","N928LR","DFW","10:39","10:32","116","132","-7","11:19","47","0","0","0","0","0"
"YV","12/05/2022","5735","N957LR","PHX","14:58","14:53","83","84","-5","15:09","16","0","0","0","0","0"
"YV","12/05/2022","5749","N954LR","PHX","08:15","08:05","85","114","-10","08:43","38","0","0","19","0","0"
"YV","12/05/2022","5804","N919FJ","DFW","06:05","05:55","118","113","-10","06:20","25","0","0","0","0","0"
"YV","12/05/2022","5809","N947LR","DFW","10:39","13:13","116","112","154","13:29","16","0","0","0","0","150"
"YV","12/06/2022","5735","N946LR","PHX","14:58","14:51","83","77","-7","15:02","11","0","0","0","0","0"
"YV","12/06/2022","5749","N943LR","PHX","07:55","07:45","85","99","-10","08:12","27","0","0","0","0","0"
"YV","12/06/2022","5804","N958LR","DFW","06:05","05:49","118","124","-16","06:21","32","0","0","0","0","0"
"YV","12/06/2022","5809","N959LR","DFW","10:39","10:29","116","111","-10","10:45","16","0","0","0","0","0"
"YV","12/07/2022","5735","N933LR","PHX","14:58","14:41","83","83","-17","14:52","11","0","0","0","0","0"
"YV","12/07/2022","5749","N958LR","PHX","08:15","08:05","85","127","-10","09:02","57","0","0","32","0","0"
"YV","12/07/2022","5804","N943LR","DFW","06:05","05:51","118","130","-14","06:25","34","0","0","0","0","0"
"YV","12/07/2022","5809","N920FJ","DFW","10:39","10:32","116","111","-7","10:50","18","0","0","0","0","0"
"YV","12/08/2022","5735","N933LR","PHX","14:58","14:43","83","84","-15","14:57","14","0","0","0","0","0"
"YV","12/08/2022","5749","N938LR","PHX","08:15","09:51","85","128","96","10:46","55","0","96","43","0","0"
"YV","12/08/2022","5804","N946LR","DFW","06:05","09:27","118","141","202","10:19","52","0","202","23","0","0"
"YV","12/08/2022","5809","N953LR","DFW","10:39","13:12","116","102","153","13:27","15","1","0","0","0","138"
"YV","12/09/2022","5735","N245LR","PHX","14:58","16:33","83","76","95","16:46","13","81","0","0","0","7"
"YV","12/09/2022","5749","N955LR","PHX","08:15","11:20","85","88","185","11:41","21","185","0","3","0","0"
"YV","12/09/2022","5804","N928LR","DFW","06:05","06:01","118","122","-4","06:27","26","0","0","0","0","0"
"YV","12/09/2022","5809","N920FJ","DFW","10:39","10:31","116","104","-8","10:43","12","0","0","0","0","0"
"YV","12/10/2022","5735","N245LR","PHX","14:58","18:57","83","80","239","19:12","15","7","0","0","0","229"
"YV","12/10/2022","5749","N927LR","PHX","08:15","10:40","85","77","145","10:55","15","137","0","0","0","0"
"YV","12/10/2022","5804","N948LR","DFW","06:05","06:52","118","123","47","07:12","20","47","0","5","0","0"
"YV","12/10/2022","5809","N938LR","DFW","10:39","12:47","116","155","128","12:59","12","18","0","39","0","110"
"YV","12/11/2022","5735","N919FJ","PHX","14:58","16:45","83","79","107","16:55","10","1","0","0","0","102"
"YV","12/11/2022","5749","N905J","PHX","08:15","08:07","85","92","-8","08:29","22","0","0","0","0","0"
"YV","12/11/2022","5804","N920FJ","DFW","06:05","05:53","118","131","-12","06:25","32","0","0","0","0","0"
"YV","12/11/2022","5809","N938LR","DFW","10:39","11:14","116","116","35","11:33","19","0","0","0","0","35"
"YV","12/12/2022","5735","N957LR","PHX","14:58","16:22","83","129","84","17:17","55","0","84","46","0","0"
"YV","12/12/2022","5749","N925FJ","PHX","08:15","08:07","85","87","-8","08:26","19","0","0","0","0","0"
"YV","12/12/2022","5804","N952LR","DFW","06:05","06:05","118","112","0","06:25","20","0","0","0","0","0"
"YV","12/12/2022","5809","N947LR","DFW","10:39","10:27","116","118","-12","10:52","25","0","0","0","0","0"
"YV","12/13/2022","5735","N946LR","PHX","14:58","15:14","83","90","16","15:43","29","15","0","7","0","1"
"YV","12/13/2022","5749","N925FJ","PHX","07:55","07:52","85","123","-3","08:45","53","0","0","35","0","0"
"YV","12/13/2022","5804","N248LR","DFW","06:05","09:06","118","129","181","09:42","36","0","181","11","0","0"
"YV","12/13/2022","5809","N955LR","DFW","10:39","11:08","116","111","29","11:25","17","0","0","0","0","24"
"YV","12/14/2022","5735","N933LR","PHX","14:58","16:45","83","72","107","16:59","14","2","0","0","0","94"
"YV","12/14/2022","5749","N247LR","PHX","08:15","08:01","85","102","-14","08:38","37","0","0","0","0","0"
"YV","12/14/2022","5804","N955LR","DFW","06:05","06:04","118","131","-1","06:37","33","0","0","0","0","0"
"YV","12/14/2022","5809","N920FJ","DFW","10:39","10:37","116","112","-2","10:55","18","0","0","0","0","0"
"YV","12/15/2022","5734","N948LR","DFW","06:05","05:58","131","123","-7","06:31","33","0","0","0","0","0"
"YV","12/15/2022","5757","N248LR","PHX","08:30","08:20","99","109","-10","09:05","45","0","0","0","0","0"
"YV","12/15/2022","5799","N938LR","DFW","16:28","16:59","118","109","31","17:14","15","8","0","0","0","14"
