Detailed Statistics Departures  
Origin Airport: Eagle, CO: Eagle County Regional (EGE)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2022","1112","N9029F","DFW","16:01","16:37","125","141","36","16:50","13","1","0","16","0","35"
"AA","12/01/2022","2598","N9015D","DFW","10:40","11:18","125","111","38","11:28","10","8","0","0","0","16"
"AA","12/01/2023","1754","N9019F","DFW","12:31","12:24","131","130","-7","12:37","13","0","0","0","0","0"
"AA","12/02/2021","1720","N8009T","DFW","12:43","12:29","127","115","-14","12:40","11","0","0","0","0","0"
"AA","12/02/2022","1112","N9026C","DFW","16:01","15:49","125","133","-12","16:24","35","0","0","0","0","0"
"AA","12/02/2022","2598","N9012","DFW","10:40","13:10","125","148","150","13:51","41","27","0","23","0","123"
"AA","12/02/2023","1754","N8031M","DFW","12:31","12:30","131","117","-1","12:44","14","0","0","0","0","0"
"AA","12/03/2021","1720","N9018E","DFW","12:43","12:31","127","119","-12","12:41","10","0","0","0","0","0"
"AA","12/03/2022","1112","N9012","DFW","16:35","16:30","125","169","-5","17:31","61","0","0","39","0","0"
"AA","12/03/2022","2598","N9012","DFW","10:40","10:36","125","112","-4","10:45","9","0","0","0","0","0"
"AA","12/03/2023","1754","N9006","DFW","12:31","12:38","131","140","7","13:22","44","7","0","9","0","0"
"AA","12/04/2021","1720","N8009T","DFW","12:43","12:33","127","121","-10","12:45","12","0","0","0","0","0"
"AA","12/04/2022","1112","N9029F","DFW","16:01","15:55","125","116","-6","16:07","12","0","0","0","0","0"
"AA","12/04/2022","2598","N12028","DFW","10:40","10:38","125","113","-2","10:49","11","0","0","0","0","0"
"AA","12/04/2023","1754","N9029F","DFW","12:31","12:33","131","120","2","12:45","12","0","0","0","0","0"
"AA","12/05/2021","1720","N9012","DFW","12:43","12:33","127","115","-10","12:44","11","0","0","0","0","0"
"AA","12/05/2022","1112","N9012","DFW","16:01","15:51","125","120","-10","16:01","10","0","0","0","0","0"
"AA","12/05/2022","2598","N4032T","DFW","10:40","10:33","125","105","-7","10:42","9","0","0","0","0","0"
"AA","12/05/2023","1870","N9006","DFW","12:31","13:51","133","128","80","14:07","16","75","0","0","0","0"
"AA","12/06/2021","1720","N12028","DFW","12:43","12:33","127","123","-10","12:44","11","0","0","0","0","0"
"AA","12/06/2022","1112","N9029F","DFW","16:01","15:42","125","116","-19","15:53","11","0","0","0","0","0"
