Detailed Statistics Departures  
Origin Airport: Eagle, CO: Eagle County Regional (EGE)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/16/2023","1362","N6707A","ATL","14:54","14:49","201","184","-5","15:12","23","0","0","0","0","0"
"DL","12/17/2022","1541","N553NW","ATL","14:01","14:04","183","188","3","14:36","32","0","0","0","0","0"
"DL","12/17/2023","1362","N551NW","ATL","14:54","14:49","201","187","-5","15:09","20","0","0","0","0","0"
"DL","12/18/2021","0509","N693DL","ATL","13:29","15:33","184","181","124","15:47","14","0","0","0","0","121"
"DL","12/18/2022","1541","N555NW","ATL","14:01","14:10","183","167","9","14:20","10","0","0","0","0","0"
"DL","12/18/2023","1362","N6715C","ATL","14:54","14:50","201","170","-4","15:02","12","0","0","0","0","0"
"DL","12/19/2021","0509","N6707A","ATL","13:29","13:25","184","174","-4","13:38","13","0","0","0","0","0"
"DL","12/19/2022","1541","N538US","ATL","14:01","14:04","183","173","3","14:18","14","0","0","0","0","0"
"DL","12/19/2023","1362","N6711M","ATL","14:54","14:49","201","190","-5","15:23","34","0","0","0","0","0"
"DL","12/20/2021","0509","N688DL","ATL","13:29","13:25","184","179","-4","13:39","14","0","0","0","0","0"
"DL","12/20/2022","1541","N537US","ATL","14:01","14:22","183","169","21","14:32","10","0","0","0","0","0"
"DL","12/20/2023","1362","N547US","ATL","14:54","14:49","201","184","-5","15:06","17","0","0","0","0","0"
"DL","12/21/2021","0509","N694DL","ATL","13:29","13:56","184","174","27","14:07","11","17","0","0","0","0"
"DL","12/21/2022","1541","N692DL","ATL","14:01","14:15","183","192","14","14:49","34","14","0","9","0","0"
"DL","12/21/2023","0558","N535US","ATL","12:10","12:19","199","175","9","12:37","18","0","0","0","0","0"
"DL","12/21/2023","1362","N536US","ATL","14:54","14:50","201","182","-4","15:08","18","0","0","0","0","0"
"DL","12/22/2021","0509","N693DL","ATL","13:29","13:29","184","163","0","13:39","10","0","0","0","0","0"
"DL","12/22/2022","1541","N553NW","ATL","14:01","14:34","183","169","33","14:54","20","19","0","0","0","0"
"DL","12/22/2023","0558","N694DL","ATL","12:10","15:20","199","203","190","15:59","39","190","0","4","0","0"
"DL","12/22/2023","1362","N699DL","ATL","14:54","00:00","201","0","0","00:00","0","0","0","0","0","0"
"DL","12/23/2021","0509","N690DL","ATL","13:29","13:55","184","197","26","14:37","42","11","0","13","0","15"
"DL","12/23/2022","1541","N667DN","ATL","14:01","14:12","183","168","11","14:25","13","0","0","0","0","0"
"DL","12/23/2023","0558","N6708D","ATL","12:10","12:33","199","217","23","13:25","52","7","16","18","0","0"
"DL","12/23/2023","1362","N544US","ATL","14:54","14:56","201","183","2","15:09","13","0","0","0","0","0"
"DL","12/24/2021","0509","N688DL","ATL","13:29","00:00","183","0","0","00:00","0","0","0","0","0","0"
"DL","12/24/2022","1541","N547US","ATL","13:59","14:05","183","173","6","14:20","15","0","0","0","0","0"
"DL","12/24/2023","0558","N550NW","ATL","12:10","12:05","199","205","-5","12:37","32","0","0","0","0","0"
"DL","12/24/2023","1362","N6703D","ATL","14:54","14:43","201","186","-11","14:57","14","0","0","0","0","0"
"DL","12/25/2021","0509","N660DL","ATL","13:29","13:34","183","159","5","13:48","14","0","0","0","0","0"
"DL","12/25/2022","1541","N535US","ATL","13:59","14:00","183","172","1","14:10","10","0","0","0","0","0"
"DL","12/25/2023","0558","N6706Q","ATL","12:10","11:59","199","180","-11","12:13","14","0","0","0","0","0"
"DL","12/25/2023","1362","N698DL","ATL","14:54","14:38","201","174","-16","14:48","10","0","0","0","0","0"
"DL","12/26/2021","0509","N659DL","ATL","13:29","00:00","184","0","0","00:00","0","0","0","0","0","0"
"DL","12/26/2022","0379","N548US","ATL","12:00","13:02","181","180","62","13:21","19","61","0","0","0","0"
"DL","12/26/2022","1541","N541US","ATL","14:01","00:00","183","0","0","00:00","0","0","0","0","0","0"
"DL","12/26/2023","0558","N555NW","ATL","12:10","12:30","199","180","20","12:44","14","0","0","0","0","0"
"DL","12/26/2023","1362","N688DL","ATL","14:54","15:23","201","212","29","16:12","49","29","0","11","0","0"
"DL","12/27/2021","0509","N688DL","ATL","13:29","15:42","184","192","133","16:10","28","20","12","8","0","101"
"DL","12/27/2022","1541","N6706Q","ATL","14:01","14:15","183","215","14","15:05","50","14","0","32","0","0"
"DL","12/27/2023","0558","N539US","ATL","12:10","12:09","199","180","-1","12:29","20","0","0","0","0","0"
"DL","12/27/2023","1362","N541US","ATL","14:54","15:19","201","192","25","15:48","29","16","0","0","0","0"
"DL","12/28/2021","0509","N688DL","ATL","13:29","00:00","184","0","0","00:00","0","0","0","0","0","0"
