Detailed Statistics Departures  
Origin Airport: Amarillo, TX: Rick Husband Amarillo International (AMA)
Airline: Southwest Airlines Co. (WN)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"WN","12/01/2021","0353","N792SW","DAL","18:10","18:41","75","81","31","19:01","20","0","0","6","0","31"
"WN","12/01/2021","1649","N8803L","LAS","15:20","15:18","135","111","-2","15:29","11","0","0","0","0","0"
"WN","12/01/2021","3229","N481WN","DAL","06:10","06:07","75","67","-3","06:17","10","0","0","0","0","0"
"WN","12/01/2021","3394","N8693A","DAL","13:10","13:11","75","83","1","13:25","14","0","0","0","0","0"
"WN","12/01/2022","0744","N7829B","AUS","06:45","06:39","80","72","-6","06:48","9","0","0","0","0","0"
"WN","12/01/2022","1280","N418WN","DAL","13:25","13:22","75","60","-3","13:28","6","0","0","0","0","0"
"WN","12/01/2022","1615","N939WN","DAL","05:40","05:40","75","77","0","06:04","24","0","0","0","0","0"
"WN","12/01/2022","1706","N424WN","DAL","10:25","10:19","75","58","-6","10:24","5","0","0","0","0","0"
"WN","12/01/2022","2741","N229WN","DAL","18:35","18:30","70","68","-5","18:37","7","0","0","0","0","0"
"WN","12/01/2022","3415","N7886A","DEN","20:10","20:00","80","90","-10","20:07","7","0","0","0","0","0"
"WN","12/01/2022","4188","N7840A","LAS","15:10","15:38","135","143","28","16:01","23","0","0","36","0","0"
"WN","12/01/2023","0027","N7726A","DAL","11:00","10:56","75","64","-4","11:04","8","0","0","0","0","0"
"WN","12/01/2023","0205","N8883Q","LAS","16:40","16:42","135","134","2","16:57","15","0","0","0","0","0"
"WN","12/01/2023","0549","N8328A","DAL","06:00","05:58","75","77","-2","06:22","24","0","0","0","0","0"
"WN","12/01/2023","0915","N442WN","AUS","06:55","06:56","85","87","1","07:19","23","0","0","0","0","0"
"WN","12/01/2023","1478","N414WN","DAL","19:05","18:57","75","64","-8","19:05","8","0","0","0","0","0"
"WN","12/01/2023","1947","N449WN","DEN","13:25","13:41","75","74","16","13:48","7","0","0","0","0","15"
"WN","12/01/2023","4287","N8314L","DAL","15:00","15:28","75","64","28","15:36","8","0","0","0","0","17"
"WN","12/02/2021","0353","N293WN","DAL","18:10","18:52","75","69","42","19:01","9","0","0","0","0","36"
"WN","12/02/2021","1649","N8573Z","LAS","15:20","15:27","135","109","7","15:37","10","0","0","0","0","0"
"WN","12/02/2021","3229","N7869A","DAL","06:10","06:07","75","63","-3","06:15","8","0","0","0","0","0"
"WN","12/02/2021","3394","N8524Z","DAL","13:10","13:06","75","74","-4","13:21","15","0","0","0","0","0"
