Detailed Statistics Departures  
Origin Airport: El Paso, TX: El Paso International (ELP)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2022","0447","N440AS","SEA","19:30","19:24","234","202","-6","19:40","16","0","0","0","0","0"
"AS","12/02/2022","0447","N928AK","SEA","19:30","20:15","234","228","45","20:35","20","0","0","39","0","0"
"AS","12/03/2022","0447","N915AK","SEA","19:30","19:24","234","213","-6","19:44","20","0","0","0","0","0"
"AS","12/04/2022","0447","N291BT","SEA","19:30","20:11","234","203","41","20:26","15","0","0","0","0","0"
"AS","12/05/2022","0447","N570AS","SEA","19:30","19:23","234","221","-7","19:34","11","0","0","0","0","0"
"AS","12/06/2022","0447","N237AK","SEA","19:30","19:21","234","211","-9","19:33","12","0","0","0","0","0"
"AS","12/07/2022","0447","N467AS","SEA","19:30","19:39","234","201","9","19:53","14","0","0","0","0","0"
"AS","12/08/2022","0447","N307AS","SEA","19:30","19:28","234","228","-2","19:49","21","0","0","0","0","0"
"AS","12/09/2022","0447","N277AK","SEA","19:30","19:29","234","207","-1","19:44","15","0","0","0","0","0"
"AS","12/10/2022","0447","N977AK","SEA","19:30","19:56","234","206","26","20:11","15","0","0","0","0","0"
"AS","12/11/2022","0447","N972AK","SEA","19:30","20:10","234","211","40","20:37","27","0","0","0","0","17"
"AS","12/12/2022","0447","N929AK","SEA","19:30","19:57","234","207","27","20:10","13","0","0","0","0","0"
"AS","12/13/2022","0447","N288AK","SEA","19:30","20:20","234","210","50","20:34","14","0","0","0","0","26"
"AS","12/14/2022","0447","N469AS","SEA","19:30","19:29","234","221","-1","19:41","12","0","0","0","0","0"
"AS","12/15/2022","0447","N977AK","SEA","19:05","18:59","234","221","-6","19:21","22","0","0","0","0","0"
"AS","12/16/2022","0447","N493AS","SEA","19:05","19:29","234","247","24","19:51","22","0","0","13","0","24"
"AS","12/17/2022","0447","N517AS","SEA","19:05","19:52","234","227","47","20:17","25","40","0","0","0","0"
"AS","12/18/2022","0447","N926AK","SEA","19:05","20:07","234","225","62","20:29","22","53","0","0","0","0"
"AS","12/19/2022","0447","N265AK","SEA","19:05","19:21","234","231","16","19:34","13","0","0","0","0","0"
"AS","12/20/2022","0447","N915AK","SEA","19:05","21:36","234","239","151","21:54","18","16","0","5","0","135"
"AS","12/21/2022","0447","N272AK","SEA","19:05","19:16","234","247","11","19:27","11","11","0","13","0","0"
"AS","12/22/2022","0447","N471AS","SEA","19:05","18:59","234","220","-6","19:20","21","0","0","0","0","0"
"AS","12/23/2022","0447","N946AK","SEA","19:05","00:00","234","0","0","00:00","0","0","0","0","0","0"
"AS","12/24/2022","0447","N487AS","SEA","19:05","19:51","234","240","46","20:06","15","0","0","6","0","46"
"AS","12/25/2022","0447","N935AK","SEA","19:05","19:00","234","224","-5","19:16","16","0","0","0","0","0"
"AS","12/26/2022","0447","N408AS","SEA","19:05","19:03","234","216","-2","19:14","11","0","0","0","0","0"
"AS","12/27/2022","0447","N440AS","SEA","19:05","19:23","234","220","18","19:42","19","0","0","0","0","0"
"AS","12/28/2022","0447","N306AS","SEA","19:05","18:57","234","222","-8","19:20","23","0","0","0","0","0"
"AS","12/29/2022","0447","N294AK","SEA","19:05","19:16","234","233","11","19:30","14","0","0","0","0","0"
"AS","12/30/2022","0447","N942AK","SEA","19:05","19:01","234","272","-4","19:21","20","0","0","34","0","0"
"AS","12/31/2022","0447","N296AK","SEA","19:05","19:04","234","226","-1","19:16","12","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
