Detailed Statistics Departures  
Origin Airport: El Paso, TX: El Paso International (ELP)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","0761","N3746H","ATL","06:00","05:54","180","166","-6","06:07","13","0","0","0","0","0"
"DL","12/01/2021","0969","N385DN","ATL","13:23","13:21","172","195","-2","13:45","24","0","0","21","0","0"
"DL","12/01/2022","0761","N851DN","ATL","06:00","05:55","181","162","-5","06:05","10","0","0","0","0","0"
"DL","12/01/2022","0969","N830DN","ATL","13:40","13:40","173","163","0","13:52","12","0","0","0","0","0"
"DL","12/01/2023","1024","N914DU","ATL","13:47","13:47","172","175","0","14:00","13","0","0","0","0","0"
"DL","12/01/2023","1741","N876DN","ATL","06:00","05:59","177","159","-1","06:12","13","0","0","0","0","0"
"DL","12/02/2021","0761","N3773D","ATL","06:00","05:55","180","177","-5","06:03","8","0","0","0","0","0"
"DL","12/02/2021","0969","N3749D","ATL","13:23","13:17","172","174","-6","13:29","12","0","0","0","0","0"
"DL","12/02/2022","0761","N867DN","ATL","06:00","05:54","181","158","-6","06:03","9","0","0","0","0","0"
"DL","12/02/2022","0969","N826DN","ATL","13:40","13:42","173","168","2","13:55","13","0","0","0","0","0"
"DL","12/02/2023","1024","N835DN","ATL","13:47","13:45","172","163","-2","14:00","15","0","0","0","0","0"
"DL","12/02/2023","1741","N880DN","ATL","06:00","05:56","177","189","-4","06:18","22","0","0","0","0","0"
"DL","12/03/2021","0761","N3747D","ATL","06:00","05:54","180","177","-6","06:07","13","0","0","0","0","0"
"DL","12/03/2021","0969","N3742C","ATL","13:23","13:17","172","171","-6","13:29","12","0","0","0","0","0"
"DL","12/03/2022","0761","N869DN","ATL","06:00","06:06","181","163","6","06:15","9","0","0","0","0","0"
"DL","12/03/2022","0969","N911DQ","ATL","13:40","13:35","173","159","-5","13:46","11","0","0","0","0","0"
"DL","12/03/2023","1024","N837DN","ATL","13:47","13:47","172","163","0","14:02","15","0","0","0","0","0"
"DL","12/03/2023","1741","N820DN","ATL","06:00","05:52","177","166","-8","06:06","14","0","0","0","0","0"
"DL","12/04/2021","0761","N3733Z","ATL","06:00","06:00","180","167","0","06:13","13","0","0","0","0","0"
"DL","12/04/2021","0969","N385DN","ATL","13:23","13:17","172","174","-6","13:32","15","0","0","0","0","0"
"DL","12/04/2022","0761","N850DN","ATL","06:00","05:58","181","155","-2","06:06","8","0","0","0","0","0"
"DL","12/04/2022","0969","N872DN","ATL","13:40","13:36","173","159","-4","13:46","10","0","0","0","0","0"
"DL","12/04/2023","1024","N891DN","ATL","13:47","13:40","172","168","-7","13:54","14","0","0","0","0","0"
"DL","12/04/2023","1741","N866DN","ATL","06:00","05:54","177","165","-6","06:09","15","0","0","0","0","0"
"DL","12/05/2021","0761","N343NB","ATL","06:00","05:52","180","181","-8","06:14","22","0","0","0","0","0"
"DL","12/05/2021","0969","N377NW","ATL","13:51","13:50","174","173","-1","14:05","15","0","0","0","0","0"
"DL","12/05/2022","0761","N872DN","ATL","06:00","05:59","181","168","-1","06:13","14","0","0","0","0","0"
"DL","12/05/2022","0969","N915DU","ATL","13:40","13:34","173","161","-6","13:44","10","0","0","0","0","0"
"DL","12/05/2023","1024","N892DN","ATL","13:47","13:43","172","167","-4","13:55","12","0","0","0","0","0"
"DL","12/05/2023","1741","N814DN","ATL","06:00","07:06","177","164","66","07:17","11","53","0","0","0","0"
"DL","12/06/2021","0761","N372NW","ATL","06:00","05:54","180","214","-6","06:24","30","0","0","28","0","0"
"DL","12/06/2021","0969","N377NW","ATL","13:51","15:33","174","172","102","15:43","10","89","0","0","0","11"
"DL","12/06/2022","0761","N898DN","ATL","06:00","06:04","181","161","4","06:14","10","0","0","0","0","0"
"DL","12/06/2022","0969","N816DN","ATL","13:40","13:39","173","166","-1","13:51","12","0","0","0","0","0"
"DL","12/06/2023","1024","N906DN","ATL","13:47","13:42","172","172","-5","13:56","14","0","0","0","0","0"
"DL","12/06/2023","1741","N846DN","ATL","06:00","05:52","177","177","-8","06:08","16","0","0","0","0","0"
"DL","12/07/2021","0761","N343NW","ATL","06:00","05:54","180","171","-6","06:05","11","0","0","0","0","0"
"DL","12/07/2021","0969","N374NW","ATL","13:51","13:48","174","164","-3","14:00","12","0","0","0","0","0"
"DL","12/07/2022","0761","N893DN","ATL","06:00","05:56","181","170","-4","06:09","13","0","0","0","0","0"
"DL","12/07/2022","0969","N872DN","ATL","13:40","13:35","173","169","-5","13:51","16","0","0","0","0","0"
"DL","12/07/2023","1024","N818DA","ATL","13:51","13:49","174","171","-2","14:04","15","0","0","0","0","0"
"DL","12/07/2023","1741","N876DN","ATL","06:00","05:58","179","177","-2","06:16","18","0","0","0","0","0"
"DL","12/08/2021","0761","N339NW","ATL","06:00","05:50","180","173","-10","06:08","18","0","0","0","0","0"
"DL","12/08/2021","0969","N339NW","ATL","13:51","14:50","174","172","59","15:11","21","0","0","0","0","57"
"DL","12/08/2022","0761","N870DN","ATL","06:00","08:25","181","161","145","08:37","12","125","0","0","0","0"
"DL","12/08/2022","0969","N850DN","ATL","13:40","13:37","173","159","-3","13:48","11","0","0","0","0","0"
"DL","12/08/2023","1024","N924DZ","ATL","13:51","13:45","174","162","-6","13:58","13","0","0","0","0","0"
"DL","12/08/2023","1741","N900DU","ATL","06:00","05:52","179","169","-8","06:04","12","0","0","0","0","0"
"DL","12/09/2021","0761","N356NW","ATL","06:00","05:57","180","159","-3","06:12","15","0","0","0","0","0"
"DL","12/09/2021","0969","N356NW","ATL","13:51","13:54","174","164","3","14:08","14","0","0","0","0","0"
"DL","12/09/2022","0761","N850DN","ATL","06:00","05:56","181","165","-4","06:10","14","0","0","0","0","0"
"DL","12/09/2022","0969","N833DN","ATL","13:40","13:32","173","181","-8","13:46","14","0","0","0","0","0"
"DL","12/09/2023","1024","N820DN","ATL","13:51","13:49","174","161","-2","14:01","12","0","0","0","0","0"
"DL","12/09/2023","1741","N851DN","ATL","06:00","06:37","179","164","37","06:55","18","22","0","0","0","0"
"DL","12/10/2021","0761","N373NW","ATL","06:00","05:57","180","163","-3","06:08","11","0","0","0","0","0"
"DL","12/10/2021","0969","N373NW","ATL","13:51","13:51","174","159","0","14:02","11","0","0","0","0","0"
"DL","12/10/2022","0761","N918DU","ATL","06:00","06:00","181","167","0","06:16","16","0","0","0","0","0"
"DL","12/10/2022","0969","N848DN","ATL","13:40","13:35","173","178","-5","13:55","20","0","0","0","0","0"
"DL","12/10/2023","1024","N846DN","ATL","13:51","13:46","174","179","-5","14:00","14","0","0","0","0","0"
"DL","12/10/2023","1741","N914DU","ATL","06:00","05:53","179","194","-7","06:28","35","0","0","0","0","0"
