Detailed Statistics Departures  
Origin Airport: El Paso, TX: El Paso International (ELP)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3061","N762SK","PHX","15:35","15:26","85","62","-9","15:31","5","0","0","0","0","0"
"OO","12/01/2021","3108","N706SK","PHX","11:35","11:37","88","76","2","11:57","20","0","0","0","0","0"
"OO","12/01/2021","4708","N453SW","DEN","12:45","12:35","121","102","-10","12:50","15","0","0","0","0","0"
"OO","12/01/2021","4732","N611UX","DEN","06:30","06:21","123","119","-9","06:35","14","0","0","0","0","0"
"OO","12/01/2021","5217","N433SW","IAH","11:50","11:42","120","131","-8","12:01","19","0","0","0","0","0"
"OO","12/01/2021","5612","N151SY","ORD","12:30","12:27","190","200","-3","12:45","18","0","0","0","0","0"
"OO","12/01/2021","6326","N506SY","LAX","06:06","05:59","135","121","-7","06:22","23","0","0","0","0","0"
"OO","12/01/2021","6327","N506SY","LAX","11:45","11:46","134","127","1","12:13","27","0","0","0","0","0"
"OO","12/01/2021","6328","N507SY","LAX","18:46","18:37","140","129","-9","18:58","21","0","0","0","0","0"
"OO","12/01/2022","3157","N520SY","LAX","07:30","07:26","138","152","-4","07:39","13","0","0","0","0","0"
"OO","12/01/2022","3297","N505SY","LAX","19:19","19:11","137","135","-8","19:28","17","0","0","0","0","0"
"OO","12/01/2022","4666","N152SY","ORD","12:50","12:45","189","176","-5","13:00","15","0","0","0","0","0"
"OO","12/01/2022","4688","N788SK","DEN","14:16","14:11","116","108","-5","14:29","18","0","0","0","0","0"
"OO","12/01/2022","4736","N157SY","IAH","05:45","05:42","121","105","-3","05:59","17","0","0","0","0","0"
"OO","12/01/2022","4739","N165SY","IAH","12:11","12:10","119","116","-1","12:27","17","0","0","0","0","0"
"OO","12/01/2022","4762","N160SY","DEN","06:45","06:41","124","106","-4","06:53","12","0","0","0","0","0"
"OO","12/01/2022","4864","N516SY","PHX","12:20","12:17","88","90","-3","12:33","16","0","0","0","0","0"
"OO","12/01/2022","4866","N517SY","LAX","12:49","12:38","137","139","-11","12:54","16","0","0","0","0","0"
"OO","12/01/2023","3052","N762SK","PHX","15:28","15:19","87","87","-9","15:37","18","0","0","0","0","0"
"OO","12/01/2023","3144","N770SK","PHX","08:38","08:28","87","90","-10","08:44","16","0","0","0","0","0"
"OO","12/01/2023","3244","N520SY","LAX","18:06","18:02","141","131","-4","18:19","17","0","0","0","0","0"
"OO","12/01/2023","3275","N515SY","LAX","12:34","12:29","141","128","-5","12:45","16","0","0","0","0","0"
"OO","12/01/2023","4823","N708SK","PHX","18:50","21:12","87","105","142","21:41","29","0","0","18","0","142"
"OO","12/01/2023","4837","N612QX","AUS","17:18","17:08","103","121","-10","17:25","17","0","0","0","0","0"
"OO","12/01/2023","4865","N766SK","PHX","12:20","12:12","87","86","-8","12:26","14","0","0","0","0","0"
"OO","12/01/2023","4959","N502SY","LAX","07:30","07:23","142","135","-7","07:38","15","0","0","0","0","0"
"OO","12/02/2021","3061","N766SK","PHX","15:35","15:21","85","73","-14","15:36","15","0","0","0","0","0"
"OO","12/02/2021","3108","N748EV","PHX","11:35","11:24","88","78","-11","11:40","16","0","0","0","0","0"
