Detailed Statistics Departures  
Origin Airport: Eugene, OR: Mahlon Sweet Field (EUG)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2296","N440QX","SEA","13:08","13:07","87","70","-1","13:17","10","0","0","0","0","0"
"QX","12/01/2021","2498","N412QX","SEA","07:00","06:55","87","66","-5","07:07","12","0","0","0","0","0"
"QX","12/01/2021","2588","N453QX","SEA","17:17","17:15","75","76","-2","17:32","17","0","0","0","0","0"
"QX","12/01/2022","2139","N644QX","SEA","05:00","04:59","71","58","-1","05:10","11","0","0","0","0","0"
"QX","12/01/2022","2142","N623QX","SEA","13:20","00:00","71","0","0","00:00","0","0","0","0","0","0"
"QX","12/01/2022","2268","N649QX","SEA","16:20","16:32","68","65","12","16:44","12","0","0","0","0","0"
"QX","12/01/2022","2296","N622QX","SEA","09:35","09:34","74","70","-1","09:49","15","0","0","0","0","0"
"QX","12/01/2023","2139","N643QX","SEA","05:00","04:51","74","59","-9","05:00","9","0","0","0","0","0"
"QX","12/01/2023","2330","N625QX","SEA","17:30","17:29","71","73","-1","17:42","13","0","0","0","0","0"
"QX","12/02/2021","2097","N446QX","SEA","11:42","11:39","87","71","-3","11:53","14","0","0","0","0","0"
"QX","12/02/2021","2296","N400QX","SEA","13:08","13:03","87","65","-5","13:16","13","0","0","0","0","0"
"QX","12/02/2021","2498","N435QX","SEA","07:00","06:52","87","59","-8","07:00","8","0","0","0","0","0"
"QX","12/02/2021","2588","N405QX","SEA","17:17","17:27","75","69","10","17:39","12","0","0","0","0","0"
"QX","12/02/2022","2139","N635QX","SEA","05:00","05:07","71","98","7","05:50","43","0","7","27","0","0"
"QX","12/02/2022","2142","N629QX","SEA","13:20","14:31","71","68","71","14:41","10","0","0","0","0","68"
