Detailed Statistics Departures  
Origin Airport: Eugene, OR: Mahlon Sweet Field (EUG)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/16/2021","5795","N924FJ","PHX","15:38","16:12","146","139","34","16:27","15","4","0","0","0","23"
"YV","12/17/2021","5795","N912FJ","PHX","15:38","16:42","146","155","64","16:55","13","2","0","9","0","62"
"YV","12/17/2021","5801","N329MS","PHX","05:24","05:21","161","151","-3","05:37","16","0","0","0","0","0"
"YV","12/18/2021","5795","N249LR","PHX","15:38","15:36","146","137","-2","15:48","12","0","0","0","0","0"
"YV","12/18/2021","5801","N244LR","PHX","05:24","05:20","161","143","-4","05:37","17","0","0","0","0","0"
"YV","12/19/2021","5795","N958LR","PHX","15:38","15:45","146","143","7","15:57","12","0","0","0","0","0"
"YV","12/19/2021","5801","N912FJ","PHX","05:24","05:26","161","186","2","06:19","53","2","0","25","0","0"
"YV","12/20/2021","5795","N242LR","PHX","15:38","15:37","146","142","-1","15:51","14","0","0","0","0","0"
"YV","12/20/2021","5801","N959LR","PHX","05:24","05:23","161","142","-1","05:37","14","0","0","0","0","0"
"YV","12/21/2021","5795","N247LR","PHX","15:38","15:44","146","142","6","15:58","14","0","0","0","0","0"
"YV","12/21/2021","5801","N958LR","PHX","05:24","05:21","161","156","-3","05:50","29","0","0","0","0","0"
"YV","12/22/2021","5795","N948LR","PHX","15:38","15:36","146","143","-2","15:50","14","0","0","0","0","0"
"YV","12/22/2021","5801","N938LR","PHX","05:24","05:32","161","149","8","05:56","24","0","0","0","0","0"
"YV","12/23/2021","5795","N938LR","PHX","15:38","15:27","146","152","-11","15:40","13","0","0","0","0","0"
"YV","12/23/2021","5801","N948LR","PHX","05:24","05:22","161","154","-2","05:44","22","0","0","0","0","0"
"YV","12/24/2021","5801","N957LR","PHX","05:24","05:17","161","156","-7","05:29","12","0","0","0","0","0"
"YV","12/25/2021","5757","N244LR","PHX","11:31","11:29","147","141","-2","11:44","15","0","0","0","0","0"
"YV","12/26/2021","5795","N930LR","PHX","15:38","15:31","146","144","-7","15:45","14","0","0","0","0","0"
"YV","12/26/2021","5801","N919FJ","PHX","05:24","05:20","161","186","-4","06:21","61","0","0","21","0","0"
"YV","12/27/2021","5795","N244LR","PHX","15:38","15:48","146","137","10","16:03","15","0","0","0","0","0"
"YV","12/27/2021","5801","N247LR","PHX","05:24","08:26","161","132","182","08:38","12","0","153","0","0","0"
"YV","12/28/2021","5795","N242LR","PHX","15:38","15:32","146","146","-6","15:50","18","0","0","0","0","0"
"YV","12/28/2021","5801","N930LR","PHX","05:24","05:21","161","163","-3","05:57","36","0","0","0","0","0"
"YV","12/29/2021","5795","N939LR","PHX","15:38","15:36","146","135","-2","15:46","10","0","0","0","0","0"
"YV","12/29/2021","5801","N247LR","PHX","05:24","05:25","161","161","1","06:05","40","0","0","0","0","0"
"YV","12/30/2021","5795","N919FJ","PHX","15:38","15:33","146","139","-5","15:43","10","0","0","0","0","0"
"YV","12/30/2021","5801","N909FJ","PHX","05:24","05:17","161","152","-7","05:46","29","0","0","0","0","0"
"YV","12/31/2021","5801","N935LR","PHX","05:24","05:26","161","152","2","05:51","25","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
