Detailed Statistics Departures  
Origin Airport: Fairbanks, AK: Fairbanks International (FAI)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0113","N587AS","ANC","13:20","13:36","64","72","16","13:54","18","16","0","8","0","0"
"AS","12/01/2021","0124","N553AS","SEA","17:20","17:14","222","211","-6","17:26","12","0","0","0","0","0"
"AS","12/01/2021","0156","N265AK","SEA","01:19","01:34","228","199","15","01:44","10","0","0","0","0","0"
"AS","12/01/2021","0594","N531AS","SEA","13:55","15:12","230","207","77","15:22","10","0","0","0","0","54"
"AS","12/01/2022","0132","N527AS","ANC","20:35","20:16","65","57","-19","20:31","15","0","0","0","0","0"
"AS","12/01/2022","0161","N527AS","ANC","14:59","14:54","67","58","-5","15:06","12","0","0","0","0","0"
"AS","12/01/2022","0291","N237AK","SEA","11:40","00:00","222","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0594","N931AK","SEA","05:15","00:00","225","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","0819","N938AK","SEA","01:25","01:28","219","221","3","02:03","35","0","0","0","0","0"
"AS","12/01/2023","0090","N281AK","ANC","05:30","05:37","71","76","7","06:04","27","0","0","0","0","0"
"AS","12/01/2023","0106","N523AS","SEA","15:58","15:52","232","210","-6","16:04","12","0","0","0","0","0"
"AS","12/01/2023","0140","N251AK","SEA","11:58","11:57","236","205","-1","12:07","10","0","0","0","0","0"
"AS","12/01/2023","0210","N926AK","SEA","02:55","03:31","223","215","36","03:44","13","0","0","0","0","28"
"AS","12/01/2023","0234","N309AS","SEA","07:00","07:00","236","222","0","07:23","23","0","0","0","0","0"
"AS","12/02/2021","0113","N592AS","ANC","13:20","13:13","64","61","-7","13:26","13","0","0","0","0","0"
"AS","12/02/2021","0124","N296AK","SEA","17:20","17:24","222","246","4","17:38","14","0","0","28","0","0"
"AS","12/02/2021","0156","N266AK","SEA","01:19","01:38","228","200","19","01:49","11","0","0","0","0","0"
"AS","12/02/2021","0594","N459AS","SEA","13:55","13:52","230","209","-3","14:02","10","0","0","0","0","0"
"AS","12/02/2022","0132","N495AS","ANC","20:35","22:04","65","77","89","22:32","28","0","0","12","0","89"
"AS","12/02/2022","0161","N949AK","ANC","14:59","15:32","67","93","33","16:07","35","0","0","26","0","33"
"AS","12/02/2022","0291","N287AK","SEA","11:40","12:30","222","228","50","12:51","21","10","0","6","0","40"
"AS","12/02/2022","0594","N928AK","SEA","05:15","05:20","225","387","5","08:36","196","0","74","93","0","0"
"AS","12/02/2022","0819","N924AK","SEA","01:25","01:19","219","203","-6","01:33","14","0","0","0","0","0"
"AS","12/02/2022","1327","N612AS","ANC","10:00","09:51","69","64","-9","10:03","12","0","0","0","0","0"
"AS","12/02/2023","0090","N612AS","ANC","05:30","05:22","71","73","-8","05:41","19","0","0","0","0","0"
"AS","12/02/2023","0106","N479AS","SEA","15:58","16:24","232","199","26","16:37","13","0","0","0","0","0"
"AS","12/02/2023","0140","N297AK","SEA","11:58","11:45","236","193","-13","11:57","12","0","0","0","0","0"
"AS","12/02/2023","0210","N468AS","SEA","02:55","02:52","223","203","-3","03:01","9","0","0","0","0","0"
"AS","12/02/2023","0234","N278AK","SEA","07:00","06:53","236","198","-7","07:05","12","0","0","0","0","0"
"AS","12/03/2021","0113","N612AS","ANC","13:20","13:52","64","55","32","14:02","10","0","0","0","0","23"
"AS","12/03/2021","0124","N453AS","SEA","17:20","17:25","222","226","5","17:40","15","0","0","0","0","0"
"AS","12/03/2021","0156","N407AS","SEA","01:19","01:34","228","200","15","01:46","12","0","0","0","0","0"
"AS","12/03/2021","0234","N260AK","SEA","02:46","03:09","226","201","23","03:20","11","0","0","0","0","0"
"AS","12/03/2021","0594","N528AS","SEA","13:55","14:05","230","216","10","14:17","12","0","0","0","0","0"
"AS","12/03/2022","0132","N557AS","ANC","20:35","20:26","65","62","-9","20:39","13","0","0","0","0","0"
