Detailed Statistics Departures  
Origin Airport: Fairbanks, AK: Fairbanks International (FAI)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2027","N642QX","ANC","07:55","07:58","68","77","3","08:21","23","0","0","0","0","0"
"QX","12/01/2021","2118","N642QX","ANC","11:40","00:00","68","0","0","00:00","0","0","0","0","0","0"
"QX","12/01/2021","2145","N642QX","ANC","19:15","00:00","68","0","0","00:00","0","0","0","0","0","0"
"QX","12/01/2021","2170","N642QX","ANC","15:30","00:00","68","0","0","00:00","0","0","0","0","0","0"
"QX","12/01/2021","2554","N642QX","ANC","22:50","00:00","68","0","0","00:00","0","0","0","0","0","0"
"QX","12/01/2022","2097","N636QX","ANC","22:00","21:55","69","57","-5","22:06","11","0","0","0","0","0"
"QX","12/01/2022","2102","N636QX","ANC","09:45","09:49","67","76","4","10:14","25","0","0","0","0","0"
"QX","12/01/2022","2412","N634QX","ANC","07:50","07:57","69","55","7","08:08","11","0","0","0","0","0"
"QX","12/01/2022","2413","N634QX","ANC","12:00","11:53","66","66","-7","12:04","11","0","0","0","0","0"
"QX","12/01/2022","2416","N636QX","ANC","17:30","17:44","66","56","14","17:55","11","0","0","0","0","0"
"QX","12/01/2023","2014","N629QX","ANC","18:55","18:44","77","60","-11","18:54","10","0","0","0","0","0"
"QX","12/01/2023","2032","N629QX","ANC","10:46","10:37","74","60","-9","10:48","11","0","0","0","0","0"
"QX","12/01/2023","2050","N628QX","ANC","16:15","16:08","77","62","-7","16:18","10","0","0","0","0","0"
"QX","12/01/2023","2101","N628QX","ANC","07:55","07:39","74","58","-16","07:49","10","0","0","0","0","0"
"QX","12/01/2023","2408","N632QX","ANC","20:59","21:10","77","57","11","21:19","9","0","0","0","0","0"
"QX","12/01/2023","2412","N629QX","ANC","14:40","14:27","77","58","-13","14:36","9","0","0","0","0","0"
"QX","12/02/2021","2027","N642QX","ANC","07:55","00:00","68","0","0","00:00","0","0","0","0","0","0"
"QX","12/02/2021","2145","N650QX","ANC","19:15","20:07","68","70","52","20:20","13","0","0","2","0","52"
"QX","12/02/2021","2148","N642QX","ANC","11:40","11:37","68","65","-3","11:50","13","0","0","0","0","0"
"QX","12/02/2021","2170","N642QX","ANC","15:30","00:00","68","0","0","00:00","0","0","0","0","0","0"
"QX","12/02/2021","2554","N650QX","ANC","22:50","23:40","68","56","50","23:50","10","0","0","0","0","38"
"QX","12/02/2022","2097","N636QX","ANC","22:00","22:13","69","76","13","22:42","29","0","0","7","0","13"
"QX","12/02/2022","2412","N636QX","ANC","07:50","08:00","69","92","10","08:45","45","0","0","23","0","10"
"QX","12/02/2022","2416","N636QX","ANC","17:30","18:45","66","70","75","19:07","22","0","0","4","0","75"
"QX","12/02/2023","2014","N630QX","ANC","18:55","18:41","77","63","-14","18:55","14","0","0","0","0","0"
"QX","12/02/2023","2032","N649QX","ANC","10:46","10:58","74","63","12","11:08","10","0","0","0","0","0"
"QX","12/02/2023","2050","N632QX","ANC","16:15","16:02","77","57","-13","16:10","8","0","0","0","0","0"
"QX","12/02/2023","2412","N649QX","ANC","14:40","14:33","77","62","-7","14:44","11","0","0","0","0","0"
"QX","12/03/2021","2027","N650QX","ANC","07:55","07:49","68","56","-6","07:59","10","0","0","0","0","0"
"QX","12/03/2021","2145","N646QX","ANC","19:15","19:31","68","59","16","19:42","11","0","0","0","0","0"
"QX","12/03/2021","2148","N650QX","ANC","11:40","11:32","68","54","-8","11:40","8","0","0","0","0","0"
"QX","12/03/2021","2170","N650QX","ANC","15:30","15:31","68","71","1","15:48","17","0","0","0","0","0"
"QX","12/03/2021","2554","N646QX","ANC","22:50","22:53","68","60","3","23:03","10","0","0","0","0","0"
"QX","12/03/2022","2097","N626QX","ANC","22:00","21:51","69","58","-9","22:00","9","0","0","0","0","0"
