Detailed Statistics Departures  
Origin Airport: Anchorage, AK: Ted Stevens Anchorage International (ANC)
Airline: Horizon Air (QX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"QX","12/01/2021","2022","N642QX","FAI","09:45","00:00","65","0","0","00:00","0","0","0","0","0","0"
"QX","12/01/2021","2028","N642QX","FAI","06:00","06:01","65","78","1","06:33","32","0","0","0","0","0"
"QX","12/01/2021","2029","N650QX","SEA","17:25","18:45","215","215","80","19:12","27","0","0","0","0","80"
"QX","12/01/2021","2147","N642QX","FAI","17:30","00:00","65","0","0","00:00","0","0","0","0","0","0"
"QX","12/01/2021","2167","N642QX","FAI","13:35","00:00","65","0","0","00:00","0","0","0","0","0","0"
"QX","12/01/2021","2212","N650QX","DLG","13:50","13:55","70","80","5","14:20","25","0","0","15","0","0"
"QX","12/01/2021","2510","N642QX","FAI","21:05","00:00","65","0","0","00:00","0","0","0","0","0","0"
"QX","12/01/2021","2569","N650QX","AKN","10:00","09:56","73","78","-4","10:23","27","0","0","0","0","0"
"QX","12/01/2022","2080","N634QX","PAE","14:05","14:06","210","195","1","14:18","12","0","0","0","0","0"
"QX","12/01/2022","2105","N636QX","FAI","08:00","07:56","64","78","-4","08:15","19","0","0","0","0","0"
"QX","12/01/2022","2115","N633QX","AKN","15:05","16:07","70","60","62","16:17","10","0","52","0","0","0"
"QX","12/01/2022","2211","N636QX","DLG","11:40","11:40","79","69","0","11:49","9","0","0","0","0","0"
"QX","12/01/2022","2405","N634QX","FAI","06:05","05:59","64","77","-6","06:26","27","0","0","0","0","0"
"QX","12/01/2022","2406","N634QX","FAI","10:15","10:12","63","67","-3","10:21","9","0","0","0","0","0"
"QX","12/01/2022","2407","N636QX","FAI","15:45","16:01","63","68","16","16:13","12","16","0","5","0","0"
"QX","12/01/2022","2410","N636QX","FAI","20:00","19:53","62","57","-7","20:02","9","0","0","0","0","0"
"QX","12/01/2023","2000","N632QX","OTZ","10:45","10:46","98","94","1","10:56","10","0","0","0","0","0"
"QX","12/01/2023","2002","N636QX","OME","07:40","07:39","102","106","-1","08:02","23","0","0","0","0","0"
"QX","12/01/2023","2025","N629QX","FAI","17:10","17:08","65","56","-2","17:17","9","0","0","0","0","0"
"QX","12/01/2023","2048","N628QX","PDX","18:20","18:20","223","213","0","18:29","9","0","0","0","0","0"
"QX","12/01/2023","2052","N628QX","FAI","14:20","14:14","72","56","-6","14:24","10","0","0","0","0","0"
"QX","12/01/2023","2056","N629QX","FAI","08:50","08:46","72","64","-4","09:03","17","0","0","0","0","0"
"QX","12/01/2023","2080","N636QX","PAE","12:35","12:30","204","188","-5","12:39","9","0","0","0","0","0"
"QX","12/01/2023","2101","N628QX","FAI","06:05","05:56","67","61","-9","06:13","17","0","0","0","0","0"
"QX","12/01/2023","2115","N632QX","AKN","15:30","15:27","73","65","-3","15:36","9","0","0","0","0","0"
"QX","12/01/2023","2137","N629QX","FAI","12:45","12:37","72","56","-8","12:44","7","0","0","0","0","0"
"QX","12/01/2023","2211","N628QX","DLG","10:05","10:00","80","71","-5","10:10","10","0","0","0","0","0"
"QX","12/01/2023","2408","N632QX","FAI","19:14","19:35","65","55","21","19:45","10","0","0","0","0","0"
"QX","12/02/2021","2022","N642QX","FAI","09:45","09:42","65","80","-3","10:14","32","0","0","0","0","0"
"QX","12/02/2021","2029","N642QX","SEA","17:25","00:00","215","0","0","00:00","0","0","0","0","0","0"
"QX","12/02/2021","2073","N642QX","FAI","06:05","00:00","65","0","0","00:00","0","0","0","0","0","0"
"QX","12/02/2021","2147","N650QX","FAI","17:30","18:36","65","57","66","18:46","10","1","0","0","0","57"
"QX","12/02/2021","2167","N642QX","FAI","13:35","13:42","65","0","7","14:18","36","0","0","0","0","0"
"QX","12/02/2021","2212","N650QX","DLG","13:50","14:24","70","71","34","14:33","9","34","0","1","0","0"
"QX","12/02/2021","2510","N650QX","FAI","21:05","21:52","65","60","47","22:05","13","0","0","0","0","42"
"QX","12/02/2021","2567","N650QX","AKN","10:00","09:57","73","76","-3","10:23","26","0","0","0","0","0"
"QX","12/02/2022","2080","N633QX","PAE","14:05","14:09","210","195","4","14:21","12","0","0","0","0","0"
"QX","12/02/2022","2115","N626QX","AKN","15:05","15:00","70","63","-5","15:11","11","0","0","0","0","0"
"QX","12/02/2022","2211","N633QX","DLG","09:57","10:03","79","99","6","10:42","39","6","0","20","0","0"
"QX","12/02/2022","2405","N636QX","FAI","06:05","05:59","64","83","-6","06:35","36","0","0","0","0","0"
"QX","12/02/2022","2407","N636QX","FAI","15:45","17:00","63","69","75","17:24","24","0","75","6","0","0"
"QX","12/02/2022","2410","N636QX","FAI","20:00","20:33","62","55","33","20:42","9","0","0","0","0","26"
"QX","12/02/2023","2000","N630QX","OTZ","10:45","12:12","98","92","87","12:21","9","81","0","0","0","0"
"QX","12/02/2023","2002","N629QX","OME","07:40","07:44","102","131","4","08:27","43","0","0","33","0","0"
"QX","12/02/2023","2025","N630QX","FAI","17:10","17:05","65","60","-5","17:16","11","0","0","0","0","0"
"QX","12/02/2023","2052","N632QX","FAI","14:20","14:21","72","55","1","14:29","8","0","0","0","0","0"
"QX","12/02/2023","2056","N649QX","FAI","08:50","09:00","72","80","10","09:35","35","10","0","8","0","0"
"QX","12/02/2023","2080","N629QX","PAE","12:35","13:07","204","183","32","13:19","12","0","0","0","0","0"
"QX","12/02/2023","2137","N649QX","FAI","12:45","12:44","72","55","-1","12:54","10","0","0","0","0","0"
"QX","12/02/2023","2211","N632QX","DLG","10:05","10:04","80","79","-1","10:22","18","0","0","0","0","0"
"QX","12/03/2021","2022","N650QX","FAI","09:45","09:44","65","63","-1","09:59","15","0","0","0","0","0"
"QX","12/03/2021","2029","N650QX","SEA","17:25","17:32","215","213","7","17:48","16","0","0","0","0","0"
"QX","12/03/2021","2073","N650QX","FAI","06:05","06:04","65","72","-1","06:27","23","0","0","0","0","0"
"QX","12/03/2021","2147","N646QX","FAI","17:30","17:50","65","70","20","18:12","22","0","0","5","0","20"
"QX","12/03/2021","2167","N650QX","FAI","13:35","13:39","65","58","4","13:50","11","0","0","0","0","0"
"QX","12/03/2021","2212","N646QX","DLG","13:50","13:47","70","78","-3","14:06","19","0","0","0","0","0"
"QX","12/03/2021","2510","N646QX","FAI","21:05","21:05","65","74","0","21:32","27","0","0","0","0","0"
"QX","12/03/2021","2567","N646QX","AKN","10:00","09:52","73","70","-8","10:08","16","0","0","0","0","0"
"QX","12/03/2022","2080","N636QX","PAE","14:05","13:57","210","195","-8","14:04","7","0","0","0","0","0"
"QX","12/03/2022","2105","N626QX","FAI","08:00","07:54","64","60","-6","08:10","16","0","0","0","0","0"
"QX","12/03/2022","2115","N644QX","AKN","15:05","15:00","70","58","-5","15:08","8","0","0","0","0","0"
"QX","12/03/2022","2211","N626QX","DLG","11:40","11:34","79","72","-6","11:43","9","0","0","0","0","0"
"QX","12/03/2022","2405","N636QX","FAI","06:05","05:52","64","70","-13","06:19","27","0","0","0","0","0"
"QX","12/03/2022","2406","N636QX","FAI","10:15","10:16","63","71","1","10:33","17","0","0","0","0","0"
"QX","12/03/2022","2407","N626QX","FAI","15:45","16:20","63","63","35","16:29","9","35","0","0","0","0"
"QX","12/03/2022","2410","N626QX","FAI","20:00","19:56","62","60","-4","20:12","16","0","0","0","0","0"
"QX","12/03/2023","2000","N632QX","OTZ","10:45","10:46","98","99","1","11:03","17","0","0","0","0","0"
"QX","12/03/2023","2002","N631QX","OME","07:40","07:39","102","95","-1","07:54","15","0","0","0","0","0"
"QX","12/03/2023","2025","N649QX","FAI","17:10","17:07","65","49","-3","17:15","8","0","0","0","0","0"
"QX","12/03/2023","2048","N630QX","PDX","18:20","18:19","223","202","-1","18:31","12","0","0","0","0","0"
"QX","12/03/2023","2052","N630QX","FAI","14:20","14:26","72","55","6","14:34","8","0","0","0","0","0"
"QX","12/03/2023","2056","N649QX","FAI","08:50","08:56","72","58","6","09:06","10","0","0","0","0","0"
"QX","12/03/2023","2080","N631QX","PAE","12:35","12:30","204","189","-5","12:39","9","0","0","0","0","0"
"QX","12/03/2023","2101","N630QX","FAI","06:05","05:56","67","51","-9","06:03","7","0","0","0","0","0"
"QX","12/03/2023","2115","N632QX","AKN","15:30","15:30","73","62","0","15:40","10","0","0","0","0","0"
"QX","12/03/2023","2137","N649QX","FAI","12:45","12:37","72","56","-8","12:48","11","0","0","0","0","0"
"QX","12/03/2023","2211","N630QX","DLG","10:05","10:20","80","73","15","10:34","14","0","0","0","0","0"
"QX","12/03/2023","2408","N632QX","FAI","19:14","19:11","65","51","-3","19:19","8","0","0","0","0","0"
"QX","12/04/2021","2022","N645QX","FAI","09:45","09:44","65","54","-1","09:55","11","0","0","0","0","0"
"QX","12/04/2021","2029","N645QX","SEA","17:25","17:24","215","196","-1","17:38","14","0","0","0","0","0"
"QX","12/04/2021","2073","N646QX","FAI","06:05","05:58","65","74","-7","06:28","30","0","0","0","0","0"
"QX","12/04/2021","2147","N646QX","FAI","17:30","18:37","65","60","67","18:54","17","17","0","0","0","45"
"QX","12/04/2021","2167","N645QX","FAI","13:35","13:40","65","63","5","14:01","21","0","0","0","0","0"
"QX","12/04/2021","2212","N646QX","DLG","13:50","13:45","70","94","-5","14:15","30","0","0","19","0","0"
"QX","12/04/2021","2510","N646QX","FAI","21:05","21:52","65","65","47","22:13","21","0","0","0","0","47"
