Detailed Statistics Departures  
Origin Airport: Fargo, ND: Hector International (FAR)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1333","N359NB","MSP","05:32","05:31","76","63","-1","05:54","23","0","0","0","0","0"
"DL","12/01/2022","1277","N836DN","MSP","06:55","07:22","84","58","27","07:32","10","0","0","0","0","0"
"DL","12/01/2023","0686","N352NB","MSP","05:00","04:54","76","61","-6","05:15","21","0","0","0","0","0"
"DL","12/02/2021","1333","N316NB","MSP","05:32","05:26","76","58","-6","05:43","17","0","0","0","0","0"
"DL","12/02/2022","1277","N901DN","MSP","06:55","06:53","84","70","-2","07:17","24","0","0","0","0","0"
"DL","12/02/2023","0686","N337NB","MSP","05:00","04:58","76","78","-2","05:25","27","0","0","0","0","0"
"DL","12/03/2021","1333","N358NB","MSP","05:32","05:27","76","52","-5","05:38","11","0","0","0","0","0"
"DL","12/03/2022","1277","N868DN","MSP","06:55","06:53","84","71","-2","07:15","22","0","0","0","0","0"
"DL","12/03/2023","0686","N340NB","MSP","05:00","05:08","76","65","8","05:31","23","0","0","0","0","0"
"DL","12/04/2021","1333","N370NB","MSP","05:32","05:24","76","51","-8","05:35","11","0","0","0","0","0"
"DL","12/04/2022","1277","N832DN","MSP","06:55","06:50","84","59","-5","07:13","23","0","0","0","0","0"
"DL","12/04/2023","0686","N352NB","MSP","05:00","04:53","76","56","-7","05:12","19","0","0","0","0","0"
"DL","12/05/2021","1333","N352NB","MSP","05:34","05:35","80","94","1","06:28","53","0","0","15","0","0"
"DL","12/05/2022","1277","N859DN","MSP","06:56","06:52","84","55","-4","07:04","12","0","0","0","0","0"
"DL","12/05/2023","0686","N330NB","MSP","05:00","04:52","76","60","-8","05:10","18","0","0","0","0","0"
"DL","12/06/2021","1333","N360NB","MSP","05:34","05:45","80","56","11","05:55","10","0","0","0","0","0"
"DL","12/06/2022","1277","N885DN","MSP","06:56","07:04","84","105","8","08:07","63","8","0","21","0","0"
"DL","12/06/2023","0686","N368NB","MSP","05:00","04:58","76","52","-2","05:11","13","0","0","0","0","0"
"DL","12/07/2021","1333","N348NB","MSP","05:34","05:32","80","94","-2","06:23","51","0","0","0","0","0"
"DL","12/07/2022","1277","N906DN","MSP","06:56","06:49","84","71","-7","07:13","24","0","0","0","0","0"
"DL","12/07/2023","0686","N334NW","MSP","05:00","05:00","82","65","0","05:20","20","0","0","0","0","0"
"DL","12/07/2023","2452","N902DN","MSP","06:20","06:24","88","60","4","06:44","20","0","0","0","0","0"
"DL","12/08/2021","1333","N352NB","MSP","05:34","05:31","80","69","-3","06:00","29","0","0","0","0","0"
"DL","12/08/2022","1277","N851DN","MSP","06:56","07:03","84","65","7","07:31","28","0","0","0","0","0"
"DL","12/08/2023","0686","N339NW","MSP","05:00","04:59","82","58","-1","05:12","13","0","0","0","0","0"
"DL","12/08/2023","2452","N847DN","MSP","06:20","06:20","88","58","0","06:32","12","0","0","0","0","0"
"DL","12/09/2021","1333","N357NB","MSP","05:34","05:29","80","57","-5","05:40","11","0","0","0","0","0"
"DL","12/09/2022","1277","N894DN","MSP","06:56","06:55","84","91","-1","07:36","41","0","0","0","0","0"
"DL","12/09/2023","0686","N364NB","MSP","05:00","23:20","82","63","1100","23:33","13","0","1081","0","0","0"
"DL","12/09/2023","2452","N852DN","MSP","06:20","00:07","88","93","1067","00:55","48","0","1067","5","0","0"
