Detailed Statistics Departures  
Origin Airport: Fargo, ND: Hector International (FAR)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3072","N724SK","ORD","07:01","07:44","129","113","43","08:03","19","27","0","0","0","0"
"OO","12/01/2021","3147","N746SK","ORD","17:22","17:19","128","119","-3","17:39","20","0","0","0","0","0"
"OO","12/01/2021","3623","N258SY","MSP","11:00","10:59","64","53","-1","11:08","9","0","0","0","0","0"
"OO","12/01/2021","3812","N259SY","MSP","13:00","12:54","63","56","-6","13:04","10","0","0","0","0","0"
"OO","12/01/2021","4113","N607CZ","MSP","08:17","08:10","72","68","-7","08:36","26","0","0","0","0","0"
"OO","12/01/2021","4459","N837SK","MSP","17:32","17:26","71","63","-6","17:43","17","0","0","0","0","0"
"OO","12/01/2021","4634","N910EV","ORD","14:30","14:35","130","109","5","14:50","15","0","0","0","0","0"
"OO","12/01/2021","4737","N454SW","DEN","11:30","11:27","131","111","-3","11:37","10","0","0","0","0","0"
"OO","12/01/2021","4741","N454SW","DEN","17:00","16:51","130","121","-9","17:12","21","0","0","0","0","0"
"OO","12/01/2021","5348","N122SY","ORD","06:00","06:02","130","129","2","06:38","36","0","0","0","0","0"
"OO","12/01/2021","5414","N910EV","DEN","09:00","08:51","139","143","-9","09:31","40","0","0","0","0","0"
"OO","12/01/2022","3560","N320SY","MSP","17:31","17:26","80","65","-5","17:45","19","0","0","0","0","0"
"OO","12/01/2022","3623","N257SY","MSP","11:07","11:13","68","57","6","11:23","10","0","0","0","0","0"
"OO","12/01/2022","3751","N689CA","MSP","13:21","13:18","65","53","-3","13:30","12","0","0","0","0","0"
"OO","12/01/2022","4004","N317SY","MSP","05:02","05:03","83","68","1","05:29","26","0","0","0","0","0"
"OO","12/01/2022","4634","N709BR","ORD","14:25","14:30","129","111","5","14:42","12","0","0","0","0","0"
"OO","12/01/2022","4741","N909EV","DEN","17:00","16:50","130","143","-10","17:20","30","0","0","0","0","0"
"OO","12/01/2022","4747","N943SW","DEN","09:00","09:00","145","132","0","09:20","20","0","0","0","0","0"
"OO","12/01/2022","5251","N617UX","DEN","11:38","11:29","127","126","-9","11:42","13","0","0","0","0","0"
"OO","12/01/2022","5348","N958SW","ORD","07:35","07:32","139","107","-3","07:43","11","0","0","0","0","0"
"OO","12/01/2022","5862","N947SW","DEN","05:38","05:38","147","134","0","06:04","26","0","0","0","0","0"
"OO","12/01/2023","3771","N311SY","MSP","17:55","17:49","80","67","-6","18:12","23","0","0","0","0","0"
"OO","12/01/2023","4634","N796SK","DEN","17:02","16:57","128","119","-5","17:07","10","0","0","0","0","0"
"OO","12/01/2023","4737","N154SY","DEN","11:38","11:44","131","113","6","11:55","11","0","0","0","0","0"
"OO","12/01/2023","4777","N140SY","DEN","08:30","08:18","149","156","-12","08:45","27","0","0","0","0","0"
"OO","12/01/2023","5232","N875AS","ORD","14:40","14:30","127","116","-10","14:43","13","0","0","0","0","0"
"OO","12/01/2023","5348","N202SY","ORD","07:30","07:22","138","131","-8","07:47","25","0","0","0","0","0"
"OO","12/02/2021","3039","N751SK","ORD","07:05","07:04","130","99","-1","07:25","21","0","0","0","0","0"
"OO","12/02/2021","3147","N701SK","ORD","17:22","17:11","128","114","-11","17:21","10","0","0","0","0","0"
"OO","12/02/2021","3623","N252SY","MSP","11:00","10:58","64","55","-2","11:10","12","0","0","0","0","0"
"OO","12/02/2021","3812","N306SY","MSP","13:00","12:58","63","56","-2","13:11","13","0","0","0","0","0"
"OO","12/02/2021","4113","N296SY","MSP","08:17","08:17","72","70","0","08:42","25","0","0","0","0","0"
"OO","12/02/2021","4459","N840SK","MSP","17:32","17:27","71","52","-5","17:36","9","0","0","0","0","0"
"OO","12/02/2021","4634","N956SW","ORD","14:30","14:35","130","101","5","14:45","10","0","0","0","0","0"
"OO","12/02/2021","4737","N908EV","DEN","11:30","11:40","131","122","10","11:58","18","0","0","0","0","0"
"OO","12/02/2021","4741","N809CA","DEN","17:00","17:00","130","131","0","17:24","24","0","0","0","0","0"
"OO","12/02/2021","5348","N153SY","ORD","06:00","05:51","130","99","-9","06:09","18","0","0","0","0","0"
"OO","12/02/2021","5414","N904EV","DEN","09:00","09:04","139","142","4","09:44","40","0","0","0","0","0"
"OO","12/02/2022","3560","N255SY","MSP","17:31","17:26","80","89","-5","18:03","37","0","0","0","0","0"
"OO","12/02/2022","3623","N309SY","MSP","11:07","11:04","68","61","-3","11:17","13","0","0","0","0","0"
"OO","12/02/2022","3751","N897SK","MSP","13:21","13:20","65","84","-1","13:58","38","18","0","0","0","0"
"OO","12/02/2022","4004","N259SY","MSP","05:02","04:56","83","77","-6","05:26","30","0","0","0","0","0"
"OO","12/02/2022","4634","N471CA","ORD","14:25","16:26","129","140","121","17:06","40","0","0","0","0","132"
"OO","12/02/2022","4741","N915SW","DEN","17:00","16:52","130","163","-8","17:43","51","25","0","0","0","0"
"OO","12/02/2022","4747","N963SW","DEN","09:00","08:55","145","156","-5","09:27","32","0","0","0","0","0"
"OO","12/02/2022","5251","N608UX","DEN","11:38","11:25","127","147","-13","11:57","32","0","0","0","0","0"
"OO","12/02/2022","5348","N962SW","ORD","07:35","07:27","139","131","-8","08:01","34","0","0","0","0","0"
"OO","12/02/2022","5862","N783SK","DEN","05:38","05:30","142","145","-8","05:58","28","0","0","0","0","0"
"OO","12/02/2023","4634","N785SK","DEN","17:02","16:57","128","125","-5","17:11","14","0","0","0","0","0"
"OO","12/02/2023","4737","N145SY","DEN","11:38","11:27","131","123","-11","11:47","20","0","0","0","0","0"
"OO","12/02/2023","4777","N200SY","DEN","08:30","08:23","149","115","-7","08:37","14","0","0","0","0","0"
"OO","12/02/2023","5232","N930SW","ORD","14:40","14:32","127","114","-8","14:43","11","0","0","0","0","0"
"OO","12/02/2023","5348","N211SY","ORD","07:30","07:24","138","142","-6","07:52","28","0","0","0","0","0"
"OO","12/03/2021","3039","N755EV","ORD","07:05","06:55","130","113","-10","07:15","20","0","0","0","0","0"
"OO","12/03/2021","3147","N751SK","ORD","17:22","18:05","128","109","43","18:20","15","0","0","0","0","24"
"OO","12/03/2021","3623","N260SY","MSP","11:00","11:02","64","64","2","11:24","22","0","0","0","0","0"
"OO","12/03/2021","3812","N259SY","MSP","13:00","12:57","63","59","-3","13:08","11","0","0","0","0","0"
"OO","12/03/2021","4113","N259SY","MSP","08:17","08:15","72","71","-2","08:46","31","0","0","0","0","0"
"OO","12/03/2021","4459","N833SK","MSP","17:32","17:30","71","64","-2","17:43","13","0","0","0","0","0"
"OO","12/03/2021","4634","N971SW","ORD","14:30","14:19","130","100","-11","14:31","12","0","0","0","0","0"
"OO","12/03/2021","4737","N946SW","DEN","11:30","12:03","131","119","33","12:18","15","21","0","0","0","0"
"OO","12/03/2021","4741","N932EV","DEN","17:00","16:53","130","123","-7","17:09","16","0","0","0","0","0"
"OO","12/03/2021","5348","N117SY","ORD","06:00","05:52","130","101","-8","06:05","13","0","0","0","0","0"
"OO","12/03/2021","5414","N466SW","DEN","09:00","09:11","139","142","11","09:47","36","0","0","0","0","0"
"OO","12/03/2022","3623","N243SY","MSP","11:07","11:06","68","68","-1","11:27","21","0","0","0","0","0"
"OO","12/03/2022","3751","N257SY","MSP","15:25","16:20","63","56","55","16:35","15","48","0","0","0","0"
"OO","12/03/2022","4004","N319SY","MSP","05:02","05:19","83","66","17","05:44","25","0","0","0","0","0"
"OO","12/03/2022","4634","N923SW","ORD","14:25","14:24","129","92","-1","14:36","12","0","0","0","0","0"
"OO","12/03/2022","4741","N652BR","DEN","17:00","16:53","130","126","-7","17:05","12","0","0","0","0","0"
"OO","12/03/2022","4747","N221PS","DEN","09:00","09:07","145","157","7","09:47","40","0","19","0","0","0"
"OO","12/03/2022","5251","N601UX","DEN","11:38","11:49","127","120","11","12:03","14","0","0","0","0","0"
"OO","12/03/2022","5348","N954SW","ORD","07:35","07:39","139","143","4","08:28","49","0","0","0","0","0"
"OO","12/03/2022","5862","N790SK","DEN","05:38","05:56","142","150","18","06:41","45","26","0","0","0","0"
"OO","12/03/2023","3771","N241SY","MSP","17:55","17:51","80","69","-4","18:18","27","0","0","0","0","0"
"OO","12/03/2023","4634","N794SK","DEN","17:02","16:55","128","131","-7","17:24","29","0","0","0","0","0"
"OO","12/03/2023","4737","N140SY","DEN","11:38","11:43","131","116","5","12:05","22","0","0","0","0","0"
"OO","12/03/2023","4777","N211SY","DEN","08:30","08:21","149","143","-9","08:51","30","0","0","0","0","0"
"OO","12/03/2023","5232","N971SW","ORD","14:40","14:29","127","122","-11","14:45","16","0","0","0","0","0"
"OO","12/03/2023","5348","N167SY","ORD","07:30","07:21","138","136","-9","07:50","29","0","0","0","0","0"
"OO","12/04/2021","3039","N758EV","ORD","07:05","06:56","130","102","-9","07:12","16","0","0","0","0","0"
"OO","12/04/2021","3623","N293SY","MSP","11:00","10:49","64","72","-11","11:18","29","0","0","0","0","0"
"OO","12/04/2021","3812","N261SY","MSP","13:00","13:10","63","54","10","13:20","10","0","0","0","0","0"
"OO","12/04/2021","4113","N306SY","MSP","08:17","08:07","72","60","-10","08:22","15","0","0","0","0","0"
"OO","12/04/2021","4459","N827SK","MSP","17:32","17:21","71","55","-11","17:30","9","0","0","0","0","0"
"OO","12/04/2021","4634","N472CA","ORD","14:30","14:21","130","100","-9","14:30","9","0","0","0","0","0"
"OO","12/04/2021","4737","N956SW","DEN","11:30","11:29","131","116","-1","11:41","12","0","0","0","0","0"
"OO","12/04/2021","4741","N956SW","DEN","17:00","16:52","130","135","-8","17:04","12","0","0","0","0","0"
"OO","12/04/2021","5348","N130SY","ORD","06:00","05:53","130","91","-7","06:01","8","0","0","0","0","0"
"OO","12/04/2021","5414","N466SW","DEN","09:00","08:53","139","150","-7","09:08","15","0","0","0","0","0"
"OO","12/04/2022","3560","N305SY","MSP","17:31","17:24","80","63","-7","17:39","15","0","0","0","0","0"
"OO","12/04/2022","3623","N243SY","MSP","11:07","10:58","68","57","-9","11:11","13","0","0","0","0","0"
"OO","12/04/2022","3751","N800SK","MSP","13:21","13:16","65","65","-5","13:30","14","0","0","0","0","0"
"OO","12/04/2022","4004","N309SY","MSP","05:02","05:10","83","75","8","05:43","33","0","0","0","0","0"
"OO","12/04/2022","4634","N913EV","ORD","14:25","14:28","129","101","3","14:40","12","0","0","0","0","0"
"OO","12/04/2022","4741","N246PS","DEN","17:00","16:54","130","122","-6","17:05","11","0","0","0","0","0"
"OO","12/04/2022","4747","N868AS","DEN","09:00","09:31","145","144","31","10:05","34","30","0","0","0","0"
"OO","12/04/2022","5251","N607UX","DEN","11:38","11:39","127","122","1","11:55","16","0","0","0","0","0"
"OO","12/04/2022","5348","N937EV","ORD","07:35","08:47","139","112","72","09:14","27","45","0","0","0","0"
"OO","12/04/2022","5862","N788SK","DEN","05:38","05:40","142","137","2","06:13","33","0","0","0","0","0"
"OO","12/04/2023","3771","N241SY","MSP","17:55","17:51","80","56","-4","18:02","11","0","0","0","0","0"
"OO","12/04/2023","4634","N790SK","DEN","17:02","16:54","128","124","-8","17:21","27","0","0","0","0","0"
"OO","12/04/2023","4737","N166SY","DEN","11:38","11:29","131","112","-9","11:38","9","0","0","0","0","0"
"OO","12/04/2023","4777","N135SY","DEN","08:30","08:23","149","129","-7","08:44","21","0","0","0","0","0"
"OO","12/04/2023","5232","N932EV","ORD","14:40","14:33","127","111","-7","14:48","15","0","0","0","0","0"
"OO","12/04/2023","5348","N157SY","ORD","07:30","07:22","138","127","-8","07:46","24","0","0","0","0","0"
"OO","12/05/2021","3147","N708SK","ORD","17:22","17:32","128","161","10","18:22","50","0","0","0","0","43"
"OO","12/05/2021","3623","N821SK","MSP","10:53","12:36","71","80","103","13:08","32","0","112","0","0","0"
"OO","12/05/2021","3812","N307SY","MSP","12:56","13:43","68","74","47","14:12","29","0","53","0","0","0"
"OO","12/05/2021","4113","N246SY","MSP","08:10","08:05","77","91","-5","08:53","48","0","0","0","0","0"
"OO","12/05/2021","4459","N839SK","MSP","17:42","17:36","80","87","-6","18:16","40","0","0","0","0","0"
"OO","12/05/2021","4634","N909SW","ORD","14:30","14:26","130","134","-4","15:02","36","0","0","0","0","0"
"OO","12/05/2021","4737","N784SK","DEN","11:30","13:43","131","160","133","14:29","46","0","0","0","0","162"
"OO","12/05/2021","4741","N876AS","DEN","17:00","17:08","130","150","8","17:57","49","28","0","0","0","0"
"OO","12/05/2021","5348","N125SY","ORD","06:00","00:00","130","0","0","00:00","0","0","0","0","0","0"
"OO","12/05/2021","5414","N868AS","DEN","09:00","11:14","139","158","134","11:58","44","0","0","0","0","153"
"OO","12/05/2022","3560","N305SY","MSP","17:31","17:22","80","70","-9","17:38","16","0","0","0","0","0"
"OO","12/05/2022","3623","N246SY","MSP","11:07","11:04","68","61","-3","11:14","10","0","0","0","0","0"
"OO","12/05/2022","3751","N816SK","MSP","13:21","13:19","65","54","-2","13:29","10","0","0","0","0","0"
"OO","12/05/2022","4004","N297SY","MSP","05:02","04:51","83","77","-11","05:19","28","0","0","0","0","0"
"OO","12/05/2022","4634","N246PS","ORD","14:25","14:25","129","111","0","14:44","19","0","0","0","0","0"
"OO","12/05/2022","4741","N920EV","DEN","17:00","17:32","130","126","32","17:45","13","28","0","0","0","0"
"OO","12/05/2022","4747","N930EV","DEN","09:00","08:50","145","145","-10","09:11","21","0","0","0","0","0"
"OO","12/05/2022","5251","N625UX","DEN","11:38","11:35","127","125","-3","11:47","12","0","0","0","0","0"
"OO","12/05/2022","5348","N983SW","ORD","07:35","07:43","139","110","8","08:01","18","0","0","0","0","0"
"OO","12/05/2022","5862","N795SK","DEN","05:38","05:29","142","121","-9","05:45","16","0","0","0","0","0"
"OO","12/05/2023","3771","N257SY","MSP","17:55","17:50","80","74","-5","18:14","24","0","0","0","0","0"
"OO","12/05/2023","4634","N788SK","DEN","17:02","17:06","128","125","4","17:39","33","0","0","0","0","0"
"OO","12/05/2023","4737","N168SY","DEN","11:38","11:51","131","108","13","12:05","14","0","0","0","0","0"
"OO","12/05/2023","4777","N166SY","DEN","08:30","08:22","149","109","-8","08:40","18","0","0","0","0","0"
"OO","12/05/2023","5232","N930EV","ORD","14:40","14:28","127","114","-12","14:39","11","0","0","0","0","0"
"OO","12/05/2023","5348","N160SY","ORD","07:30","07:23","138","126","-7","07:41","18","0","0","0","0","0"
"OO","12/06/2021","3039","N742SK","ORD","07:06","00:00","130","0","0","00:00","0","0","0","0","0","0"
"OO","12/06/2021","3147","N708EV","ORD","17:22","18:41","128","107","79","19:00","19","0","0","0","0","58"
"OO","12/06/2021","3623","N804SK","MSP","10:53","10:51","71","60","-2","11:02","11","0","0","0","0","0"
"OO","12/06/2021","3812","N294SY","MSP","12:56","12:52","68","63","-4","13:09","17","0","0","0","0","0"
"OO","12/06/2021","4113","N258SY","MSP","08:10","09:05","77","69","55","09:17","12","0","47","0","0","0"
"OO","12/06/2021","4459","N826SK","MSP","17:42","17:53","80","71","11","18:16","23","0","0","0","0","0"
"OO","12/06/2021","4634","N246PS","ORD","14:30","14:31","130","157","1","14:45","14","28","0","0","0","0"
"OO","12/06/2021","4737","N417SW","DEN","11:30","11:45","131","127","15","12:03","18","0","0","0","0","0"
"OO","12/06/2021","4741","N978SW","DEN","17:00","16:52","130","134","-8","17:13","21","0","0","0","0","0"
"OO","12/06/2021","5348","N203SY","ORD","06:00","00:00","130","0","0","00:00","0","0","0","0","0","0"
"OO","12/06/2021","5414","N956SW","DEN","09:00","00:00","139","0","0","00:00","0","0","0","0","0","0"
"OO","12/06/2022","3560","N243SY","MSP","17:31","17:25","80","74","-6","17:57","32","0","0","0","0","0"
"OO","12/06/2022","3623","N319SY","MSP","11:07","10:59","68","78","-8","11:36","37","0","0","0","0","0"
