Detailed Statistics Departures  
Origin Airport: Anchorage, AK: Ted Stevens Anchorage International (ANC)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","1959","N26208","DEN","23:45","23:55","302","298","10","00:17","22","0","0","0","0","0"
"UA","12/01/2022","1959","N87531","DEN","23:45","23:54","306","286","9","00:03","9","0","0","0","0","0"
"UA","12/01/2023","1959","N17329","DEN","23:51","00:41","313","302","50","00:55","14","39","0","0","0","0"
"UA","12/02/2021","1959","N27239","DEN","23:45","23:40","302","294","-5","23:58","18","0","0","0","0","0"
"UA","12/02/2022","1959","N17244","DEN","23:45","01:29","306","295","104","01:46","17","32","0","0","0","61"
"UA","12/02/2023","1959","N17262","DEN","23:51","23:43","313","313","-8","00:09","26","0","0","0","0","0"
"UA","12/03/2021","1959","N18243","DEN","23:45","23:50","302","285","5","00:01","11","0","0","0","0","0"
"UA","12/03/2022","1959","N37252","DEN","23:45","23:42","306","301","-3","23:55","13","0","0","0","0","0"
"UA","12/03/2023","1959","N17285","DEN","23:51","23:49","313","295","-2","00:01","12","0","0","0","0","0"
"UA","12/04/2021","1959","N78285","DEN","23:45","00:55","302","274","70","01:09","14","0","0","0","0","42"
"UA","12/04/2022","1959","N33203","DEN","23:45","23:44","306","295","-1","00:01","17","0","0","0","0","0"
"UA","12/04/2023","1959","N47275","DEN","23:51","23:49","313","309","-2","00:04","15","0","0","0","0","0"
"UA","12/05/2021","1959","N13248","DEN","23:45","00:01","302","278","16","00:19","18","0","0","0","0","0"
"UA","12/05/2022","1959","N18223","DEN","23:45","00:10","306","288","25","00:22","12","0","0","0","0","0"
"UA","12/05/2023","1959","N17333","DEN","23:51","23:36","313","309","-15","23:52","16","0","0","0","0","0"
"UA","12/06/2021","1959","N14219","DEN","23:45","00:01","302","292","16","00:11","10","0","0","0","0","0"
"UA","12/06/2022","1959","N12238","DEN","23:45","00:29","306","366","44","01:44","75","43","0","60","0","1"
"UA","12/06/2023","1959","N27269","DEN","23:51","23:49","313","307","-2","00:06","17","0","0","0","0","0"
"UA","12/07/2021","1959","N24211","DEN","23:45","00:02","302","290","17","00:13","11","0","0","0","0","0"
"UA","12/07/2022","1959","N33262","DEN","23:45","23:39","306","306","-6","23:54","15","0","0","0","0","0"
"UA","12/07/2023","1959","N37319","DEN","23:51","23:52","313","334","1","00:36","44","0","0","22","0","0"
"UA","12/08/2021","1959","N27246","DEN","23:45","23:38","302","277","-7","23:48","10","0","0","0","0","0"
"UA","12/08/2022","1959","N36207","DEN","23:45","23:59","306","286","14","00:10","11","0","0","0","0","0"
"UA","12/08/2023","1959","N27274","DEN","23:51","01:04","313","281","73","01:17","13","3","0","0","0","38"
"UA","12/09/2021","1959","N13227","DEN","23:45","23:49","302","289","4","23:59","10","0","0","0","0","0"
"UA","12/09/2022","1959","N26232","DEN","23:45","00:06","306","299","21","00:17","11","0","0","0","0","0"
"UA","12/09/2023","1959","N17301","DEN","23:51","23:58","313","314","7","00:35","37","0","0","0","0","0"
"UA","12/10/2021","1959","N68822","DEN","23:45","00:20","302","277","35","00:29","9","0","0","0","0","0"
"UA","12/10/2022","1959","N24212","DEN","23:45","00:06","306","284","21","00:19","13","0","0","0","0","0"
"UA","12/10/2023","1959","N27304","DEN","23:51","23:51","313","312","0","00:17","26","0","0","0","0","0"
"UA","12/11/2021","1959","N37274","DEN","23:45","00:04","302","310","19","00:32","28","9","0","8","0","10"
"UA","12/11/2022","1959","N37267","DEN","23:45","00:54","306","334","69","01:44","50","0","40","28","0","29"
"UA","12/11/2023","1959","N47282","DEN","23:51","23:47","313","307","-4","23:59","12","0","0","0","0","0"
