Detailed Statistics Departures  
Origin Airport: Fayetteville, AR: Northwest Arkansas National (XNA)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3527","N217NN","DFW","06:20","06:14","92","79","-6","06:28","14","0","0","0","0","0"
"MQ","12/01/2021","3793","N266NN","ORD","10:24","10:21","111","109","-3","10:32","11","0","0","0","0","0"
"MQ","12/01/2021","3824","N254NN","DCA","06:16","06:08","138","140","-8","06:22","14","0","0","0","0","0"
"MQ","12/01/2021","3847","N271NN","DFW","08:14","08:12","95","84","-2","08:31","19","0","0","0","0","0"
"MQ","12/01/2021","3889","N905JH","ORD","17:25","17:15","120","121","-10","17:30","15","0","0","0","0","0"
"MQ","12/01/2021","3896","N282NN","DFW","09:25","09:17","84","70","-8","09:28","11","0","0","0","0","0"
"MQ","12/01/2021","3921","N246NN","CLT","07:01","06:56","144","130","-5","07:09","13","0","0","0","0","0"
"MQ","12/01/2021","3992","N268NN","DFW","10:11","10:04","84","74","-7","10:14","10","0","0","0","0","0"
"MQ","12/01/2021","4033","N226NN","CLT","18:24","18:16","141","126","-8","18:28","12","0","0","0","0","0"
"MQ","12/01/2021","4088","N222NS","ORD","07:15","07:13","122","105","-2","07:24","11","0","0","0","0","0"
"MQ","12/01/2021","4201","N232NN","DFW","12:33","12:24","84","69","-9","12:35","11","0","0","0","0","0"
"MQ","12/01/2021","4202","N227NN","DFW","19:35","19:27","91","64","-8","19:38","11","0","0","0","0","0"
"MQ","12/01/2021","4369","N285NN","DFW","14:28","14:21","89","71","-7","14:33","12","0","0","0","0","0"
"MQ","12/01/2022","3590","N292NN","CLT","09:17","09:10","129","117","-7","09:20","10","0","0","0","0","0"
"MQ","12/01/2022","3824","N239NN","DCA","06:00","06:26","149","138","26","06:38","12","15","0","0","0","0"
"MQ","12/01/2022","3834","N285NN","ORD","10:25","10:36","108","95","11","10:48","12","0","0","0","0","0"
"MQ","12/01/2022","3839","N224NN","DFW","09:31","09:19","84","71","-12","09:32","13","0","0","0","0","0"
"MQ","12/01/2022","3845","N217NN","MIA","06:32","06:30","164","147","-2","06:42","12","0","0","0","0","0"
"MQ","12/01/2022","3847","N256NN","DFW","08:08","08:07","86","95","-1","08:39","32","0","0","0","0","0"
"MQ","12/01/2022","3889","N902BC","ORD","16:50","16:41","108","112","-9","16:56","15","0","0","0","0","0"
"MQ","12/01/2022","3921","N260NN","CLT","07:14","07:07","129","124","-7","07:20","13","0","0","0","0","0"
"MQ","12/01/2022","3992","N259NN","DFW","10:16","10:25","84","80","9","10:37","12","0","0","0","0","0"
"MQ","12/01/2022","4088","N265NN","ORD","07:00","07:57","110","102","57","08:07","10","49","0","0","0","0"
"MQ","12/01/2022","4237","N201NN","DFW","18:00","18:11","84","78","11","18:20","9","0","0","0","0","0"
"MQ","12/01/2023","3326","N285NN","ORD","17:36","17:29","110","101","-7","17:45","16","0","0","0","0","0"
"MQ","12/01/2023","3401","N302RN","PHX","08:06","07:58","183","192","-8","08:12","14","0","0","0","0","0"
"MQ","12/01/2023","3504","N247NN","DFW","20:15","20:55","87","78","40","21:02","7","0","31","0","0","0"
"MQ","12/01/2023","3505","N200NN","DFW","16:38","16:48","87","86","10","17:00","12","0","0","0","0","0"
