Detailed Statistics Departures  
Origin Airport: Fayetteville, AR: Northwest Arkansas National (XNA)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2023","4343","N360FR","DEN","20:26","21:58","131","120","92","22:10","12","81","0","0","0","0"
"F9","12/02/2021","0719","N326FR","DEN","14:52","14:57","128","107","5","15:09","12","0","0","0","0","0"
"F9","12/02/2022","0719","N348FR","DEN","09:36","09:28","128","147","-8","09:58","30","0","0","0","0","0"
"F9","12/02/2023","4343","N360FR","DEN","20:26","20:16","131","123","-10","20:29","13","0","0","0","0","0"
"F9","12/03/2021","1294","N308FR","MCO","17:30","17:18","137","141","-12","17:31","13","0","0","0","0","0"
"F9","12/03/2021","1971","N233FR","LAS","13:12","12:59","195","171","-13","13:10","11","0","0","0","0","0"
"F9","12/03/2022","0719","N238FR","DEN","09:36","09:31","128","132","-5","09:46","15","0","0","0","0","0"
"F9","12/04/2021","0721","N232FR","DEN","19:45","19:27","128","114","-18","19:41","14","0","0","0","0","0"
"F9","12/04/2023","4343","N347FR","DEN","20:26","20:12","131","120","-14","20:23","11","0","0","0","0","0"
"F9","12/05/2021","0719","N323FR","DEN","15:13","15:04","128","146","-9","15:20","16","0","0","0","0","0"
"F9","12/05/2022","0719","N337FR","DEN","09:36","09:32","128","131","-4","09:52","20","0","0","0","0","0"
"F9","12/06/2021","1294","N346FR","MCO","15:23","15:13","137","149","-10","15:25","12","0","0","0","0","0"
"F9","12/06/2021","1971","N368FR","LAS","22:31","22:27","193","201","-4","22:36","9","0","0","0","0","0"
