Detailed Statistics Departures  
Origin Airport: Fayetteville, AR: Northwest Arkansas National (XNA)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3535","N855RW","EWR","10:00","09:55","183","160","-5","10:06","11","0","0","0","0","0"
"YX","12/01/2021","4789","N867RW","LGA","07:22","07:15","175","174","-7","07:30","15","0","0","0","0","0"
"YX","12/01/2021","4839","N127HQ","LGA","12:00","11:52","169","185","-8","12:03","11","0","0","0","0","0"
"YX","12/01/2022","4587","N451YX","LGA","14:29","14:59","179","163","30","15:11","12","0","0","0","0","0"
"YX","12/01/2022","4695","N433YX","LGA","07:03","06:59","179","163","-4","07:11","12","0","0","0","0","0"
"YX","12/01/2023","4472","N414YX","LGA","15:13","15:10","175","159","-3","15:19","9","0","0","0","0","0"
"YX","12/01/2023","4789","N427YX","LGA","07:08","07:06","187","165","-2","07:22","16","0","0","0","0","0"
"YX","12/02/2021","3535","N861RW","EWR","10:00","09:55","183","188","-5","10:08","13","0","0","0","0","0"
"YX","12/02/2021","4789","N821MD","LGA","07:22","07:37","175","185","15","08:05","28","15","0","10","0","0"
"YX","12/02/2021","4839","N431YX","LGA","12:00","11:54","169","169","-6","12:05","11","0","0","0","0","0"
"YX","12/02/2022","4587","N450YX","LGA","14:29","14:48","179","162","19","14:58","10","0","0","0","0","0"
"YX","12/02/2022","4695","N451YX","LGA","07:03","06:53","179","169","-10","07:06","13","0","0","0","0","0"
"YX","12/02/2023","4270","N426YX","MIA","07:15","07:11","181","175","-4","07:23","12","0","0","0","0","0"
"YX","12/02/2023","4472","N404YX","LGA","15:13","15:09","175","159","-4","15:25","16","0","0","0","0","0"
"YX","12/03/2021","3535","N650RW","EWR","09:25","09:20","183","167","-5","09:37","17","0","0","0","0","0"
"YX","12/03/2021","4789","N443YX","LGA","07:22","07:15","175","161","-7","07:29","14","0","0","0","0","0"
"YX","12/03/2021","4839","N134HQ","LGA","12:00","11:58","169","186","-2","12:13","15","0","0","15","0","0"
"YX","12/03/2022","4695","N450YX","LGA","07:10","07:00","179","164","-10","07:13","13","0","0","0","0","0"
"YX","12/03/2023","4472","N447YX","LGA","15:13","15:09","175","161","-4","15:25","16","0","0","0","0","0"
"YX","12/04/2021","3655","N741YX","ORD","06:00","05:53","119","102","-7","06:02","9","0","0","0","0","0"
"YX","12/04/2021","4789","N107HQ","LGA","08:21","08:14","178","163","-7","08:26","12","0","0","0","0","0"
"YX","12/04/2022","4587","N418YX","LGA","14:29","16:15","179","161","106","16:25","10","88","0","0","0","0"
"YX","12/04/2022","4695","N136HQ","LGA","07:01","07:01","179","159","0","07:14","13","0","0","0","0","0"
"YX","12/04/2023","4472","N425YX","LGA","15:13","16:58","175","168","105","17:09","11","98","0","0","0","0"
"YX","12/04/2023","4789","N119HQ","LGA","07:08","07:00","187","175","-8","07:17","17","0","0","0","0","0"
"YX","12/05/2021","3426","N652RW","EWR","10:00","09:53","183","171","-7","10:12","19","0","0","0","0","0"
"YX","12/05/2021","4789","N869RW","LGA","07:22","07:15","175","168","-7","07:27","12","0","0","0","0","0"
"YX","12/05/2021","4839","N117HQ","LGA","12:00","11:51","169","174","-9","12:04","13","0","0","0","0","0"
"YX","12/05/2022","4587","N424YX","LGA","14:29","14:32","179","169","3","14:45","13","0","0","0","0","0"
"YX","12/05/2022","4695","N418YX","LGA","07:01","06:55","179","172","-6","07:08","13","0","0","0","0","0"
"YX","12/05/2023","4472","N437YX","LGA","14:26","14:24","183","168","-2","14:33","9","0","0","0","0","0"
"YX","12/05/2023","4789","N447YX","LGA","06:32","06:49","186","170","17","07:00","11","0","0","0","0","0"
"YX","12/06/2021","3426","N861RW","EWR","10:00","09:53","183","190","-7","10:06","13","0","0","0","0","0"
"YX","12/06/2021","4789","N447YX","LGA","07:22","07:20","175","184","-2","07:41","21","0","0","0","0","0"
"YX","12/06/2021","4839","N443YX","LGA","12:00","11:58","169","208","-2","12:10","12","0","0","37","0","0"
"YX","12/06/2022","4587","N135HQ","LGA","14:29","14:22","179","160","-7","14:32","10","0","0","0","0","0"
"YX","12/06/2022","4695","N424YX","LGA","07:01","06:56","179","157","-5","07:07","11","0","0","0","0","0"
"YX","12/06/2023","4472","N124HQ","LGA","14:26","14:14","183","169","-12","14:26","12","0","0","0","0","0"
"YX","12/06/2023","4789","N441YX","LGA","06:32","06:36","186","202","4","07:05","29","4","0","16","0","0"
"YX","12/07/2021","3426","N728YX","EWR","10:00","09:54","183","160","-6","10:05","11","0","0","0","0","0"
"YX","12/07/2021","4789","N870RW","LGA","07:22","07:14","175","156","-8","07:24","10","0","0","0","0","0"
"YX","12/07/2021","4839","N430YX","LGA","12:00","12:22","169","152","22","12:33","11","0","0","0","0","0"
"YX","12/07/2022","4587","N413YX","LGA","14:29","14:26","179","163","-3","14:38","12","0","0","0","0","0"
"YX","12/07/2022","4695","N135HQ","LGA","07:01","06:53","179","166","-8","07:06","13","0","0","0","0","0"
"YX","12/07/2023","4472","N109HQ","LGA","14:26","14:22","183","167","-4","14:35","13","0","0","0","0","0"
"YX","12/07/2023","4789","N117HQ","LGA","06:32","06:26","186","170","-6","06:40","14","0","0","0","0","0"
"YX","12/08/2021","3426","N645RW","EWR","10:00","09:54","183","164","-6","10:06","12","0","0","0","0","0"
"YX","12/08/2021","4789","N826MD","LGA","07:22","07:17","175","188","-5","07:48","31","0","0","0","0","0"
"YX","12/08/2021","4839","N105HQ","LGA","12:00","12:50","169","169","50","13:07","17","0","0","0","0","50"
"YX","12/08/2022","4587","N438YX","LGA","14:29","14:39","179","168","10","14:51","12","0","0","0","0","0"
"YX","12/08/2022","4695","N413YX","LGA","07:01","06:56","179","158","-5","07:12","16","0","0","0","0","0"
"YX","12/08/2023","4472","N113HQ","LGA","14:26","14:17","183","165","-9","14:27","10","0","0","0","0","0"
"YX","12/08/2023","4789","N106HQ","LGA","06:32","06:26","186","172","-6","06:40","14","0","0","0","0","0"
"YX","12/09/2021","3426","N652RW","EWR","10:00","09:53","183","154","-7","10:05","12","0","0","0","0","0"
"YX","12/09/2021","4789","N109HQ","LGA","07:22","07:13","175","176","-9","07:33","20","0","0","0","0","0"
"YX","12/09/2021","4839","N136HQ","LGA","12:00","11:56","169","166","-4","12:09","13","0","0","0","0","0"
"YX","12/09/2022","4587","N442YX","LGA","14:29","14:28","179","166","-1","14:43","15","0","0","0","0","0"
"YX","12/09/2022","4695","N438YX","LGA","07:01","06:55","179","157","-6","07:10","15","0","0","0","0","0"
"YX","12/09/2023","4263","N412YX","MIA","07:15","07:20","179","184","5","07:52","32","0","0","0","0","0"
"YX","12/10/2021","3426","N651RW","EWR","09:25","09:19","183","162","-6","09:31","12","0","0","0","0","0"
"YX","12/10/2021","4789","N872RW","LGA","07:22","07:20","175","167","-2","07:32","12","0","0","0","0","0"
"YX","12/10/2021","4839","N109HQ","LGA","12:00","11:56","169","182","-4","12:10","14","0","0","0","0","0"
"YX","12/10/2022","4695","N441YX","LGA","07:01","07:00","179","175","-1","07:11","11","0","0","0","0","0"
"YX","12/10/2023","4472","N404YX","LGA","14:26","14:22","183","192","-4","14:39","17","0","0","0","0","0"
"YX","12/11/2021","3655","N863RW","ORD","06:00","05:56","119","99","-4","06:14","18","0","0","0","0","0"
"YX","12/11/2021","4789","N867RW","LGA","08:21","08:13","178","160","-8","08:22","9","0","0","0","0","0"
"YX","12/11/2022","4587","N433YX","LGA","14:29","14:37","179","174","8","14:51","14","0","0","0","0","0"
"YX","12/11/2022","4695","N441YX","LGA","07:01","06:51","179","159","-10","07:01","10","0","0","0","0","0"
"YX","12/11/2023","4472","N107HQ","LGA","14:26","15:51","183","187","85","16:14","23","0","0","89","0","0"
"YX","12/11/2023","4789","N115HQ","LGA","06:32","06:20","186","211","-12","07:09","49","0","0","0","0","0"
"YX","12/12/2021","3426","N643RW","EWR","10:00","09:55","183","199","-5","10:19","24","0","0","0","0","0"
"YX","12/12/2021","4789","N872RW","LGA","07:22","07:19","175","197","-3","07:56","37","0","0","19","0","0"
"YX","12/12/2021","4839","N443YX","LGA","12:00","11:54","169","161","-6","12:05","11","0","0","0","0","0"
"YX","12/12/2022","4587","N417YX","LGA","14:29","15:03","179","197","34","15:40","37","0","0","52","0","0"
"YX","12/12/2022","4695","N110HQ","LGA","07:01","06:49","179","191","-12","07:14","25","0","0","0","0","0"
"YX","12/12/2023","4472","N128HQ","LGA","14:26","14:18","183","164","-8","14:30","12","0","0","0","0","0"
"YX","12/12/2023","4789","N432YX","LGA","06:32","06:25","186","188","-7","07:03","38","0","0","0","0","0"
"YX","12/13/2021","3426","N657RW","EWR","10:00","09:50","183","189","-10","10:19","29","0","0","0","0","0"
"YX","12/13/2021","4789","N869RW","LGA","07:22","07:15","175","174","-7","07:33","18","0","0","0","0","0"
"YX","12/13/2021","4839","N122HQ","LGA","12:00","11:56","169","168","-4","12:11","15","0","0","0","0","0"
"YX","12/13/2022","4587","N138HQ","LGA","14:29","15:06","179","188","37","15:42","36","0","37","9","0","0"
"YX","12/13/2022","4695","N113HQ","LGA","07:01","07:08","179","217","7","07:31","23","7","0","38","0","0"
"YX","12/13/2023","4472","N439YX","LGA","14:26","14:18","183","159","-8","14:29","11","0","0","0","0","0"
"YX","12/13/2023","4789","N136HQ","LGA","06:32","06:27","186","171","-5","06:55","28","0","0","0","0","0"
"YX","12/14/2021","3426","N643RW","EWR","10:00","09:51","183","162","-9","10:01","10","0","0","0","0","0"
"YX","12/14/2021","4789","N826MD","LGA","07:22","07:15","175","170","-7","07:27","12","0","0","0","0","0"
"YX","12/14/2021","4839","N123HQ","LGA","12:00","11:55","169","160","-5","12:08","13","0","0","0","0","0"
"YX","12/14/2022","4587","N126HQ","LGA","14:29","14:49","179","161","20","15:03","14","0","0","0","0","0"
"YX","12/14/2022","4695","N447YX","LGA","07:01","06:52","179","186","-9","07:23","31","0","0","0","0","0"
"YX","12/14/2023","4472","N403YX","LGA","14:26","14:18","183","186","-8","14:32","14","0","0","0","0","0"
"YX","12/14/2023","4789","N412YX","LGA","06:32","06:25","186","176","-7","06:35","10","0","0","0","0","0"
"YX","12/15/2021","3426","N855RW","EWR","10:00","09:49","183","163","-11","10:02","13","0","0","0","0","0"
"YX","12/15/2021","4789","N867RW","LGA","07:22","07:19","175","168","-3","07:34","15","0","0","0","0","0"
"YX","12/15/2021","4839","N414YX","LGA","12:00","11:53","169","160","-7","12:04","11","0","0","0","0","0"
"YX","12/15/2022","4587","N136HQ","LGA","14:39","15:57","181","188","78","16:30","33","0","78","7","0","0"
"YX","12/15/2022","4695","N126HQ","LGA","05:00","05:00","179","188","0","05:25","25","0","0","0","0","0"
"YX","12/15/2023","4472","N411YX","LGA","14:26","14:20","183","182","-6","14:41","21","0","0","0","0","0"
"YX","12/15/2023","4789","N411YX","LGA","06:32","06:25","186","190","-7","06:41","16","0","0","0","0","0"
"YX","12/16/2021","3426","N728YX","EWR","10:00","09:55","180","156","-5","10:06","11","0","0","0","0","0"
"YX","12/16/2021","4789","N871RW","LGA","08:02","07:57","178","158","-5","08:08","11","0","0","0","0","0"
"YX","12/16/2021","4839","N423YX","LGA","11:40","11:30","169","160","-10","11:42","12","0","0","0","0","0"
"YX","12/16/2022","4587","N136HQ","LGA","14:39","17:18","181","163","159","17:45","27","0","0","2","0","139"
"YX","12/16/2022","4695","N136HQ","LGA","06:30","06:58","180","221","28","07:35","37","0","28","41","0","0"
"YX","12/16/2023","4263","N127HQ","MIA","07:15","07:06","179","181","-9","07:19","13","0","0","0","0","0"
"YX","12/17/2021","3426","N722YX","EWR","10:00","09:59","181","197","-1","10:56","57","0","0","15","0","0"
"YX","12/17/2021","4789","N434YX","LGA","07:21","07:16","179","166","-5","07:31","15","0","0","0","0","0"
"YX","12/17/2021","4839","N806MD","LGA","11:40","11:30","169","177","-10","11:52","22","0","0","0","0","0"
