Detailed Statistics Departures  
Origin Airport: Fayetteville, NC: Fayetteville Regional/Grannis Field (FAY)
Airline: Mesa Airlines Inc. (YV)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YV","12/01/2021","5978","N958LR","DFW","07:26","11:22","204","172","1676","11:34","12","1644","0","0","0","0"
"YV","12/02/2021","5978","N908FJ","DFW","07:26","07:31","204","179","5","07:41","10","0","0","0","0","0"
"YV","12/03/2021","5978","N915FJ","DFW","07:26","07:21","204","192","-5","07:35","14","0","0","0","0","0"
"YV","12/04/2021","5978","N248LR","DFW","07:26","07:23","204","191","-3","07:37","14","0","0","0","0","0"
"YV","12/05/2021","5978","N921FJ","DFW","07:26","07:22","204","176","-4","07:33","11","0","0","0","0","0"
"YV","12/06/2021","5978","N920FJ","DFW","07:26","07:22","204","202","-4","07:40","18","0","0","0","0","0"
"YV","12/07/2021","5978","N245LR","DFW","07:26","07:31","204","182","5","07:43","12","0","0","0","0","0"
"YV","12/08/2021","5978","N912FJ","DFW","07:26","07:28","204","217","2","07:41","13","2","0","13","0","0"
"YV","12/09/2021","5978","N916FJ","DFW","07:26","00:00","204","0","0","00:00","0","0","0","0","0","0"
"YV","12/10/2021","5978","N922FJ","DFW","07:26","07:25","204","192","-1","07:43","18","0","0","0","0","0"
"YV","12/11/2021","5978","N954LR","DFW","07:26","07:26","204","208","0","07:38","12","0","0","0","0","0"
"YV","12/12/2021","5978","N953LR","DFW","07:26","07:17","204","193","-9","07:28","11","0","0","0","0","0"
"YV","12/13/2021","5978","N918FJ","DFW","07:26","07:22","204","199","-4","07:52","30","0","0","0","0","0"
"YV","12/14/2021","5978","N939LR","DFW","07:26","07:50","204","190","24","08:17","27","0","0","0","0","0"
"YV","12/15/2021","5978","N910FJ","DFW","07:26","07:25","204","199","-1","07:51","26","0","0","0","0","0"
"YV","12/16/2021","5978","N242LR","DFW","07:22","07:24","205","189","2","07:39","15","0","0","0","0","0"
"YV","12/17/2021","5978","N952LR","DFW","07:22","00:00","205","0","0","00:00","0","0","0","0","0","0"
"YV","12/18/2021","5978","N915FJ","DFW","07:22","07:21","205","225","-1","07:58","37","0","0","19","0","0"
"YV","12/19/2021","5978","N910FJ","DFW","07:22","07:22","205","201","0","07:38","16","0","0","0","0","0"
"YV","12/20/2021","5978","N927LR","DFW","07:22","12:11","205","192","289","12:26","15","276","0","0","0","0"
"YV","12/21/2021","5978","N915FJ","DFW","07:22","07:36","205","181","14","07:51","15","0","0","0","0","0"
"YV","12/22/2021","5978","N912FJ","DFW","07:22","07:37","205","182","15","07:49","12","0","0","0","0","0"
"YV","12/23/2021","5978","N917FJ","DFW","07:22","07:25","205","189","3","07:39","14","0","0","0","0","0"
"YV","12/24/2021","5978","N943LR","DFW","07:22","07:19","205","200","-3","07:51","32","0","0","0","0","0"
"YV","12/25/2021","5978","N943LR","DFW","07:22","07:16","205","179","-6","07:26","10","0","0","0","0","0"
"YV","12/26/2021","5978","N911FJ","DFW","07:22","07:17","205","218","-5","07:39","22","0","0","0","0","0"
"YV","12/27/2021","5978","N921FJ","DFW","07:22","07:18","205","200","-4","07:31","13","0","0","0","0","0"
"YV","12/29/2021","5978","N908FJ","DFW","07:22","09:27","205","202","125","09:39","12","122","0","0","0","0"
"YV","12/30/2021","5978","N955LR","DFW","07:22","07:26","205","191","4","07:35","9","0","0","0","0","0"
"YV","12/31/2021","5978","N947LR","DFW","07:22","07:16","205","194","-6","07:25","9","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
