Detailed Statistics Departures  
Origin Airport: Fayetteville, NC: Fayetteville Regional/Grannis Field (FAY)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5210","N591NN","CLT","20:01","19:54","74","87","-7","20:17","23","0","0","0","0","0"
"OH","12/01/2021","5609","N547NN","CLT","09:00","09:05","81","58","5","09:14","9","0","0","0","0","0"
"OH","12/01/2022","5557","N582NN","CLT","16:10","16:02","66","48","-8","16:15","13","0","0","0","0","0"
"OH","12/01/2022","5575","N556NN","CLT","06:45","06:39","73","46","-6","06:48","9","0","0","0","0","0"
"OH","12/01/2023","5133","N582NN","CLT","12:50","12:46","70","75","-4","13:15","29","0","0","0","0","0"
"OH","12/01/2023","5425","N585NN","DFW","06:30","06:23","213","188","-7","06:34","11","0","0","0","0","0"
"OH","12/02/2021","5210","N562NN","CLT","20:01","20:22","74","84","21","21:03","41","0","0","10","0","21"
"OH","12/02/2021","5575","N579NN","CLT","05:30","05:36","67","52","6","05:48","12","0","0","0","0","0"
"OH","12/02/2022","5557","N598NN","CLT","16:10","16:07","66","68","-3","16:22","15","0","0","0","0","0"
"OH","12/02/2022","5575","N550NN","CLT","06:45","06:39","73","77","-6","07:19","40","0","0","0","0","0"
"OH","12/02/2023","5133","N594NN","CLT","12:50","12:55","70","68","5","13:09","14","0","0","0","0","0"
"OH","12/02/2023","5425","N584NN","DFW","06:30","06:36","213","186","6","06:49","13","0","0","0","0","0"
"OH","12/03/2021","5210","N557NN","CLT","20:01","19:53","74","67","-8","20:16","23","0","0","0","0","0"
"OH","12/03/2021","5575","N594NN","CLT","05:30","05:27","67","65","-3","05:41","14","0","0","0","0","0"
"OH","12/03/2022","5557","N610NN","CLT","16:10","16:10","66","67","0","16:22","12","0","0","0","0","0"
"OH","12/03/2022","5575","N562NN","CLT","06:45","06:33","73","93","-12","07:08","35","0","0","0","0","0"
"OH","12/03/2023","5133","N607NN","CLT","12:50","12:39","70","72","-11","12:55","16","0","0","0","0","0"
"OH","12/03/2023","5425","N569NN","DFW","06:30","06:27","213","212","-3","06:46","19","0","0","0","0","0"
"OH","12/04/2021","5575","N589NN","CLT","05:30","05:24","67","56","-6","05:35","11","0","0","0","0","0"
"OH","12/04/2022","5557","N604NN","CLT","16:10","16:06","66","50","-4","16:17","11","0","0","0","0","0"
"OH","12/04/2022","5575","N614NN","CLT","06:45","06:33","73","49","-12","06:45","12","0","0","0","0","0"
"OH","12/04/2023","5133","N551NN","CLT","12:50","12:44","70","65","-6","12:58","14","0","0","0","0","0"
"OH","12/04/2023","5425","N596NN","DFW","06:30","06:28","213","207","-2","06:37","9","0","0","0","0","0"
"OH","12/05/2021","5210","N564NN","CLT","20:01","19:55","74","69","-6","20:08","13","0","0","0","0","0"
"OH","12/05/2021","5609","N562NN","CLT","09:00","08:53","81","66","-7","09:23","30","0","0","0","0","0"
"OH","12/05/2022","5557","N581NN","CLT","16:10","16:30","66","56","20","16:47","17","0","0","0","0","0"
"OH","12/05/2022","5575","N573NN","CLT","06:45","06:38","73","52","-7","06:53","15","0","0","0","0","0"
"OH","12/05/2023","5425","N607NN","DFW","06:40","06:32","216","196","-8","06:42","10","0","0","0","0","0"
"OH","12/06/2021","5575","N551NN","CLT","05:30","05:30","67","67","0","05:48","18","0","0","0","0","0"
"OH","12/06/2022","5557","N577NN","CLT","16:10","16:01","66","80","-9","16:40","39","0","0","0","0","0"
"OH","12/06/2022","5575","N577NN","CLT","06:45","06:41","73","48","-4","06:52","11","0","0","0","0","0"
"OH","12/06/2023","5425","N548NN","DFW","06:40","06:34","216","181","-6","06:44","10","0","0","0","0","0"
"OH","12/07/2021","5609","N614NN","CLT","09:00","09:16","81","64","16","09:27","11","0","0","0","0","0"
"OH","12/07/2022","5557","N554NN","CLT","16:10","16:02","66","78","-8","16:32","30","0","0","0","0","0"
"OH","12/07/2022","5575","N610NN","CLT","06:45","06:40","73","50","-5","06:52","12","0","0","0","0","0"
"OH","12/07/2023","5425","N584NN","DFW","06:40","06:40","216","203","0","07:02","22","0","0","0","0","0"
"OH","12/08/2021","5210","N584NN","CLT","20:01","20:01","74","77","0","20:21","20","0","0","0","0","0"
"OH","12/08/2021","5609","N561NN","CLT","09:00","10:49","81","60","109","11:00","11","88","0","0","0","0"
"OH","12/08/2022","5557","N594NN","CLT","16:10","16:01","66","63","-9","16:23","22","0","0","0","0","0"
"OH","12/08/2022","5575","N587NN","CLT","06:45","06:33","73","49","-12","06:47","14","0","0","0","0","0"
"OH","12/08/2023","5425","N574NN","DFW","06:40","06:32","216","197","-8","06:52","20","0","0","0","0","0"
"OH","12/09/2021","5210","N579NN","CLT","20:01","19:51","74","79","-10","20:06","15","0","0","0","0","0"
"OH","12/09/2021","5575","N613NN","CLT","05:30","05:33","67","63","3","05:59","26","0","0","0","0","0"
"OH","12/09/2022","5557","N594NN","CLT","16:10","16:04","66","71","-6","16:25","21","0","0","0","0","0"
"OH","12/09/2022","5575","N552NN","CLT","06:45","06:39","73","54","-6","06:50","11","0","0","0","0","0"
"OH","12/09/2023","5425","N601EN","DFW","06:40","06:31","216","194","-9","06:43","12","0","0","0","0","0"
"OH","12/10/2021","5210","N577NN","CLT","20:01","20:03","74","64","2","20:10","7","0","0","0","0","0"
"OH","12/10/2021","5575","N578NN","CLT","05:30","05:30","67","69","0","05:42","12","0","0","0","0","0"
"OH","12/10/2022","5557","N548NN","CLT","16:10","16:12","66","60","2","16:33","21","0","0","0","0","0"
"OH","12/10/2022","5575","N602NN","CLT","06:45","06:40","73","45","-5","06:50","10","0","0","0","0","0"
