Detailed Statistics Departures  
Origin Airport: Appleton, WI: Appleton International (ATW)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1376","N991AT","ATL","16:40","16:37","137","114","-3","16:50","13","0","0","0","0","0"
"DL","12/01/2022","2518","N954AT","ATL","05:30","08:46","151","119","196","09:02","16","164","0","0","0","0"
"DL","12/01/2023","1436","N996AT","ATL","05:34","05:28","145","158","-6","06:02","34","0","0","0","0","0"
"DL","12/02/2021","1376","N991AT","ATL","16:40","16:39","137","115","-1","16:48","9","0","0","0","0","0"
"DL","12/02/2022","2518","N993AT","ATL","05:30","05:25","151","120","-5","05:37","12","0","0","0","0","0"
"DL","12/02/2023","1436","N990AT","ATL","05:34","05:25","145","137","-9","05:40","15","0","0","0","0","0"
"DL","12/03/2021","1376","N955AT","ATL","16:40","16:39","137","117","-1","16:50","11","0","0","0","0","0"
"DL","12/03/2022","2518","N947AT","ATL","05:30","05:23","151","146","-7","05:54","31","0","0","0","0","0"
"DL","12/03/2023","1436","N920AT","ATL","05:34","05:28","145","192","-6","06:33","65","0","0","41","0","0"
"DL","12/04/2021","1376","N993AT","ATL","16:40","08:12","137","180","932","09:24","72","932","0","43","0","0"
"DL","12/04/2022","2518","N939AT","ATL","05:30","05:31","151","145","1","06:00","29","0","0","0","0","0"
"DL","12/04/2023","1436","N940AT","ATL","05:34","05:30","145","140","-4","05:52","22","0","0","0","0","0"
"DL","12/05/2021","1376","N938AT","ATL","16:40","18:20","146","152","100","18:56","36","100","0","6","0","0"
"DL","12/05/2022","2518","N945AT","ATL","05:28","05:22","151","124","-6","05:34","12","0","0","0","0","0"
"DL","12/05/2023","1436","N920AT","ATL","05:34","05:33","145","130","-1","05:46","13","0","0","0","0","0"
"DL","12/06/2021","1376","N948AT","ATL","16:40","17:25","146","129","45","17:36","11","28","0","0","0","0"
"DL","12/06/2022","2518","N986AT","ATL","05:23","05:20","151","127","-3","05:32","12","0","0","0","0","0"
"DL","12/06/2023","1436","N895AT","ATL","05:34","05:35","145","124","1","06:01","26","0","0","0","0","0"
"DL","12/07/2021","1376","N970AT","ATL","16:40","16:45","146","143","5","17:15","30","0","0","0","0","0"
"DL","12/07/2022","2518","N933AT","ATL","05:23","05:22","151","132","-1","05:38","16","0","0","0","0","0"
"DL","12/07/2023","1436","N998AT","ATL","05:40","05:32","145","123","-8","05:44","12","0","0","0","0","0"
"DL","12/08/2021","1376","N955AT","ATL","16:40","16:55","146","116","15","17:04","9","0","0","0","0","0"
"DL","12/08/2022","2518","N952AT","ATL","05:23","05:18","151","129","-5","05:33","15","0","0","0","0","0"
"DL","12/08/2023","1436","N986AT","ATL","05:40","05:38","145","124","-2","05:51","13","0","0","0","0","0"
"DL","12/09/2021","1376","N934AT","ATL","16:40","16:50","146","119","10","17:01","11","0","0","0","0","0"
"DL","12/09/2022","2518","N896AT","ATL","05:23","05:34","151","123","11","05:45","11","0","0","0","0","0"
"DL","12/09/2023","1436","N940AT","ATL","05:40","05:30","145","138","-10","05:46","16","0","0","0","0","0"
"DL","12/10/2021","1376","N947AT","ATL","16:40","16:36","146","125","-4","16:47","11","0","0","0","0","0"
"DL","12/10/2022","2518","N934AT","ATL","05:28","05:23","151","161","-5","06:07","44","0","0","0","0","0"
"DL","12/10/2023","1436","N948AT","ATL","05:40","05:39","145","169","-1","06:23","44","0","0","23","0","0"
"DL","12/11/2021","1376","N971AT","ATL","16:40","16:55","145","125","15","17:05","10","0","0","0","0","0"
"DL","12/11/2022","2518","N954AT","ATL","05:23","05:21","151","125","-2","05:34","13","0","0","0","0","0"
"DL","12/11/2023","1436","N960AT","ATL","05:40","05:34","145","136","-6","05:59","25","0","0","0","0","0"
"DL","12/12/2021","1376","N952AT","ATL","16:40","16:47","146","122","7","17:02","15","0","0","0","0","0"
"DL","12/12/2022","2518","N971AT","ATL","05:28","05:25","151","124","-3","05:40","15","0","0","0","0","0"
"DL","12/12/2023","1436","N935AT","ATL","05:40","05:30","145","129","-10","05:52","22","0","0","0","0","0"
"DL","12/13/2021","1376","N955AT","ATL","16:40","16:44","146","122","4","16:56","12","0","0","0","0","0"
"DL","12/13/2022","2518","N967AT","ATL","05:23","05:15","151","124","-8","05:28","13","0","0","0","0","0"
"DL","12/13/2023","1436","N971AT","ATL","05:40","05:33","145","119","-7","05:43","10","0","0","0","0","0"
"DL","12/14/2021","1376","N948AT","ATL","16:40","16:55","146","118","15","17:05","10","0","0","0","0","0"
"DL","12/14/2022","2518","N979AT","ATL","05:23","05:18","151","167","-5","05:52","34","0","0","0","0","0"
"DL","12/14/2023","1436","N717JL","ATL","05:40","05:28","145","122","-12","05:39","11","0","0","0","0","0"
"DL","12/15/2021","1376","N926AT","ATL","16:40","17:25","146","118","45","17:34","9","17","0","0","0","0"
"DL","12/15/2022","2518","N926AT","ATL","05:28","05:55","151","190","27","07:02","67","0","27","39","0","0"
"DL","12/15/2023","1436","N947AT","ATL","05:40","05:34","145","125","-6","05:45","11","0","0","0","0","0"
"DL","12/16/2021","1376","N934AT","ATL","16:40","16:44","146","122","4","16:52","8","0","0","0","0","0"
"DL","12/16/2022","2518","N930AT","ATL","05:23","05:19","151","161","-4","06:00","41","0","0","0","0","0"
"DL","12/16/2023","1436","N960AT","ATL","05:30","05:26","145","133","-4","05:39","13","0","0","0","0","0"
"DL","12/17/2021","1376","N979AT","ATL","16:40","16:41","146","130","1","16:51","10","0","0","0","0","0"
"DL","12/17/2022","2518","N939AT","ATL","05:30","05:25","151","164","-5","06:15","50","0","0","0","0","0"
"DL","12/17/2023","1436","N960AT","ATL","05:30","05:20","145","125","-10","05:34","14","0","0","0","0","0"
"DL","12/18/2021","1376","N944AT","ATL","16:40","16:29","146","139","-11","16:39","10","0","0","0","0","0"
"DL","12/18/2022","2518","N932AT","ATL","05:30","05:23","151","139","-7","05:56","33","0","0","0","0","0"
"DL","12/18/2023","1436","N896AT","ATL","05:30","05:26","145","116","-4","05:37","11","0","0","0","0","0"
"DL","12/19/2021","1376","N988AT","ATL","16:40","16:39","146","111","-1","16:48","9","0","0","0","0","0"
"DL","12/19/2022","2518","N932AT","ATL","05:30","05:59","151","137","29","06:26","27","15","0","0","0","0"
"DL","12/19/2023","1436","N991AT","ATL","05:30","05:28","145","124","-2","05:54","26","0","0","0","0","0"
"DL","12/20/2021","1376","N978AT","ATL","16:40","16:39","146","128","-1","16:50","11","0","0","0","0","0"
"DL","12/20/2022","2518","N948AT","ATL","05:30","13:19","151","119","469","13:30","11","437","0","0","0","0"
"DL","12/20/2023","1436","N947AT","ATL","05:30","05:24","145","121","-6","05:33","9","0","0","0","0","0"
"DL","12/21/2021","1376","N717JL","ATL","16:40","16:53","146","128","13","17:02","9","0","0","0","0","0"
"DL","12/21/2022","2518","N955AT","ATL","05:30","08:36","151","153","186","09:19","43","186","0","2","0","0"
"DL","12/21/2023","1436","N961AT","ATL","05:30","05:34","145","148","4","06:04","30","0","0","0","0","0"
