Detailed Statistics Departures  
Origin Airport: Flagstaff, AZ: Flagstaff Pulliam (FLG)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","3007","N748EV","PHX","09:47","09:43","59","52","-4","10:01","18","0","0","0","0","0"
"OO","12/01/2021","3020","N722EV","PHX","06:51","06:41","59","58","-10","07:07","26","0","0","0","0","0"
"OO","12/01/2021","3149","N717EV","PHX","14:33","14:30","55","51","-3","14:49","19","0","0","0","0","0"
"OO","12/01/2021","3165","N750EV","PHX","19:26","19:17","60","58","-9","19:37","20","0","0","0","0","0"
"OO","12/01/2021","3169","N928EV","PHX","11:44","11:34","56","61","-10","12:00","26","0","0","0","0","0"
"OO","12/01/2021","3249","N713EV","DFW","12:41","12:34","131","145","-7","12:51","17","0","0","0","0","0"
"OO","12/01/2022","3007","N709EV","PHX","13:09","13:02","55","48","-7","13:17","15","0","0","0","0","0"
"OO","12/01/2022","3020","N708EV","PHX","08:00","07:50","64","52","-10","08:08","18","0","0","0","0","0"
"OO","12/01/2022","3150","N764SK","DFW","12:14","15:04","141","122","170","15:17","13","0","0","0","0","151"
"OO","12/01/2022","3165","N744SK","PHX","19:32","19:26","55","59","-6","19:49","23","0","0","0","0","0"
"OO","12/01/2022","3217","N604SK","PHX","16:22","16:12","55","51","-10","16:26","14","0","0","0","0","0"
"OO","12/01/2023","3071","N717EV","PHX","19:46","19:36","54","67","-10","20:03","27","0","0","0","0","0"
"OO","12/01/2023","3165","N728SK","PHX","18:10","18:08","54","78","-2","18:48","40","0","0","22","0","0"
"OO","12/01/2023","3218","N728SK","PHX","14:46","14:42","54","81","-4","15:28","46","0","0","23","0","0"
"OO","12/01/2023","3272","N710EV","DFW","13:38","13:29","145","163","-9","14:00","31","0","0","0","0","0"
"OO","12/01/2023","6352","N764SK","PHX","11:42","11:33","54","60","-9","11:52","19","0","0","0","0","0"
