Detailed Statistics Departures  
Origin Airport: Flint, MI: Bishop International (FNT)
Airline: PSA Airlines Inc. (OH)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OH","12/01/2021","5559","N574NN","CLT","15:23","15:30","126","113","7","15:42","12","0","0","0","0","0"
"OH","12/01/2021","5642","N550NN","CLT","06:08","05:59","136","131","-9","06:39","40","0","0","0","0","0"
"OH","12/02/2021","5559","N600NN","CLT","15:23","15:38","126","118","15","15:51","13","0","0","0","0","0"
"OH","12/02/2021","5642","N562NN","CLT","06:08","05:58","136","107","-10","06:12","14","0","0","0","0","0"
"OH","12/03/2021","5559","N554NN","CLT","15:23","15:23","126","110","0","15:33","10","0","0","0","0","0"
"OH","12/03/2021","5642","N549NN","CLT","06:08","06:02","136","138","-6","06:38","36","0","0","0","0","0"
"OH","12/04/2021","5642","N615NN","CLT","06:08","06:02","136","132","-6","06:30","28","0","0","0","0","0"
"OH","12/05/2021","5559","N574NN","CLT","15:23","15:20","126","138","-3","16:04","44","0","0","0","0","0"
"OH","12/05/2021","5642","N613NN","CLT","06:08","06:03","136","110","-5","06:12","9","0","0","0","0","0"
"OH","12/06/2021","5559","N576NN","CLT","15:23","15:38","126","133","15","16:07","29","6","0","7","0","9"
"OH","12/06/2021","5642","N557NN","CLT","06:08","05:58","136","125","-10","06:10","12","0","0","0","0","0"
"OH","12/07/2021","5642","N615NN","CLT","06:08","05:57","136","117","-11","06:11","14","0","0","0","0","0"
"OH","12/08/2021","5559","N599NN","CLT","15:23","15:36","126","118","13","15:59","23","0","0","0","0","0"
