Detailed Statistics Departures  
Origin Airport: Fort Lauderdale, FL: Fort Lauderdale-Hollywood International (FLL)
Airline: Alaska Airlines Inc. (AS)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AS","12/01/2021","0921","N273AK","SEA","09:15","09:24","420","398","9","09:40","16","0","0","0","0","0"
"AS","12/01/2021","1107","N592AS","SEA","18:07","17:59","413","406","-8","18:15","16","0","0","0","0","0"
"AS","12/01/2022","0481","N938AK","SAN","20:00","20:21","342","336","21","20:43","22","0","0","0","0","15"
"AS","12/01/2022","0581","N928VA","LAX","10:00","10:16","364","351","16","10:38","22","0","0","0","0","0"
"AS","12/01/2022","0788","N277AK","SEA","07:05","00:00","410","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2022","1107","N292AK","SEA","17:45","00:00","410","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2023","0337","N973AK","PDX","10:00","00:00","404","0","0","00:00","0","0","0","0","0","0"
"AS","12/01/2023","0355","N979AK","SAN","17:00","16:53","341","354","-7","17:11","18","0","0","0","0","0"
"AS","12/01/2023","0371","N967AK","SFO","18:35","19:54","385","387","79","20:06","12","79","0","2","0","0"
"AS","12/01/2023","0381","N486AS","LAX","19:55","19:52","360","386","-3","20:15","23","0","0","23","0","0"
"AS","12/01/2023","0517","N260AK","SEA","18:11","18:30","408","406","19","19:01","31","0","0","0","0","17"
"AS","12/01/2023","0519","N461AS","SEA","07:00","07:03","408","385","3","07:18","15","0","0","0","0","0"
"AS","12/02/2021","0921","N453AS","SEA","09:15","10:30","420","381","75","10:44","14","0","0","0","0","36"
"AS","12/02/2021","1107","N277AK","SEA","18:07","18:01","413","387","-6","18:21","20","0","0","0","0","0"
"AS","12/02/2021","1335","N569AS","LAX","10:35","10:38","370","326","3","11:02","24","0","0","0","0","0"
"AS","12/02/2022","0481","N915AK","SAN","20:00","20:52","342","327","52","21:14","22","4","0","0","0","33"
"AS","12/02/2022","0581","N927VA","LAX","10:00","10:05","364","374","5","10:23","18","0","0","15","0","0"
"AS","12/02/2022","0788","N298AK","SEA","07:05","07:12","410","409","7","07:33","21","0","0","0","0","0"
"AS","12/02/2022","1107","N433AS","SEA","17:45","00:00","410","0","0","00:00","0","0","0","0","0","0"
"AS","12/02/2023","0337","N984AK","PDX","10:00","09:56","404","400","-4","10:15","19","0","0","0","0","0"
"AS","12/02/2023","0355","N985AK","SAN","17:00","17:05","341","398","5","17:35","30","0","0","62","0","0"
"AS","12/02/2023","0371","N280AK","SFO","18:35","18:48","385","412","13","19:35","47","13","0","27","0","0"
"AS","12/02/2023","0381","N933AK","LAX","19:55","19:54","360","344","-1","20:13","19","0","0","0","0","0"
"AS","12/02/2023","0517","N912AK","SEA","18:11","18:22","408","413","11","18:38","16","0","0","5","0","11"
