Detailed Statistics Departures  
Origin Airport: Fort Lauderdale, FL: Fort Lauderdale-Hollywood International (FLL)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/16/2023","5228","N133EV","RDU","11:15","11:19","130","135","4","11:55","36","0","0","0","0","0"
"9E","12/16/2023","5509","N678CA","CVG","19:49","20:01","156","153","12","20:33","32","0","0","0","0","0"
"9E","12/17/2023","5228","N182GJ","RDU","11:15","11:41","130","124","26","12:09","28","3","0","0","0","17"
"9E","12/17/2023","5509","N336PQ","CVG","19:49","20:48","156","159","59","21:13","25","10","0","3","0","49"
"9E","12/18/2023","5228","N146PQ","RDU","11:15","11:11","130","122","-4","11:34","23","0","0","0","0","0"
"9E","12/18/2023","5509","N901XJ","CVG","19:49","19:40","156","157","-9","20:00","20","0","0","0","0","0"
"9E","12/19/2023","5228","N336PQ","RDU","11:15","11:09","130","137","-6","11:29","20","0","0","0","0","0"
"9E","12/19/2023","5509","N934XJ","CVG","19:49","19:39","156","162","-10","20:02","23","0","0","0","0","0"
"9E","12/20/2023","5228","N306PQ","RDU","11:15","11:10","130","127","-5","11:31","21","0","0","0","0","0"
"9E","12/20/2023","5509","N934XJ","CVG","19:49","19:39","156","166","-10","20:12","33","0","0","0","0","0"
"9E","12/21/2023","5228","N330PQ","RDU","11:15","11:10","130","136","-5","11:35","25","0","0","0","0","0"
"9E","12/21/2023","5509","N200PQ","CVG","19:49","19:38","156","162","-11","20:03","25","0","0","0","0","0"
"9E","12/22/2023","5228","N931XJ","RDU","11:15","11:26","130","125","11","11:44","18","0","0","0","0","0"
"9E","12/22/2023","5509","N136EV","CVG","19:49","19:42","156","162","-7","20:04","22","0","0","0","0","0"
"9E","12/23/2023","5228","N306PQ","RDU","11:15","11:06","130","133","-9","11:26","20","0","0","0","0","0"
"9E","12/23/2023","5509","N186PQ","CVG","19:49","19:55","156","160","6","20:14","19","0","0","0","0","0"
"9E","12/24/2023","5228","N306PQ","RDU","11:15","11:15","130","124","0","11:39","24","0","0","0","0","0"
"9E","12/24/2023","5509","N146PQ","CVG","19:49","19:45","156","163","-4","20:15","30","0","0","0","0","0"
"9E","12/25/2023","5228","N137EV","RDU","11:15","11:10","130","127","-5","11:37","27","0","0","0","0","0"
"9E","12/25/2023","5509","N293PQ","CVG","19:49","19:49","156","160","0","20:10","21","0","0","0","0","0"
"9E","12/26/2023","5228","N181GJ","RDU","11:15","11:12","130","124","-3","11:35","23","0","0","0","0","0"
"9E","12/26/2023","5509","N228PQ","CVG","19:49","21:14","156","160","85","21:46","32","0","0","4","0","85"
"9E","12/27/2023","5228","N176PQ","RDU","11:15","11:12","130","121","-3","11:34","22","0","0","0","0","0"
"9E","12/27/2023","5509","N181GJ","CVG","19:49","20:19","156","141","30","20:40","21","0","0","0","0","15"
"9E","12/28/2023","5228","N320PQ","RDU","11:15","11:33","130","116","18","11:57","24","0","0","0","0","0"
"9E","12/28/2023","5509","N695CA","CVG","19:49","20:07","156","160","18","20:42","35","8","0","4","0","10"
"9E","12/29/2023","5228","N319PQ","RDU","11:15","11:13","130","140","-2","12:01","48","0","0","0","0","0"
"9E","12/29/2023","5509","N311PQ","CVG","19:49","20:01","156","147","12","20:30","29","0","0","0","0","0"
"9E","12/30/2023","5228","N921XJ","RDU","11:15","13:34","130","136","139","13:59","25","5","0","6","0","134"
"9E","12/30/2023","5509","N349PQ","CVG","19:49","20:09","156","152","20","20:38","29","0","0","0","0","16"
"9E","12/31/2023","5228","N138EV","RDU","11:15","11:05","130","139","-10","11:39","34","0","0","0","0","0"
"9E","12/31/2023","5509","N186GJ","CVG","19:49","19:30","156","152","-19","19:47","17","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
