Detailed Statistics Departures  
Origin Airport: Fort Myers, FL: Southwest Florida International (RSW)
Airline: American Airlines Inc. (AA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","12/01/2021","0481","N935NN","ORD","14:00","13:58","191","174","-2","14:13","15","0","0","0","0","0"
"AA","12/01/2021","0487","N721UW","PHL","17:16","17:13","163","148","-3","17:23","10","0","0","0","0","0"
"AA","12/01/2021","0565","N336RU","CLT","17:29","17:25","120","114","-4","17:42","17","0","0","0","0","0"
"AA","12/01/2021","0873","N165NN","DFW","15:33","15:32","185","173","-1","15:46","14","0","0","0","0","0"
"AA","12/01/2021","1281","N152AA","DFW","07:28","07:23","185","176","-5","07:34","11","0","0","0","0","0"
"AA","12/01/2021","1561","N921US","CLT","15:39","15:31","119","117","-8","15:44","13","0","0","0","0","0"
"AA","12/01/2021","1631","N134AN","PHL","09:00","09:00","159","153","0","09:12","12","0","0","0","0","0"
"AA","12/01/2021","1646","N972UY","CLT","08:00","07:59","119","111","-1","08:14","15","0","0","0","0","0"
"AA","12/01/2021","1860","N843NN","CLT","13:51","13:47","117","116","-4","14:03","16","0","0","0","0","0"
"AA","12/01/2021","1863","N733UW","DCA","12:11","12:09","145","148","-2","12:25","16","0","0","0","0","0"
"AA","12/01/2021","1865","N971AN","ORD","11:50","11:50","190","174","0","12:01","11","0","0","0","0","0"
"AA","12/01/2021","1866","N3014R","PHL","13:55","13:46","161","154","-9","13:57","11","0","0","0","0","0"
"AA","12/01/2021","1930","N844NN","CLT","19:27","19:22","118","114","-5","19:36","14","0","0","0","0","0"
"AA","12/01/2021","1935","N918US","CLT","12:03","11:58","119","132","-5","12:20","22","0","0","0","0","0"
"AA","12/01/2021","2287","N923NN","ORD","07:03","06:58","189","176","-5","07:11","13","0","0","0","0","0"
"AA","12/01/2021","2561","N882NN","ORD","18:07","17:56","193","201","-11","18:10","14","0","0","0","0","0"
"AA","12/01/2021","2736","N435AN","DFW","19:31","19:30","187","174","-1","19:42","12","0","0","0","0","0"
"AA","12/01/2021","2780","N582UW","DFW","09:24","09:24","189","178","0","09:37","13","0","0","0","0","0"
"AA","12/01/2021","2916","N756US","DCA","10:30","10:21","144","129","-9","10:31","10","0","0","0","0","0"
"AA","12/01/2022","0565","N554UW","CLT","15:42","15:25","119","106","-17","15:39","14","0","0","0","0","0"
"AA","12/01/2022","0771","N836AW","DCA","12:01","12:04","143","156","3","12:14","10","0","0","13","0","3"
"AA","12/01/2022","1042","N815NN","ORD","06:15","10:40","190","178","265","10:50","10","14","0","0","0","239"
"AA","12/01/2022","1094","N925UY","CLT","13:46","13:46","119","105","0","13:56","10","0","0","0","0","0"
"AA","12/01/2022","1281","N129AA","DFW","07:15","07:12","181","188","-3","07:23","11","0","0","0","0","0"
"AA","12/01/2022","1631","N737US","PHL","12:12","12:01","158","149","-11","12:10","9","0","0","0","0","0"
"AA","12/01/2022","1873","N730US","DCA","18:36","18:29","143","139","-7","18:40","11","0","0","0","0","0"
"AA","12/01/2022","1930","N150UW","CLT","19:36","20:20","119","95","44","20:30","10","20","0","0","0","0"
"AA","12/01/2022","1935","N582UW","CLT","10:08","10:04","119","114","-4","10:14","10","0","0","0","0","0"
"AA","12/01/2022","2002","N125AA","PHL","06:36","06:26","158","150","-10","06:38","12","0","0","0","0","0"
"AA","12/01/2022","2256","N818NN","DFW","14:36","14:47","185","190","11","15:04","17","4","0","5","0","7"
"AA","12/01/2022","2365","N124AA","PHL","14:30","14:23","158","155","-7","14:34","11","0","0","0","0","0"
"AA","12/01/2022","2561","N970AN","ORD","15:11","15:14","192","187","3","15:33","19","0","0","0","0","0"
"AA","12/01/2022","2740","N166NN","DFW","17:21","17:13","181","175","-8","17:22","9","0","0","0","0","0"
"AA","12/01/2022","2774","N981UY","CLT","08:00","08:16","116","101","16","08:26","10","0","0","0","0","0"
"AA","12/01/2023","0565","N584UW","CLT","16:18","16:08","117","131","-10","16:18","10","0","0","0","0","0"
"AA","12/01/2023","0672","N963NN","DFW","13:32","13:41","188","183","9","13:57","16","0","0","0","0","0"
"AA","12/01/2023","0873","N962NN","DFW","15:08","15:00","188","182","-8","15:18","18","0","0","0","0","0"
"AA","12/01/2023","1094","N535UW","CLT","13:48","13:39","117","124","-9","13:51","12","0","0","0","0","0"
"AA","12/01/2023","1097","N194UW","CLT","06:12","05:59","116","124","-13","06:17","18","0","0","0","0","0"
"AA","12/01/2023","1281","N947AN","DFW","07:00","06:51","186","177","-9","07:02","11","0","0","0","0","0"
"AA","12/01/2023","1504","N945AN","ORD","16:40","16:53","185","196","13","17:03","10","11","0","11","0","2"
"AA","12/01/2023","1631","N705UW","PHL","07:13","07:04","156","149","-9","07:14","10","0","0","0","0","0"
"AA","12/01/2023","1866","N748UW","PHL","12:06","12:05","156","156","-1","12:19","14","0","0","0","0","0"
"AA","12/01/2023","1929","N909AN","ORD","13:34","13:28","185","202","-6","13:43","15","0","0","0","0","0"
"AA","12/01/2023","1935","N174US","CLT","11:45","11:37","117","125","-8","11:48","11","0","0","0","0","0"
"AA","12/01/2023","2241","N195UW","CLT","07:29","07:20","116","114","-9","07:32","12","0","0","0","0","0"
"AA","12/01/2023","2555","N161UW","CLT","10:18","10:11","117","120","-7","10:21","10","0","0","0","0","0"
"AA","12/01/2023","2736","N898NN","DFW","19:14","19:18","188","207","4","19:37","19","4","0","19","0","0"
"AA","12/01/2023","2916","N803AW","DCA","12:00","11:59","142","145","-1","12:11","12","0","0","0","0","0"
"AA","12/02/2021","0481","N942AN","ORD","14:05","13:56","190","198","-9","14:16","20","0","0","0","0","0"
"AA","12/02/2021","0487","N803AW","PHL","17:16","17:01","163","159","-15","17:13","12","0","0","0","0","0"
"AA","12/02/2021","0565","N928NN","CLT","17:29","17:24","120","126","-5","17:40","16","0","0","0","0","0"
"AA","12/02/2021","0873","N146AA","DFW","15:33","15:59","185","166","26","16:08","9","0","0","0","0","0"
"AA","12/02/2021","1281","N930AU","DFW","07:28","07:18","185","184","-10","07:30","12","0","0","0","0","0"
"AA","12/02/2021","1469","N986NN","DFW","12:00","11:47","183","179","-13","12:06","19","0","0","0","0","0"
"AA","12/02/2021","1561","N579UW","CLT","15:39","15:30","119","118","-9","15:49","19","0","0","0","0","0"
"AA","12/02/2021","1631","N658AW","PHL","08:59","08:51","159","168","-8","09:03","12","0","0","0","0","0"
"AA","12/02/2021","1646","N197UW","CLT","06:19","06:04","120","122","-15","06:17","13","0","0","0","0","0"
"AA","12/02/2021","1860","N994NN","CLT","13:51","13:41","117","117","-10","13:55","14","0","0","0","0","0"
"AA","12/02/2021","1863","N755US","DCA","12:11","12:01","145","151","-10","12:13","12","0","0","0","0","0"
"AA","12/02/2021","1866","N3014R","PHL","14:05","13:58","158","153","-7","14:11","13","0","0","0","0","0"
"AA","12/02/2021","1930","N800NN","CLT","19:27","19:19","118","115","-8","19:33","14","0","0","0","0","0"
"AA","12/02/2021","1935","N914UY","CLT","12:03","11:55","119","122","-8","12:11","16","0","0","0","0","0"
"AA","12/02/2021","2287","N801NN","ORD","07:08","06:51","189","203","-17","07:10","19","0","0","0","0","0"
"AA","12/02/2021","2537","N948NN","ORD","12:00","11:51","190","185","-9","12:06","15","0","0","0","0","0"
"AA","12/02/2021","2561","N956NN","ORD","17:58","18:07","196","188","9","18:25","18","0","0","0","0","0"
"AA","12/02/2021","2736","N143AN","DFW","19:25","19:10","187","159","-15","19:19","9","0","0","0","0","0"
"AA","12/02/2021","2757","N139AN","DFW","09:24","09:16","185","177","-8","09:27","11","0","0","0","0","0"
"AA","12/02/2021","2916","N701UW","DCA","10:30","10:20","144","147","-10","10:32","12","0","0","0","0","0"
"AA","12/02/2022","0565","N195UW","CLT","15:42","15:37","119","118","-5","15:45","8","0","0","0","0","0"
"AA","12/02/2022","0771","N730US","DCA","12:01","11:48","143","152","-13","11:58","10","0","0","0","0","0"
"AA","12/02/2022","1042","N808NN","ORD","06:15","06:08","190","210","-7","06:20","12","0","0","0","0","0"
"AA","12/02/2022","1094","N184US","CLT","13:46","13:40","119","116","-6","13:49","9","0","0","0","0","0"
"AA","12/02/2022","1281","N162AA","DFW","07:15","07:15","181","184","0","07:27","12","0","0","0","0","0"
"AA","12/02/2022","1631","N750UW","PHL","12:12","12:02","158","158","-10","12:13","11","0","0","0","0","0"
"AA","12/02/2022","1873","N836AW","DCA","18:36","18:30","143","168","-6","18:45","15","0","0","19","0","0"
"AA","12/02/2022","1930","N827AW","CLT","19:36","19:34","119","111","-2","19:43","9","0","0","0","0","0"
"AA","12/02/2022","1935","N581UW","CLT","10:08","10:12","119","112","4","10:22","10","0","0","0","0","0"
"AA","12/02/2022","2002","N145AN","PHL","06:36","06:26","158","155","-10","06:40","14","0","0","0","0","0"
"AA","12/02/2022","2256","N978NN","DFW","14:36","14:30","185","169","-6","14:42","12","0","0","0","0","0"
"AA","12/02/2022","2365","N161AA","PHL","14:30","14:26","158","153","-4","14:35","9","0","0","0","0","0"
"AA","12/02/2022","2561","N957AN","ORD","15:11","15:45","192","178","34","15:55","10","6","0","0","0","14"
"AA","12/02/2022","2740","N988AL","DFW","17:21","17:12","181","179","-9","17:26","14","0","0","0","0","0"
"AA","12/02/2022","2774","N976UY","CLT","08:00","07:49","116","111","-11","07:59","10","0","0","0","0","0"
"AA","12/02/2023","0672","N912NN","DFW","12:47","12:34","188","177","-13","12:48","14","0","0","0","0","0"
"AA","12/02/2023","0873","N856NN","DFW","15:08","15:01","188","170","-7","15:11","10","0","0","0","0","0"
"AA","12/02/2023","1094","N561UW","CLT","13:48","13:43","117","114","-5","13:55","12","0","0","0","0","0"
"AA","12/02/2023","1097","N180US","CLT","06:12","06:03","116","110","-9","06:16","13","0","0","0","0","0"
"AA","12/02/2023","1281","N961AN","DFW","07:00","06:55","186","184","-5","07:06","11","0","0","0","0","0"
"AA","12/02/2023","1504","N965AN","ORD","16:40","16:37","185","190","-3","16:49","12","0","0","0","0","0"
"AA","12/02/2023","1631","N815AW","PHL","07:13","07:05","156","155","-8","07:20","15","0","0","0","0","0"
"AA","12/02/2023","1935","N534UW","CLT","11:45","11:37","117","111","-8","11:49","12","0","0","0","0","0"
"AA","12/02/2023","2241","N980UY","CLT","07:29","07:21","116","99","-8","07:31","10","0","0","0","0","0"
"AA","12/02/2023","2555","N581UW","CLT","10:18","10:29","117","108","11","10:42","13","0","0","0","0","0"
"AA","12/02/2023","2916","N765US","DCA","12:00","12:05","142","139","5","12:17","12","0","0","0","0","0"
"AA","12/03/2021","0481","N933NN","ORD","14:05","13:59","190","182","-6","14:17","18","0","0","0","0","0"
"AA","12/03/2021","0487","N753US","PHL","17:16","17:05","163","156","-11","17:21","16","0","0","0","0","0"
"AA","12/03/2021","0565","N854NN","CLT","17:29","17:21","120","111","-8","17:33","12","0","0","0","0","0"
"AA","12/03/2021","0873","N998AN","DFW","15:33","16:05","185","158","32","16:13","8","0","0","0","0","0"
"AA","12/03/2021","1281","N134AN","DFW","07:28","07:22","185","171","-6","07:36","14","0","0","0","0","0"
"AA","12/03/2021","1469","N844NN","DFW","12:00","11:54","183","165","-6","12:03","9","0","0","0","0","0"
"AA","12/03/2021","1561","N183UW","CLT","15:39","17:29","119","110","110","17:45","16","95","0","0","0","6"
"AA","12/03/2021","1631","N934AA","PHL","08:59","08:58","159","147","-1","09:09","11","0","0","0","0","0"
"AA","12/03/2021","1646","N924US","CLT","06:19","06:09","120","126","-10","06:21","12","0","0","0","0","0"
"AA","12/03/2021","1860","N951NN","CLT","13:51","13:59","117","131","8","14:30","31","8","0","14","0","0"
"AA","12/03/2021","1863","N802AW","DCA","12:11","13:16","145","144","65","13:38","22","64","0","0","0","0"
"AA","12/03/2021","1866","N3014R","PHL","14:05","13:56","158","169","-9","14:11","15","0","0","0","0","0"
"AA","12/03/2021","1930","N810NN","CLT","19:27","19:16","118","123","-11","19:27","11","0","0","0","0","0"
"AA","12/03/2021","1935","N552UW","CLT","12:03","12:01","119","116","-2","12:13","12","0","0","0","0","0"
"AA","12/03/2021","2287","N998NN","ORD","07:08","07:00","189","196","-8","07:13","13","0","0","0","0","0"
"AA","12/03/2021","2561","N892NN","ORD","17:58","17:54","196","184","-4","18:09","15","0","0","0","0","0"
"AA","12/03/2021","2619","N908NN","ORD","12:00","11:51","190","188","-9","12:05","14","0","0","0","0","0"
"AA","12/03/2021","2736","N929AA","DFW","19:15","19:13","187","189","-2","19:31","18","0","0","0","0","0"
"AA","12/03/2021","2757","N167AN","DFW","09:24","09:16","185","168","-8","09:34","18","0","0","0","0","0"
"AA","12/03/2021","2916","N722US","DCA","10:30","10:20","144","131","-10","10:28","8","0","0","0","0","0"
"AA","12/03/2022","0565","N913US","CLT","15:42","15:44","119","109","2","15:53","9","0","0","0","0","0"
"AA","12/03/2022","0771","N776XF","DCA","11:34","11:25","143","148","-9","11:40","15","0","0","0","0","0"
"AA","12/03/2022","1042","N344PP","ORD","06:15","06:12","190","188","-3","06:25","13","0","0","0","0","0"
"AA","12/03/2022","1094","N960NN","CLT","13:45","13:37","117","118","-8","13:49","12","0","0","0","0","0"
"AA","12/03/2022","1281","N125AA","DFW","07:15","07:14","181","166","-1","07:28","14","0","0","0","0","0"
"AA","12/03/2022","1631","N702UW","PHL","12:00","11:51","161","162","-9","12:00","9","0","0","0","0","0"
"AA","12/03/2022","1873","N825AW","DCA","17:32","17:22","143","127","-10","17:30","8","0","0","0","0","0"
"AA","12/03/2022","1930","N982VJ","CLT","19:36","19:28","119","125","-8","19:38","10","0","0","0","0","0"
"AA","12/03/2022","1935","N154AA","CLT","11:55","11:45","119","118","-10","11:54","9","0","0","0","0","0"
"AA","12/03/2022","2002","N119NN","PHL","06:36","06:28","158","151","-8","06:39","11","0","0","0","0","0"
"AA","12/03/2022","2256","N813NN","DFW","14:36","14:22","185","182","-14","14:36","14","0","0","0","0","0"
"AA","12/03/2022","2561","N344PP","ORD","15:11","15:10","192","194","-1","15:25","15","0","0","0","0","0"
"AA","12/03/2022","2740","N904AA","DFW","17:21","17:08","181","176","-13","17:20","12","0","0","0","0","0"
"AA","12/03/2022","2774","N971UY","CLT","08:00","07:53","116","115","-7","08:02","9","0","0","0","0","0"
"AA","12/03/2023","0565","N182UW","CLT","16:18","16:06","117","140","-12","16:21","15","0","0","0","0","0"
"AA","12/03/2023","0672","N926NN","DFW","12:47","12:39","188","191","-8","12:52","13","0","0","0","0","0"
"AA","12/03/2023","0873","N904AN","DFW","15:08","15:00","188","191","-8","15:15","15","0","0","0","0","0"
"AA","12/03/2023","1094","N181UW","CLT","13:48","13:46","117","118","-2","14:02","16","0","0","0","0","0"
"AA","12/03/2023","1097","N912UY","CLT","06:12","06:04","116","109","-8","06:14","10","0","0","0","0","0"
"AA","12/03/2023","1281","N857NN","DFW","07:00","06:57","186","180","-3","07:11","14","0","0","0","0","0"
"AA","12/03/2023","1504","N922AN","ORD","16:40","16:49","185","188","9","17:08","19","0","0","0","0","0"
"AA","12/03/2023","1631","N817AW","PHL","07:13","07:58","156","146","45","08:14","16","35","0","0","0","0"
"AA","12/03/2023","1866","N834AW","PHL","12:06","12:11","156","148","5","12:28","17","0","0","0","0","0"
"AA","12/03/2023","1929","N918NN","ORD","13:34","13:31","185","184","-3","13:53","22","0","0","0","0","0"
"AA","12/03/2023","1930","N181UW","CLT","19:38","19:37","117","101","-1","19:47","10","0","0","0","0","0"
"AA","12/03/2023","1935","N900UW","CLT","11:45","11:41","117","127","-4","11:53","12","0","0","0","0","0"
"AA","12/03/2023","2241","N579UW","CLT","07:29","07:21","116","111","-8","07:32","11","0","0","0","0","0"
"AA","12/03/2023","2555","N182UW","CLT","10:18","10:11","117","119","-7","10:25","14","0","0","0","0","0"
"AA","12/03/2023","2736","N858NN","DFW","19:14","19:31","188","184","17","19:43","12","0","0","0","0","0"
"AA","12/03/2023","2916","N803AW","DCA","11:37","11:32","142","120","-5","11:43","11","0","0","0","0","0"
"AA","12/04/2021","0481","N971NN","ORD","14:05","14:05","190","182","0","14:22","17","0","0","0","0","0"
