Detailed Statistics Departures  
Origin Airport: Fort Myers, FL: Southwest Florida International (RSW)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/16/2021","3775","N251NN","AUS","16:45","16:44","167","158","-1","16:57","13","0","0","0","0","0"
"MQ","12/17/2021","3775","N205NN","AUS","16:45","16:35","167","166","-10","16:49","14","0","0","0","0","0"
"MQ","12/18/2021","3775","N259NN","AUS","19:28","21:09","167","170","101","21:20","11","0","0","3","0","101"
"MQ","12/18/2021","4308","N218NN","AUS","11:03","10:57","167","169","-6","11:10","13","0","0","0","0","0"
"MQ","12/19/2021","3775","N222NS","AUS","16:45","17:36","167","174","51","17:55","19","46","0","7","0","5"
"MQ","12/20/2021","3775","N274NN","AUS","16:45","16:42","167","154","-3","16:52","10","0","0","0","0","0"
"MQ","12/20/2023","3491","N275NN","AUS","18:30","18:24","178","176","-6","18:39","15","0","0","0","0","0"
"MQ","12/21/2021","3775","N266NN","AUS","16:45","16:36","167","161","-9","16:48","12","0","0","0","0","0"
"MQ","12/21/2023","3491","N240NN","AUS","18:30","18:21","178","203","-9","18:31","10","0","0","16","0","0"
"MQ","12/22/2021","3775","N217NN","AUS","16:45","16:37","167","178","-8","16:54","17","0","0","0","0","0"
"MQ","12/22/2023","3491","N249NN","AUS","18:30","18:22","178","201","-8","18:37","15","0","0","15","0","0"
"MQ","12/23/2021","3775","N284JN","AUS","16:45","16:52","167","162","7","17:00","8","0","0","0","0","0"
"MQ","12/23/2023","3491","N292NN","AUS","18:51","18:49","178","200","-2","19:13","24","0","0","20","0","0"
"MQ","12/24/2021","3775","N227NN","AUS","16:29","16:57","167","193","28","17:42","45","28","0","26","0","0"
"MQ","12/24/2023","3491","N234JW","AUS","18:30","18:23","178","203","-7","18:47","24","0","0","18","0","0"
"MQ","12/25/2021","3775","N216NN","AUS","19:28","19:24","167","160","-4","19:38","14","0","0","0","0","0"
"MQ","12/25/2021","4308","N238NN","AUS","11:03","10:58","167","171","-5","11:09","11","0","0","0","0","0"
"MQ","12/25/2023","3491","N305CL","AUS","18:30","18:20","178","187","-10","18:30","10","0","0","0","0","0"
"MQ","12/26/2021","3775","N214NN","AUS","16:45","17:55","167","257","70","19:37","102","0","0","96","0","64"
"MQ","12/26/2023","3491","N207AN","AUS","18:30","19:42","178","187","72","19:59","17","12","0","9","0","60"
"MQ","12/27/2021","3775","N220NN","AUS","16:45","17:01","167","173","16","17:15","14","0","0","6","0","16"
"MQ","12/27/2023","3491","N243NN","AUS","18:30","18:50","178","189","20","19:02","12","0","0","18","0","13"
"MQ","12/28/2021","3775","N284JN","AUS","16:45","16:44","167","163","-1","17:01","17","0","0","0","0","0"
"MQ","12/28/2023","3491","N285NN","AUS","18:30","18:24","178","188","-6","18:41","17","0","0","0","0","0"
"MQ","12/29/2021","3775","N201NN","AUS","16:45","16:37","167","190","-8","17:07","30","0","0","15","0","0"
"MQ","12/29/2023","3491","N306DD","AUS","18:30","18:19","178","179","-11","18:31","12","0","0","0","0","0"
"MQ","12/30/2021","3775","N239NN","AUS","16:45","16:42","167","193","-3","17:08","26","0","0","23","0","0"
"MQ","12/30/2023","3491","N285NN","AUS","18:51","18:49","178","172","-2","19:02","13","0","0","0","0","0"
"MQ","12/31/2021","3775","N266NN","AUS","16:29","16:24","167","167","-5","16:36","12","0","0","0","0","0"
"MQ","12/31/2023","3491","N450YX","AUS","18:30","18:30","178","186","0","18:55","25","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
