Detailed Statistics Departures  
Origin Airport: Fort Myers, FL: Southwest Florida International (RSW)
Airline: Endeavor Air Inc. (9E)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"9E","12/16/2023","5472","N678CA","CVG","13:05","13:01","150","130","-4","13:16","15","0","0","0","0","0"
"9E","12/17/2023","5472","N336PQ","CVG","13:05","14:07","150","148","62","14:36","29","0","0","0","0","60"
"9E","12/18/2023","5472","N901XJ","CVG","13:05","12:55","150","151","-10","13:11","16","0","0","0","0","0"
"9E","12/19/2023","5472","N934XJ","CVG","13:05","12:50","150","155","-15","13:09","19","0","0","0","0","0"
"9E","12/20/2023","5472","N341PQ","CVG","13:05","14:09","150","135","64","14:21","12","49","0","0","0","0"
"9E","12/21/2023","5472","N200PQ","CVG","13:05","12:55","150","152","-10","13:16","21","0","0","0","0","0"
"9E","12/22/2023","5472","N136EV","CVG","13:05","12:58","150","147","-7","13:15","17","0","0","0","0","0"
"9E","12/23/2023","5472","N186PQ","CVG","13:05","13:27","150","145","22","13:41","14","0","0","0","0","17"
"9E","12/24/2023","5472","N146PQ","CVG","13:05","12:37","150","136","-28","12:59","22","0","0","0","0","0"
"9E","12/25/2023","5472","N293PQ","CVG","13:05","12:55","150","134","-10","13:08","13","0","0","0","0","0"
"9E","12/26/2023","5472","N297PQ","CVG","13:05","15:35","150","162","150","16:13","38","0","0","12","0","150"
"9E","12/27/2023","5472","N181GJ","CVG","13:05","13:06","150","156","1","13:48","42","0","0","0","0","0"
"9E","12/28/2023","5472","N695CA","CVG","13:05","13:08","150","143","3","13:31","23","0","0","0","0","0"
"9E","12/29/2023","5472","N311PQ","CVG","13:05","13:10","150","137","5","13:30","20","0","0","0","0","0"
"9E","12/30/2023","5472","N349PQ","CVG","13:05","12:55","150","163","-10","13:29","34","0","0","0","0","0"
"9E","12/31/2023","5472","N186GJ","CVG","13:05","12:52","150","146","-13","13:05","13","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
