Detailed Statistics Departures  
Origin Airport: Fort Myers, FL: Southwest Florida International (RSW)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/04/2021","4778","N136HQ","PHL","18:01","17:53","170","148","-8","18:04","11","0","0","0","0","0"
"YX","12/11/2021","4778","N124HQ","PHL","18:01","18:28","170","151","27","18:39","11","0","0","0","0","0"
"YX","12/16/2021","3427","N650RW","IND","19:45","20:37","156","148","52","20:48","11","44","0","0","0","0"
"YX","12/16/2021","3501","N650RW","MKE","11:15","11:07","192","182","-8","11:26","19","0","0","0","0","0"
"YX","12/17/2021","3427","N650RW","IND","19:45","19:36","156","151","-9","19:55","19","0","0","0","0","0"
"YX","12/17/2021","3501","N650RW","MKE","11:15","11:10","192","165","-5","11:19","9","0","0","0","0","0"
"YX","12/18/2021","3427","N653RW","IND","19:45","19:33","156","143","-12","19:44","11","0","0","0","0","0"
"YX","12/18/2021","3501","N653RW","MKE","11:15","11:08","192","180","-7","11:23","15","0","0","0","0","0"
"YX","12/18/2021","3600","N636RW","PIT","13:00","12:47","155","143","-13","13:05","18","0","0","0","0","0"
"YX","12/18/2021","3717","N631RW","CMH","12:30","12:27","148","175","-3","12:43","16","0","0","24","0","0"
"YX","12/18/2021","4980","N120HQ","PHL","13:01","13:19","161","170","18","13:50","31","0","0","9","0","18"
"YX","12/19/2021","3427","N650RW","IND","19:45","20:49","156","158","64","21:05","16","64","0","2","0","0"
"YX","12/19/2021","3501","N650RW","MKE","11:15","11:11","192","187","-4","11:35","24","0","0","0","0","0"
"YX","12/20/2021","3427","N650RW","IND","19:45","19:35","156","138","-10","19:48","13","0","0","0","0","0"
"YX","12/20/2021","3501","N650RW","MKE","11:15","11:04","192","191","-11","11:19","15","0","0","0","0","0"
"YX","12/21/2021","3427","N650RW","IND","19:45","19:41","156","146","-4","20:01","20","0","0","0","0","0"
"YX","12/21/2021","3501","N650RW","MKE","11:15","11:26","192","187","11","11:51","25","0","0","0","0","0"
"YX","12/21/2021","3523","N747YX","ORD","14:00","13:51","203","189","-9","14:18","27","0","0","0","0","0"
"YX","12/22/2021","3427","N650RW","IND","19:45","19:38","156","139","-7","19:47","9","0","0","0","0","0"
"YX","12/22/2021","3501","N650RW","MKE","11:15","11:12","192","184","-3","11:27","15","0","0","0","0","0"
"YX","12/23/2021","3427","N856RW","IND","19:45","19:34","156","158","-11","19:47","13","0","0","0","0","0"
"YX","12/23/2021","3501","N856RW","MKE","11:15","11:09","192","209","-6","11:31","22","0","0","0","0","0"
"YX","12/24/2021","3427","N651RW","IND","19:45","19:41","156","160","-4","20:04","23","0","0","0","0","0"
"YX","12/24/2021","3501","N651RW","MKE","11:15","11:05","192","188","-10","11:20","15","0","0","0","0","0"
"YX","12/25/2021","3427","N651RW","IND","19:45","19:34","156","148","-11","19:45","11","0","0","0","0","0"
"YX","12/25/2021","3501","N651RW","MKE","11:15","11:07","192","182","-8","11:19","12","0","0","0","0","0"
"YX","12/25/2021","4980","N128HQ","PHL","13:01","12:54","161","154","-7","13:06","12","0","0","0","0","0"
"YX","12/26/2021","3427","N634RW","IND","19:45","19:45","156","177","0","20:26","41","0","0","21","0","0"
"YX","12/26/2021","3501","N634RW","MKE","11:15","11:10","192","192","-5","11:23","13","0","0","0","0","0"
"YX","12/26/2021","3624","N749YX","EWR","11:45","11:39","181","203","-6","12:07","28","0","0","16","0","0"
"YX","12/27/2021","3427","N634RW","IND","19:45","19:56","156","150","11","20:14","18","0","0","0","0","0"
"YX","12/27/2021","3501","N634RW","MKE","11:15","11:07","192","186","-8","11:18","11","0","0","0","0","0"
"YX","12/28/2021","3427","N722YX","IND","19:45","19:59","156","152","14","20:15","16","0","0","0","0","0"
"YX","12/28/2021","3501","N722YX","MKE","11:15","11:19","192","259","4","12:18","59","0","0","67","0","4"
"YX","12/29/2021","3427","N648RW","IND","19:45","19:45","156","151","0","20:04","19","0","0","0","0","0"
"YX","12/29/2021","3501","N648RW","MKE","11:15","11:04","192","191","-11","11:33","29","0","0","0","0","0"
"YX","12/30/2021","3427","N864RW","IND","19:45","20:56","156","156","71","21:11","15","71","0","0","0","0"
"YX","12/30/2021","3501","N864RW","MKE","11:15","11:44","192","187","29","12:04","20","0","0","0","0","24"
"YX","12/31/2021","3427","N644RW","IND","19:45","21:41","156","163","116","21:55","14","0","0","7","0","116"
"YX","12/31/2021","3501","N644RW","MKE","11:15","13:30","192","226","135","14:23","53","0","0","34","0","135"

 SOURCE: Bureau of Transportation Statistics
