Detailed Statistics Departures  
Origin Airport: Fort Smith, AR: Fort Smith Regional (FSM)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3619","N623AE","DFW","20:31","20:20","69","69","-11","20:27","7","0","0","0","0","0"
"MQ","12/01/2021","4139","N619AE","DFW","18:27","18:51","68","74","24","19:10","19","2","0","6","0","22"
"MQ","12/02/2021","3619","N611AE","DFW","20:31","20:18","69","68","-13","20:29","11","0","0","0","0","0"
"MQ","12/02/2021","3621","N623AE","DFW","06:10","06:07","68","49","-3","06:11","4","0","0","0","0","0"
"MQ","12/02/2021","4139","N267NN","DFW","18:27","18:18","75","66","-9","18:29","11","0","0","0","0","0"
"MQ","12/03/2021","3619","N922AE","DFW","20:31","20:22","69","72","-9","20:30","8","0","0","0","0","0"
"MQ","12/03/2021","3621","N218NN","DFW","05:30","05:27","71","64","-3","05:43","16","0","0","0","0","0"
"MQ","12/03/2021","4139","N202NN","DFW","18:27","18:24","75","66","-3","18:32","8","0","0","0","0","0"
"MQ","12/04/2021","3621","N260NN","DFW","05:30","05:45","71","49","15","05:50","5","0","0","0","0","0"
"MQ","12/04/2021","4139","N272NN","DFW","18:27","18:18","75","60","-9","18:26","8","0","0","0","0","0"
"MQ","12/05/2021","3619","N922AE","DFW","20:31","20:58","69","55","27","21:05","7","0","0","0","0","0"
"MQ","12/05/2021","3621","N272NN","DFW","06:10","06:04","74","54","-6","06:13","9","0","0","0","0","0"
"MQ","12/05/2021","4139","N249NN","DFW","18:27","18:15","75","65","-12","18:21","6","0","0","0","0","0"
"MQ","12/05/2023","3357","N223NN","DFW","10:23","10:22","74","70","-1","10:33","11","0","0","0","0","0"
"MQ","12/06/2021","3621","N239NN","DFW","05:30","05:28","71","70","-2","05:48","20","0","0","0","0","0"
"MQ","12/06/2021","4139","N204NN","DFW","18:27","18:24","75","70","-3","18:29","5","0","0","0","0","0"
"MQ","12/06/2023","3357","N212NN","DFW","10:23","10:15","74","76","-8","10:29","14","0","0","0","0","0"
"MQ","12/06/2023","3373","N228NN","DFW","06:00","05:56","74","66","-4","06:07","11","0","0","0","0","0"
"MQ","12/07/2021","3621","N241NN","DFW","06:10","08:46","74","79","156","09:06","20","156","0","5","0","0"
"MQ","12/07/2021","4139","N229NN","DFW","18:27","18:27","75","68","0","18:33","6","0","0","0","0","0"
"MQ","12/07/2023","3357","N768RD","DFW","10:20","10:10","74","74","-10","10:20","10","0","0","0","0","0"
"MQ","12/07/2023","3373","N228NN","DFW","06:00","05:57","74","91","-3","06:08","11","0","0","0","0","0"
"MQ","12/08/2021","3619","N612AE","DFW","20:31","20:21","69","81","-10","20:45","24","0","0","0","0","0"
"MQ","12/08/2021","3621","N265NN","DFW","06:10","05:59","74","72","-11","06:19","20","0","0","0","0","0"
"MQ","12/08/2021","4139","N254NN","DFW","18:27","18:25","75","69","-2","18:34","9","0","0","0","0","0"
"MQ","12/08/2023","3357","N761RW","DFW","10:20","10:19","74","71","-1","10:30","11","0","0","0","0","0"
"MQ","12/08/2023","3373","N265NN","DFW","06:00","05:54","74","80","-6","06:11","17","0","0","0","0","0"
"MQ","12/09/2021","3619","N616AE","DFW","20:31","20:18","69","86","-13","20:30","12","0","0","0","0","0"
"MQ","12/09/2021","3621","N212NN","DFW","05:30","05:25","71","70","-5","05:36","11","0","0","0","0","0"
"MQ","12/09/2021","4139","N244NN","DFW","18:27","18:20","75","65","-7","18:27","7","0","0","0","0","0"
"MQ","12/09/2023","3357","N258NN","DFW","10:23","10:20","74","86","-3","10:40","20","0","0","0","0","0"
