Detailed Statistics Departures  
Origin Airport: Fresno, CA: Fresno Yosemite International (FAT)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2021","0047","332NV","LAS","12:14","12:03","62","66","-11","12:13","10","0","0","0","0","0"
"G4","12/01/2022","0040","329NV","LAS","09:01","09:36","66","84","35","09:58","22","35","0","18","0","0"
"G4","12/01/2022","0042","287NV","LAS","15:49","16:28","66","64","39","16:38","10","0","0","18","0","19"
"G4","12/01/2023","1628","309NV","LAS","22:34","22:18","70","64","-16","22:26","8","0","0","0","0","0"
"G4","12/01/2023","1715","325NV","LAS","16:03","16:15","70","84","12","16:38","23","12","0","14","0","0"
"G4","12/02/2021","0047","331NV","LAS","15:45","15:45","62","70","0","15:59","14","0","0","0","0","0"
"G4","12/02/2021","0048","319NV","LAS","08:49","10:43","62","73","114","10:54","11","114","0","11","0","0"
"G4","12/02/2021","0051","302NV","LAS","22:39","22:29","62","63","-10","22:38","9","0","0","0","0","0"
"G4","12/02/2022","0040","328NV","LAS","15:38","16:25","66","60","47","16:33","8","0","0","13","0","28"
"G4","12/02/2022","0042","331NV","LAS","21:43","22:18","66","62","35","22:28","10","31","0","0","0","0"
"G4","12/02/2023","1628","281NV","LAS","13:07","12:55","70","63","-12","13:04","9","0","0","0","0","0"
"G4","12/03/2021","0047","253NV","LAS","07:59","07:54","62","85","-5","08:23","29","0","0","18","0","0"
"G4","12/03/2021","0048","308NV","LAS","13:09","13:21","62","66","12","13:30","9","0","0","4","0","12"
"G4","12/03/2021","0051","302NV","LAS","22:13","22:07","62","67","-6","22:15","8","0","0","0","0","0"
"G4","12/03/2022","1714","287NV","LAS","12:26","12:38","66","68","12","12:48","10","0","0","0","0","0"
"G4","12/03/2023","1628","311NV","LAS","15:06","15:12","70","64","6","15:23","11","0","0","0","0","0"
"G4","12/03/2023","1630","302NV","LAS","22:14","22:02","70","72","-12","22:20","18","0","0","0","0","0"
"G4","12/04/2021","0047","328NV","LAS","12:04","11:54","62","63","-10","12:03","9","0","0","0","0","0"
"G4","12/04/2022","0040","287NV","LAS","16:12","17:13","66","78","61","17:33","20","0","0","12","0","61"
"G4","12/04/2022","0043","307NV","LAS","22:03","23:57","66","61","114","00:06","9","0","0","0","0","109"
"G4","12/04/2023","0071","324NV","LAS","16:03","16:06","70","69","3","16:14","8","0","0","0","0","0"
"G4","12/04/2023","1628","311NV","LAS","22:13","21:50","70","63","-23","22:00","10","0","0","0","0","0"
"G4","12/05/2021","0047","239NV","LAS","15:45","16:06","62","67","21","16:16","10","0","0","5","0","21"
"G4","12/05/2021","0048","331NV","LAS","08:49","09:03","62","63","14","09:12","9","14","0","1","0","0"
"G4","12/05/2021","0051","309NV","LAS","22:39","23:00","62","58","21","23:09","9","0","0","0","0","17"
"G4","12/05/2022","0040","248NV","LAS","14:03","14:55","66","72","52","15:15","20","0","0","58","0","0"
"G4","12/05/2022","0042","310NV","LAS","21:09","21:55","66","73","46","22:09","14","0","0","53","0","0"
"G4","12/06/2021","0047","319NV","LAS","15:45","15:59","62","68","14","16:14","15","0","0","6","0","14"
"G4","12/06/2021","0048","324NV","LAS","17:15","16:55","62","79","-20","17:23","28","0","0","0","0","0"
"G4","12/06/2021","0051","306NV","LAS","22:13","23:07","62","64","54","23:17","10","0","0","2","0","54"
"G4","12/06/2022","1714","248NV","LAS","11:56","11:49","66","84","-7","12:17","28","0","0","0","0","0"
"G4","12/06/2023","1628","295NV","LAS","17:35","17:27","70","78","-8","17:40","13","0","0","0","0","0"
"G4","12/07/2021","0047","253NV","LAS","11:54","11:44","62","64","-10","11:55","11","0","0","0","0","0"
"G4","12/07/2022","1714","307NV","LAS","11:56","12:14","66","69","18","12:25","11","1","0","3","0","17"
"G4","12/07/2023","0071","309NV","LAS","15:36","15:44","70","74","8","15:59","15","0","0","0","0","0"
"G4","12/07/2023","1628","295NV","LAS","22:29","00:12","70","66","103","00:25","13","0","0","0","0","99"
"G4","12/08/2021","0047","309NV","LAS","12:14","12:06","62","61","-8","12:14","8","0","0","0","0","0"
"G4","12/08/2022","0040","301NV","LAS","09:00","08:49","65","77","-11","09:09","20","0","0","0","0","0"
"G4","12/08/2022","0042","287NV","LAS","15:50","16:13","65","79","23","16:27","14","2","0","14","0","21"
"G4","12/08/2023","0071","286NV","LAS","17:06","18:22","70","87","76","18:53","31","0","0","53","0","40"
"G4","12/08/2023","0072","324NV","LAS","22:03","22:03","70","69","0","22:18","15","0","0","0","0","0"
"G4","12/09/2021","0047","250NV","LAS","15:45","17:34","62","104","109","18:13","39","0","0","42","0","109"
"G4","12/09/2021","0048","301NV","LAS","08:49","08:41","62","69","-8","08:55","14","0","0","0","0","0"
"G4","12/09/2021","0051","319NV","LAS","22:39","00:46","62","79","127","01:00","14","77","0","17","0","50"
"G4","12/09/2022","0040","248NV","LAS","15:38","15:42","66","74","4","15:55","13","0","0","0","0","0"
"G4","12/09/2022","0042","262NV","LAS","21:56","21:50","66","70","-6","22:06","16","0","0","0","0","0"
"G4","12/09/2023","1628","282NV","LAS","17:21","17:41","70","71","20","17:54","13","0","0","21","0","0"
"G4","12/10/2021","0047","239NV","LAS","13:43","13:39","62","69","-4","13:46","7","0","0","0","0","0"
"G4","12/10/2021","0048","318NV","LAS","17:04","17:22","62","64","18","17:32","10","18","0","2","0","0"
"G4","12/10/2021","0051","325NV","LAS","22:17","22:24","62","62","7","22:32","8","0","0","0","0","0"
"G4","12/10/2022","1714","262NV","LAS","12:26","12:20","66","65","-6","12:31","11","0","0","0","0","0"
"G4","12/10/2023","0071","234NV","LAS","22:29","22:53","70","61","24","23:02","9","0","0","0","0","15"
"G4","12/10/2023","1715","302NV","LAS","15:24","15:12","70","80","-12","15:30","18","0","0","0","0","0"
"G4","12/11/2021","0047","306NV","LAS","12:04","12:04","62","61","0","12:13","9","0","0","0","0","0"
"G4","12/11/2022","0040","262NV","LAS","16:07","17:38","65","68","91","17:47","9","0","0","94","0","0"
"G4","12/11/2022","0042","293NV","LAS","22:08","23:01","65","71","53","23:13","12","0","0","6","0","53"
"G4","12/11/2023","0071","324NV","LAS","16:17","16:06","70","84","-11","16:29","23","0","0","0","0","0"
"G4","12/11/2023","0072","308NV","LAS","22:03","21:54","70","61","-9","22:04","10","0","0","0","0","0"
"G4","12/12/2021","0047","318NV","LAS","15:45","15:39","62","70","-6","15:53","14","0","0","0","0","0"
"G4","12/12/2021","0048","337NV","LAS","08:49","08:52","62","67","3","09:07","15","0","0","0","0","0"
"G4","12/12/2021","0051","331NV","LAS","22:39","23:12","62","56","33","23:21","9","0","0","0","0","27"
"G4","12/12/2022","0040","313NV","LAS","14:08","13:53","66","62","-15","14:04","11","0","0","0","0","0"
"G4","12/12/2022","0042","218NV","LAS","22:38","22:30","66","60","-8","22:39","9","0","0","0","0","0"
"G4","12/13/2021","0047","250NV","LAS","15:45","15:44","62","64","-1","15:53","9","0","0","0","0","0"
"G4","12/13/2021","0048","306NV","LAS","17:15","17:09","62","75","-6","17:23","14","0","0","0","0","0"
"G4","12/13/2021","0051","319NV","LAS","22:08","23:43","62","82","95","23:57","14","0","0","20","0","95"
"G4","12/13/2022","1714","248NV","LAS","11:56","11:48","66","72","-8","12:03","15","0","0","0","0","0"
"G4","12/13/2023","1628","308NV","LAS","17:35","17:19","70","70","-16","17:31","12","0","0","0","0","0"
"G4","12/14/2021","0047","239NV","LAS","11:54","11:53","62","75","-1","12:06","13","0","0","0","0","0"
"G4","12/14/2022","1714","248NV","LAS","11:56","11:47","66","68","-9","11:58","11","0","0","0","0","0"
"G4","12/14/2023","0071","302NV","LAS","15:26","15:24","70","69","-2","15:34","10","0","0","0","0","0"
"G4","12/14/2023","1628","322NV","LAS","22:29","22:25","70","67","-4","22:38","13","0","0","0","0","0"
"G4","12/15/2021","0024","328NV","LAS","19:43","19:35","64","63","-8","19:45","10","0","0","0","0","0"
"G4","12/15/2022","1714","218NV","LAS","17:13","19:09","66","71","116","19:25","16","2","0","5","0","114"
"G4","12/15/2023","0071","312NV","LAS","17:09","16:59","70","70","-10","17:08","9","0","0","0","0","0"
"G4","12/15/2023","0072","334NV","LAS","22:08","21:59","70","68","-9","22:08","9","0","0","0","0","0"
"G4","12/16/2021","0024","253NV","LAS","08:39","08:35","64","68","-4","08:47","12","0","0","0","0","0"
"G4","12/16/2021","0086","337NV","LAS","15:10","15:37","64","95","27","16:09","32","0","0","31","0","27"
"G4","12/16/2022","0040","313NV","LAS","14:50","15:13","66","68","23","15:22","9","0","0","10","0","15"
"G4","12/16/2022","0042","328NV","LAS","22:12","22:32","66","69","20","22:43","11","0","0","3","0","20"
"G4","12/16/2023","1628","295NV","LAS","13:09","13:08","70","68","-1","13:23","15","0","0","0","0","0"
"G4","12/16/2023","1630","295NV","LAS","17:18","17:06","70","64","-12","17:17","11","0","0","0","0","0"
"G4","12/17/2021","0024","301NV","LAS","22:40","22:31","64","59","-9","22:41","10","0","0","0","0","0"
"G4","12/17/2021","0026","316NV","LAS","21:08","20:56","64","63","-12","21:05","9","0","0","0","0","0"
"G4","12/17/2021","0086","239NV","LAS","15:23","15:56","64","67","33","16:04","8","0","0","3","0","33"
"G4","12/17/2022","0040","","LAS","22:32","00:00","66","0","0","00:00","0","0","0","0","0","0"
"G4","12/17/2022","1714","328NV","LAS","16:11","16:03","66","72","-8","16:15","12","0","0","0","0","0"
"G4","12/17/2023","0071","312NV","LAS","22:29","22:52","70","90","23","23:02","10","0","0","20","0","23"
"G4","12/17/2023","1715","322NV","LAS","15:27","15:31","70","64","4","15:43","12","0","0","0","0","0"
"G4","12/18/2021","0024","250NV","LAS","18:45","18:59","64","70","14","19:14","15","0","0","6","0","14"
"G4","12/18/2022","0040","248NV","LAS","10:26","10:23","66","69","-3","10:34","11","0","0","0","0","0"
"G4","12/18/2022","0103","307NV","LAS","15:16","18:31","66","74","195","18:42","11","4","0","8","0","191"
"G4","12/18/2022","0154","329NV","LAS","14:13","14:30","66","71","17","14:45","15","0","0","5","0","17"
"G4","12/18/2023","0071","322NV","LAS","16:38","16:35","70","80","-3","17:00","25","0","0","0","0","0"
"G4","12/18/2023","0072","306NV","LAS","22:08","21:56","70","71","-12","22:09","13","0","0","0","0","0"
"G4","12/19/2021","0126","","LAS","18:47","00:00","64","0","0","00:00","0","0","0","0","0","0"
"G4","12/19/2021","0164","318NV","LAS","14:57","14:46","64","74","-11","15:00","14","0","0","0","0","0"
"G4","12/19/2022","0040","313NV","LAS","15:12","15:57","66","70","45","16:07","10","0","0","4","0","45"
"G4","12/19/2022","1714","218NV","LAS","22:32","22:58","66","59","26","23:06","8","0","0","0","0","19"
"G4","12/19/2023","1628","306NV","LAS","12:09","11:57","70","82","-12","12:20","23","0","0","0","0","0"
"G4","12/19/2023","1630","306NV","LAS","16:18","16:08","70","83","-10","16:31","23","0","0","0","0","0"
"G4","12/20/2021","0026","253NV","LAS","11:19","12:03","64","61","44","12:11","8","41","0","0","0","0"
"G4","12/20/2021","0127","302NV","LAS","15:45","15:39","64","71","-6","15:54","15","0","0","0","0","0"
"G4","12/20/2021","0136","239NV","LAS","21:46","23:00","64","64","74","23:14","14","0","0","0","0","74"
"G4","12/20/2022","0040","329NV","LAS","15:14","15:07","66","68","-7","15:20","13","0","0","0","0","0"
"G4","12/20/2023","1628","322NV","LAS","12:09","11:58","70","78","-11","12:16","18","0","0","0","0","0"
"G4","12/20/2023","1900","329NV","LAS","14:36","14:15","70","79","-21","14:32","17","0","0","0","0","0"
"G4","12/21/2021","0024","337NV","LAS","11:54","11:47","64","65","-7","11:55","8","0","0","0","0","0"
"G4","12/21/2021","0126","247NV","LAS","16:59","16:54","64","68","-5","17:09","15","0","0","0","0","0"
"G4","12/21/2022","0040","324NV","LAS","13:07","13:22","66","64","15","13:31","9","0","0","0","0","0"
"G4","12/21/2022","0042","305NV","LAS","20:12","20:15","66","56","3","20:23","8","0","0","0","0","0"
"G4","12/21/2023","1628","301NV","LAS","14:47","15:36","70","77","49","15:51","15","0","0","7","0","49"
"G4","12/21/2023","1630","302NV","LAS","22:24","22:17","70","67","-7","22:25","8","0","0","0","0","0"
"G4","12/22/2021","0024","316NV","LAS","20:37","20:32","64","60","-5","20:42","10","0","0","0","0","0"
"G4","12/22/2021","0026","316NV","LAS","16:12","16:26","64","59","14","16:36","10","0","0","0","0","0"
"G4","12/22/2022","0040","312NV","LAS","15:32","15:36","66","64","4","15:46","10","0","0","0","0","0"
"G4","12/22/2022","1714","307NV","LAS","20:55","20:56","66","70","1","21:10","14","0","0","0","0","0"
"G4","12/22/2023","0071","312NV","LAS","22:18","22:12","70","67","-6","22:25","13","0","0","0","0","0"
"G4","12/22/2023","1715","286NV","LAS","16:03","15:57","70","65","-6","16:06","9","0","0","0","0","0"
"G4","12/23/2021","0024","325NV","LAS","08:34","08:29","64","62","-5","08:41","12","0","0","0","0","0"
"G4","12/23/2021","0086","318NV","LAS","15:07","15:07","64","69","0","15:17","10","0","0","0","0","0"
"G4","12/23/2022","0040","302NV","LAS","14:55","15:23","66","71","28","15:39","16","0","0","5","0","28"
"G4","12/23/2022","0042","218NV","LAS","22:38","22:33","66","63","-5","22:42","9","0","0","0","0","0"
"G4","12/23/2023","0071","301NV","LAS","18:20","18:12","70","67","-8","18:27","15","0","0","0","0","0"
"G4","12/23/2023","1628","322NV","LAS","13:41","13:30","70","73","-11","13:47","17","0","0","0","0","0"
"G4","12/24/2021","0024","309NV","LAS","08:29","08:18","64","63","-11","08:29","11","0","0","0","0","0"
"G4","12/24/2021","0026","316NV","LAS","15:38","15:42","64","59","4","15:51","9","0","0","0","0","0"
"G4","12/24/2022","0040","305NV","LAS","15:38","15:33","66","59","-5","15:43","10","0","0","0","0","0"
"G4","12/24/2022","1714","305NV","LAS","21:10","17:11","66","63","1201","17:22","11","0","0","0","0","1198"
"G4","12/24/2023","0071","327NV","LAS","17:15","17:06","70","65","-9","17:14","8","0","0","0","0","0"
"G4","12/25/2021","0024","253NV","LAS","20:58","21:21","64","65","23","21:32","11","0","0","1","0","23"
"G4","12/25/2022","0040","305NV","LAS","13:43","13:37","66","65","-6","13:46","9","0","0","0","0","0"
"G4","12/25/2023","1628","286NV","LAS","21:35","21:28","70","62","-7","21:38","10","0","0","0","0","0"
"G4","12/26/2021","0024","253NV","LAS","08:44","08:48","64","61","4","09:00","12","0","0","0","0","0"
"G4","12/26/2021","0177","","LAS","11:37","00:00","64","0","0","00:00","0","0","0","0","0","0"
"G4","12/26/2022","0040","328NV","LAS","15:10","15:16","66","74","6","15:25","9","0","0","0","0","0"
"G4","12/26/2022","0043","207NV","LAS","22:12","01:51","66","76","219","02:07","16","0","0","10","0","219"
"G4","12/26/2023","0071","334NV","LAS","15:28","15:14","70","76","-14","15:28","14","0","0","0","0","0"
"G4","12/26/2023","0072","322NV","LAS","10:14","10:01","70","63","-13","10:12","11","0","0","0","0","0"
"G4","12/26/2023","1628","311NV","LAS","22:20","22:13","70","67","-7","22:21","8","0","0","0","0","0"
"G4","12/27/2021","0024","337NV","LAS","19:51","20:09","64","58","18","20:19","10","0","0","0","0","0"
"G4","12/27/2021","0026","","LAS","15:28","00:00","64","0","0","00:00","0","0","0","0","0","0"
"G4","12/27/2021","0126","316NV","LAS","22:23","00:00","64","0","0","00:00","0","0","0","0","0","0"
"G4","12/27/2022","0040","305NV","LAS","15:23","16:27","66","64","64","16:38","11","0","0","62","0","0"
"G4","12/27/2023","1628","208NV","LAS","12:09","12:08","70","78","-1","12:28","20","0","0","0","0","0"
"G4","12/27/2023","1630","208NV","LAS","16:18","16:04","70","72","-14","16:20","16","0","0","0","0","0"
"G4","12/28/2021","0024","337NV","LAS","13:54","14:04","64","66","10","14:17","13","0","0","0","0","0"
"G4","12/28/2021","0026","247NV","LAS","18:59","19:27","64","65","28","19:37","10","10","0","1","0","18"
"G4","12/28/2022","0040","313NV","LAS","08:56","09:57","66","58","61","10:07","10","14","0","0","0","39"
"G4","12/28/2022","0108","","LAS","12:43","00:00","66","0","0","00:00","0","0","0","0","0","0"
"G4","12/28/2023","0071","327NV","LAS","15:32","15:17","70","72","-15","15:29","12","0","0","0","0","0"
"G4","12/28/2023","1628","311NV","LAS","22:15","22:08","70","62","-7","22:19","11","0","0","0","0","0"
"G4","12/29/2021","0024","253NV","LAS","22:07","23:27","64","58","80","23:38","11","0","0","0","0","74"
"G4","12/29/2021","0026","318NV","LAS","17:58","18:01","64","59","3","18:12","11","0","0","0","0","0"
"G4","12/29/2022","0040","218NV","LAS","14:37","14:59","66","59","22","15:08","9","5","0","0","0","10"
"G4","12/29/2022","1714","310NV","LAS","22:13","22:13","66","72","0","22:26","13","0","0","0","0","0"
"G4","12/29/2023","0071","327NV","LAS","16:08","15:59","69","79","-9","16:12","13","0","0","0","0","0"
"G4","12/29/2023","0072","208NV","LAS","22:29","22:19","69","72","-10","22:30","11","0","0","0","0","0"
"G4","12/29/2023","1715","334NV","LAS","08:08","08:00","69","66","-8","08:13","13","0","0","0","0","0"
"G4","12/30/2021","0024","","LAS","08:34","00:00","64","0","0","00:00","0","0","0","0","0","0"
"G4","12/30/2021","0126","247NV","LAS","15:27","15:38","64","70","11","15:53","15","0","0","6","0","11"
"G4","12/30/2022","0040","319NV","LAS","14:55","16:06","66","66","71","16:20","14","0","0","0","0","71"
"G4","12/30/2022","0042","302NV","LAS","22:38","23:31","66","60","53","23:40","9","0","0","0","0","47"
"G4","12/30/2023","1628","223NV","LAS","12:09","12:02","70","70","-7","12:12","10","0","0","0","0","0"
"G4","12/30/2023","1630","223NV","LAS","16:19","16:08","70","70","-11","16:19","11","0","0","0","0","0"
"G4","12/30/2023","1715","208NV","LAS","20:13","20:08","70","65","-5","20:18","10","0","0","0","0","0"
"G4","12/31/2021","0024","","LAS","08:29","00:00","64","0","0","00:00","0","0","0","0","0","0"
"G4","12/31/2021","0026","247NV","LAS","15:38","15:56","64","63","18","16:04","8","0","0","0","0","17"
"G4","12/31/2022","0040","315NV","LAS","14:49","14:53","66","67","4","15:02","9","0","0","0","0","0"
"G4","12/31/2022","1714","324NV","LAS","20:23","21:02","66","70","39","21:17","15","7","0","4","0","32"
"G4","12/31/2023","1628","223NV","LAS","10:39","10:36","70","65","-3","10:49","13","0","0","0","0","0"
"G4","12/31/2023","1630","311NV","LAS","16:40","16:40","70","69","0","16:49","9","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
