Detailed Statistics Departures  
Origin Airport: Grand Island, NE: Central Nebraska Regional (GRI)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2022","4925","N709EV","DFW","07:25","07:17","113","112","-8","07:30","13","0","0","0","0","0"
"OO","12/01/2022","4988","N720EV","DFW","15:51","15:47","113","101","-4","15:57","10","0","0","0","0","0"
"OO","12/01/2023","3099","N710EV","DFW","07:02","06:58","136","145","-4","07:24","26","0","0","0","0","0"
"OO","12/01/2023","3295","N772SK","DFW","15:40","15:30","116","123","-10","15:40","10","0","0","0","0","0"
"OO","12/02/2022","4925","N612QX","DFW","07:25","07:47","113","109","22","07:57","10","18","0","0","0","0"
"OO","12/02/2022","4988","N719EV","DFW","15:51","15:41","113","103","-10","15:50","9","0","0","0","0","0"
"OO","12/02/2023","3099","N758SK","DFW","07:02","06:56","136","128","-6","07:23","27","0","0","0","0","0"
"OO","12/02/2023","3295","N607SK","DFW","15:40","19:39","116","114","239","20:04","25","237","0","0","0","0"
"OO","12/03/2022","4925","N707SK","DFW","07:25","07:21","113","133","-4","07:53","32","16","0","0","0","0"
"OO","12/03/2022","4988","N767SK","DFW","14:52","16:20","113","108","88","16:30","10","83","0","0","0","0"
"OO","12/03/2023","3099","N609SK","DFW","07:02","07:06","136","122","4","07:31","25","0","0","0","0","0"
"OO","12/03/2023","3295","N724SK","DFW","15:40","15:30","116","97","-10","15:38","8","0","0","0","0","0"
"OO","12/04/2022","4925","N753SK","DFW","07:25","07:42","113","106","17","07:54","12","0","0","0","0","0"
"OO","12/04/2022","4988","N709SK","DFW","15:51","15:41","113","108","-10","15:50","9","0","0","0","0","0"
"OO","12/04/2023","3099","N720EV","DFW","07:02","06:57","136","125","-5","07:23","26","0","0","0","0","0"
"OO","12/04/2023","3295","N772SK","DFW","15:40","23:51","116","89","491","00:05","14","464","0","0","0","0"
"OO","12/05/2022","4925","N720EV","DFW","07:25","07:25","113","107","0","07:41","16","0","0","0","0","0"
"OO","12/05/2022","4988","N750EV","DFW","15:51","16:08","113","95","17","16:12","4","0","0","0","0","0"
"OO","12/05/2023","3099","N772SK","DFW","07:00","10:30","134","109","210","10:38","8","185","0","0","0","0"
"OO","12/05/2023","3295","N612QX","DFW","15:31","15:40","113","110","9","15:51","11","0","0","0","0","0"
"OO","12/06/2022","4925","N703SK","DFW","07:25","07:15","113","105","-10","07:25","10","0","0","0","0","0"
"OO","12/06/2022","4988","N750EV","DFW","15:51","15:45","113","113","-6","15:56","11","0","0","0","0","0"
"OO","12/06/2023","3099","N719EV","DFW","07:00","06:52","134","113","-8","07:10","18","0","0","0","0","0"
"OO","12/06/2023","3295","N709SK","DFW","15:31","15:49","113","98","18","15:59","10","0","0","0","0","0"
"OO","12/07/2022","4925","N712SK","DFW","07:25","07:16","113","136","-9","07:46","30","0","0","0","0","0"
"OO","12/07/2022","4988","N774SK","DFW","15:51","15:42","113","119","-9","15:52","10","0","0","0","0","0"
"OO","12/07/2023","3099","N724EV","DFW","07:00","06:52","134","139","-8","07:25","33","0","0","0","0","0"
"OO","12/07/2023","3295","N770SK","DFW","15:31","15:21","113","103","-10","15:30","9","0","0","0","0","0"
"OO","12/08/2022","4925","N710SK","DFW","07:25","07:24","113","130","-1","07:50","26","16","0","0","0","0"
"OO","12/08/2022","4988","N755SK","DFW","15:51","18:32","113","106","161","18:39","7","0","154","0","0","0"
"OO","12/08/2023","3099","N708EV","DFW","07:00","06:53","134","117","-7","07:04","11","0","0","0","0","0"
"OO","12/08/2023","3295","N718EV","DFW","15:31","15:21","113","105","-10","15:28","7","0","0","0","0","0"
"OO","12/09/2022","4925","N709SK","DFW","07:25","07:20","113","134","-5","07:37","17","16","0","0","0","0"
"OO","12/09/2022","4988","N755SK","DFW","15:51","16:02","113","125","11","16:11","9","23","0","0","0","0"
"OO","12/09/2023","3099","N709SK","DFW","07:00","06:50","134","126","-10","07:04","14","0","0","0","0","0"
"OO","12/09/2023","3295","N765SK","DFW","15:31","15:21","113","119","-10","15:35","14","0","0","0","0","0"
"OO","12/10/2022","4925","N710EV","DFW","07:25","07:27","113","138","2","08:09","42","27","0","0","0","0"
"OO","12/10/2022","4988","N751EV","DFW","14:52","16:23","113","137","91","16:49","26","0","0","115","0","0"
"OO","12/10/2023","3099","N709SK","DFW","07:00","06:53","134","129","-7","07:29","36","0","0","0","0","0"
"OO","12/10/2023","3295","N771SK","DFW","15:31","23:49","113","92","498","00:01","12","477","0","0","0","0"
"OO","12/11/2022","4925","N728SK","DFW","07:25","07:39","113","130","14","08:09","30","31","0","0","0","0"
"OO","12/11/2022","4988","N716SK","DFW","15:51","15:41","113","105","-10","15:45","4","0","0","0","0","0"
