Detailed Statistics Departures  
Origin Airport: Grand Junction, CO: Grand Junction Regional (GJT)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","3810","N233NN","DFW","12:15","12:04","125","119","-11","12:14","10","0","0","0","0","0"
"MQ","12/01/2021","4470","N260NN","PHX","18:50","19:42","96","76","52","19:51","9","0","0","0","0","32"
"MQ","12/01/2022","3350","N230NN","DFW","16:35","16:30","124","117","-5","16:39","9","0","0","0","0","0"
"MQ","12/01/2022","3444","N208AN","PHX","08:20","08:11","103","120","-9","08:49","38","0","0","0","0","0"
"MQ","12/01/2022","4153","N206NN","DFW","06:20","06:16","134","139","-4","06:38","22","0","0","0","0","0"
"MQ","12/01/2023","3454","N235NN","DFW","13:09","13:01","129","116","-8","13:11","10","0","0","0","0","0"
"MQ","12/01/2023","3912","N223NN","DFW","05:40","05:35","144","136","-5","06:05","30","0","0","0","0","0"
"MQ","12/02/2021","3810","N212NN","DFW","12:15","12:10","125","119","-5","12:21","11","0","0","0","0","0"
"MQ","12/02/2021","4153","N241NN","DFW","06:10","06:09","130","132","-1","06:24","15","0","0","0","0","0"
"MQ","12/02/2021","4470","N215NN","PHX","18:50","18:45","96","92","-5","19:01","16","0","0","0","0","0"
"MQ","12/02/2022","3350","N264NN","DFW","16:35","16:33","124","117","-2","16:44","11","0","0","0","0","0"
"MQ","12/02/2022","3444","N281NN","PHX","08:20","08:15","103","99","-5","08:27","12","0","0","0","0","0"
"MQ","12/02/2022","4153","N267NN","DFW","06:20","06:15","134","109","-5","06:24","9","0","0","0","0","0"
"MQ","12/02/2023","3454","N290NN","DFW","13:09","13:12","129","107","3","13:21","9","0","0","0","0","0"
"MQ","12/02/2023","3912","N253NN","DFW","05:40","05:37","144","160","-3","06:23","46","0","0","0","0","0"
"MQ","12/03/2021","3810","N215NN","DFW","12:15","12:05","125","118","-10","12:16","11","0","0","0","0","0"
"MQ","12/03/2021","4153","N289MW","DFW","06:10","06:10","130","138","0","06:34","24","0","0","0","0","0"
"MQ","12/03/2021","4252","N215NN","PHX","06:02","06:01","97","93","-1","06:16","15","0","0","0","0","0"
"MQ","12/03/2021","4470","N267NN","PHX","18:50","18:39","96","92","-11","18:54","15","0","0","0","0","0"
"MQ","12/03/2022","3350","N287NN","DFW","16:35","16:27","124","123","-8","16:43","16","0","0","0","0","0"
"MQ","12/03/2022","3444","N202NN","PHX","08:20","08:12","103","95","-8","08:22","10","0","0","0","0","0"
"MQ","12/03/2022","4153","N281NN","DFW","06:20","06:25","134","113","5","06:36","11","0","0","0","0","0"
"MQ","12/03/2023","3454","N244NN","DFW","13:09","13:02","129","109","-7","13:15","13","0","0","0","0","0"
