Detailed Statistics Departures  
Origin Airport: Grand Rapids, MI: Gerald R. Ford International (GRR)
Airline: Delta Airlines Inc. (DL)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"DL","12/01/2021","1736","N340NW","ATL","17:08","17:07","119","104","-1","17:16","9","0","0","0","0","0"
"DL","12/01/2021","2151","N332NW","ATL","11:59","12:02","119","108","3","12:10","8","0","0","0","0","0"
"DL","12/01/2021","2610","N362NW","MSP","07:20","07:20","95","83","0","07:32","12","0","0","0","0","0"
"DL","12/01/2021","2848","N360NW","ATL","06:00","05:57","120","108","-3","06:09","12","0","0","0","0","0"
"DL","12/01/2021","2863","N107DN","DTW","05:30","05:28","51","42","-2","05:40","12","0","0","0","0","0"
"DL","12/01/2022","1237","N945AT","DTW","10:45","10:38","52","43","-7","10:50","12","0","0","0","0","0"
"DL","12/01/2022","1580","N927AT","DTW","14:37","14:29","54","43","-8","14:39","10","0","0","0","0","0"
"DL","12/01/2022","2324","N323NB","DTW","18:21","18:18","48","53","-3","18:35","17","0","0","0","0","0"
"DL","12/01/2022","2463","N347NW","ATL","19:51","19:37","118","111","-14","19:47","10","0","0","0","0","0"
"DL","12/01/2022","2664","N396DN","MSP","19:49","19:35","88","83","-14","19:45","10","0","0","0","0","0"
"DL","12/01/2022","2672","N319US","ATL","12:04","11:55","120","108","-9","12:05","10","0","0","0","0","0"
"DL","12/01/2022","2706","N368NW","MSP","07:30","07:24","98","101","-6","07:38","14","0","0","0","0","0"
"DL","12/01/2022","2848","N123DW","ATL","06:00","05:56","127","113","-4","06:09","13","0","0","0","0","0"
"DL","12/01/2022","2863","N330NB","DTW","05:30","05:21","56","57","-9","05:35","14","0","0","0","0","0"
"DL","12/01/2022","2888","N320DN","ATL","16:42","16:53","122","116","11","17:08","15","0","0","0","0","0"
"DL","12/01/2023","1643","N932AT","MSP","16:51","16:43","88","78","-8","16:51","8","0","0","0","0","0"
"DL","12/01/2023","1720","N830DN","MSP","07:00","06:58","95","92","-2","07:12","14","0","0","0","0","0"
"DL","12/01/2023","2160","N6710E","ATL","17:01","17:00","123","121","-1","17:16","16","0","0","0","0","0"
"DL","12/01/2023","2394","N316NB","DTW","05:10","05:11","62","48","1","05:27","16","0","0","0","0","0"
"DL","12/01/2023","2453","N684DA","ATL","06:00","05:57","127","126","-3","06:17","20","0","0","0","0","0"
"DL","12/01/2023","2511","N932AT","MSP","12:15","12:03","96","96","-12","12:27","24","0","0","0","0","0"
"DL","12/01/2023","2529","N970AT","DTW","18:20","18:16","51","53","-4","18:31","15","0","0","0","0","0"
"DL","12/01/2023","2547","N6703D","ATL","12:07","12:05","124","113","-2","12:15","10","0","0","0","0","0"
"DL","12/01/2023","2560","N302NB","DTW","11:55","11:56","61","41","1","12:06","10","0","0","0","0","0"
"DL","12/02/2021","1736","N336NW","ATL","15:53","15:53","120","117","0","16:14","21","0","0","0","0","0"
"DL","12/02/2021","2151","N349NB","ATL","11:59","11:56","119","104","-3","12:05","9","0","0","0","0","0"
"DL","12/02/2021","2173","N319US","ATL","19:41","19:33","125","106","-8","19:43","10","0","0","0","0","0"
"DL","12/02/2021","2610","N371NW","MSP","07:20","07:13","95","86","-7","07:23","10","0","0","0","0","0"
"DL","12/02/2021","2848","N319US","ATL","06:00","05:52","120","99","-8","06:06","14","0","0","0","0","0"
"DL","12/02/2021","2863","N348DN","DTW","05:30","05:28","51","47","-2","05:42","14","0","0","0","0","0"
"DL","12/02/2022","1237","N940AT","DTW","10:45","10:39","52","40","-6","10:49","10","0","0","0","0","0"
"DL","12/02/2022","1580","N932AT","DTW","14:37","14:31","54","45","-6","14:41","10","0","0","0","0","0"
"DL","12/02/2022","2324","N360NB","DTW","18:21","18:13","48","50","-8","18:24","11","0","0","0","0","0"
"DL","12/02/2022","2463","N365NW","ATL","19:51","19:35","118","110","-16","19:46","11","0","0","0","0","0"
"DL","12/02/2022","2664","N327DN","MSP","19:49","19:36","88","91","-13","19:49","13","0","0","0","0","0"
"DL","12/02/2022","2672","N341NW","ATL","12:04","12:10","120","106","6","12:19","9","0","0","0","0","0"
"DL","12/02/2022","2706","N363NW","MSP","07:30","07:18","98","87","-12","07:28","10","0","0","0","0","0"
"DL","12/02/2022","2848","N104DN","ATL","06:00","05:59","127","110","-1","06:13","14","0","0","0","0","0"
"DL","12/02/2022","2863","N320NB","DTW","05:30","05:23","56","49","-7","05:38","15","0","0","0","0","0"
"DL","12/02/2022","2888","N119DN","ATL","16:42","16:38","122","112","-4","16:48","10","0","0","0","0","0"
"DL","12/02/2023","1720","N882DN","MSP","07:00","06:52","95","97","-8","07:10","18","0","0","0","0","0"
"DL","12/02/2023","2160","N698DL","ATL","17:01","16:48","123","125","-13","16:58","10","0","0","0","0","0"
"DL","12/02/2023","2394","N314NB","DTW","05:10","05:03","62","48","-7","05:15","12","0","0","0","0","0"
"DL","12/02/2023","2453","N535US","ATL","06:00","05:57","127","134","-3","06:22","25","0","0","0","0","0"
"DL","12/02/2023","2529","N894AT","DTW","18:20","18:02","51","43","-18","18:10","8","0","0","0","0","0"
"DL","12/02/2023","2547","N6710E","ATL","12:07","12:12","124","120","5","12:22","10","0","0","0","0","0"
"DL","12/02/2023","2560","N302NB","DTW","11:55","11:47","61","40","-8","11:53","6","0","0","0","0","0"
"DL","12/02/2023","2696","N963AT","MSP","13:45","13:40","87","105","-5","14:11","31","0","0","0","0","0"
"DL","12/03/2021","1736","N342NW","ATL","15:53","15:53","120","105","0","16:03","10","0","0","0","0","0"
"DL","12/03/2021","2151","N378NW","ATL","11:59","11:53","119","106","-6","12:02","9","0","0","0","0","0"
"DL","12/03/2021","2173","N339NW","ATL","19:41","19:36","125","109","-5","19:47","11","0","0","0","0","0"
"DL","12/03/2021","2610","N341NW","MSP","07:20","07:14","95","112","-6","07:46","32","0","0","0","0","0"
"DL","12/03/2021","2848","N317US","ATL","06:00","06:00","120","121","0","06:27","27","0","0","0","0","0"
"DL","12/03/2021","2863","N309DN","DTW","05:30","05:26","51","66","-4","05:58","32","0","0","0","0","0"
"DL","12/03/2022","1237","N893AT","DTW","10:46","10:34","52","46","-12","10:45","11","0","0","0","0","0"
"DL","12/03/2022","1580","N893AT","DTW","14:23","14:07","51","45","-16","14:18","11","0","0","0","0","0"
"DL","12/03/2022","2324","N359NB","DTW","18:21","18:02","48","45","-19","18:11","9","0","0","0","0","0"
"DL","12/03/2022","2672","N369NW","ATL","12:04","12:14","120","113","10","12:25","11","0","0","0","0","0"
"DL","12/03/2022","2706","N335NW","MSP","07:30","07:28","98","85","-2","07:39","11","0","0","0","0","0"
"DL","12/03/2022","2848","N350DN","ATL","06:00","06:03","127","122","3","06:19","16","0","0","0","0","0"
"DL","12/03/2022","2863","N359NB","DTW","06:25","06:12","60","44","-13","06:22","10","0","0","0","0","0"
"DL","12/03/2022","2888","N860DN","ATL","16:43","16:29","123","110","-14","16:41","12","0","0","0","0","0"
"DL","12/03/2023","1643","N949AT","MSP","16:51","16:43","88","83","-8","16:54","11","0","0","0","0","0"
"DL","12/03/2023","1720","N907DN","MSP","07:00","06:53","95","103","-7","07:25","32","0","0","0","0","0"
"DL","12/03/2023","2160","N694DL","ATL","17:01","16:51","123","121","-10","17:02","11","0","0","0","0","0"
"DL","12/03/2023","2394","N331NB","DTW","05:10","05:09","62","50","-1","05:19","10","0","0","0","0","0"
"DL","12/03/2023","2453","N676DL","ATL","06:00","05:53","127","136","-7","06:14","21","0","0","0","0","0"
"DL","12/03/2023","2511","N949AT","MSP","12:15","12:14","96","82","-1","12:23","9","0","0","0","0","0"
"DL","12/03/2023","2529","N959AT","DTW","18:20","18:18","51","46","-2","18:27","9","0","0","0","0","0"
"DL","12/03/2023","2547","N671DN","ATL","12:07","12:06","124","116","-1","12:14","8","0","0","0","0","0"
"DL","12/03/2023","2560","N316NB","DTW","11:55","12:07","61","51","12","12:19","12","0","0","0","0","0"
"DL","12/04/2021","1736","N352NW","ATL","17:08","17:16","119","107","8","17:26","10","0","0","0","0","0"
"DL","12/04/2021","2151","N344NW","ATL","11:58","11:55","118","111","-3","12:07","12","0","0","0","0","0"
"DL","12/04/2021","2610","N367NW","MSP","07:20","07:19","95","112","-1","07:51","32","0","0","16","0","0"
"DL","12/04/2021","2848","N326US","ATL","06:00","05:57","120","129","-3","06:26","29","0","0","0","0","0"
"DL","12/04/2021","2863","N304DN","DTW","05:30","05:26","51","44","-4","05:37","11","0","0","0","0","0"
"DL","12/04/2022","1237","N934AT","DTW","10:45","10:40","52","45","-5","10:50","10","0","0","0","0","0"
"DL","12/04/2022","1580","N934AT","DTW","14:37","14:31","54","49","-6","14:43","12","0","0","0","0","0"
"DL","12/04/2022","2324","N359NB","DTW","18:21","18:07","48","51","-14","18:22","15","0","0","0","0","0"
"DL","12/04/2022","2463","N324US","ATL","19:51","19:40","118","107","-11","19:50","10","0","0","0","0","0"
"DL","12/04/2022","2664","N357DN","MSP","19:49","19:36","88","87","-13","19:46","10","0","0","0","0","0"
"DL","12/04/2022","2672","N365NW","ATL","12:04","11:58","120","110","-6","12:07","9","0","0","0","0","0"
"DL","12/04/2022","2706","N362NW","MSP","07:30","07:28","98","92","-2","07:37","9","0","0","0","0","0"
"DL","12/04/2022","2848","N127DN","ATL","06:00","05:52","127","109","-8","06:06","14","0","0","0","0","0"
"DL","12/04/2022","2863","N369NB","DTW","05:30","05:23","56","50","-7","05:36","13","0","0","0","0","0"
"DL","12/04/2022","2888","N371DN","ATL","16:42","16:38","122","103","-4","16:49","11","0","0","0","0","0"
"DL","12/04/2023","1643","N952AT","MSP","16:51","16:40","88","84","-11","16:52","12","0","0","0","0","0"
"DL","12/04/2023","1720","N927DZ","MSP","07:00","06:52","95","106","-8","07:17","25","0","0","0","0","0"
