Detailed Statistics Departures  
Origin Airport: Asheville, NC: Asheville Regional (AVL)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4150","N243NN","DFW","16:20","16:26","170","157","6","16:46","20","0","0","0","0","0"
"MQ","12/01/2022","4151","N225NN","DFW","16:10","15:58","163","158","-12","16:07","9","0","0","0","0","0"
"MQ","12/01/2023","3308","N213NN","DFW","07:23","07:17","171","198","-6","07:55","38","0","0","21","0","0"
"MQ","12/01/2023","3743","N273NN","CLT","13:00","13:08","59","57","8","13:29","21","0","0","0","0","0"
"MQ","12/02/2021","4150","N224NN","DFW","16:20","16:24","170","159","4","16:44","20","0","0","0","0","0"
"MQ","12/02/2022","4151","N238NN","DFW","16:10","16:00","163","162","-10","16:10","10","0","0","0","0","0"
"MQ","12/02/2023","3308","N211NN","DFW","07:23","07:17","171","170","-6","07:26","9","0","0","0","0","0"
"MQ","12/02/2023","3743","N248NN","CLT","13:00","13:48","59","56","48","14:08","20","45","0","0","0","0"
"MQ","12/03/2021","4150","N243NN","DFW","16:20","16:20","170","148","0","16:32","12","0","0","0","0","0"
"MQ","12/03/2022","4151","N215NN","DFW","16:10","16:11","163","164","1","16:19","8","0","0","0","0","0"
"MQ","12/03/2023","3308","N224NN","DFW","07:23","07:17","171","180","-6","07:29","12","0","0","0","0","0"
"MQ","12/03/2023","3743","N304KM","CLT","13:00","12:51","59","60","-9","13:13","22","0","0","0","0","0"
"MQ","12/04/2021","4150","N230NN","DFW","16:20","16:09","170","139","-11","16:17","8","0","0","0","0","0"
"MQ","12/04/2022","4151","N229NN","DFW","16:10","00:00","163","0","0","00:00","0","0","0","0","0","0"
"MQ","12/04/2023","3308","N248NN","DFW","07:23","07:16","171","176","-7","07:39","23","0","0","0","0","0"
"MQ","12/04/2023","3743","N272NN","CLT","13:00","12:58","59","62","-2","13:22","24","0","0","0","0","0"
"MQ","12/05/2021","4150","N241NN","DFW","16:20","16:16","170","159","-4","16:26","10","0","0","0","0","0"
"MQ","12/05/2022","4151","N264NN","DFW","16:10","16:04","163","156","-6","16:15","11","0","0","0","0","0"
"MQ","12/05/2023","4148","N449YX","CLT","09:20","09:14","59","71","-6","09:42","28","0","0","0","0","0"
"MQ","12/06/2021","4150","N276NN","DFW","16:20","16:21","170","158","1","16:31","10","0","0","0","0","0"
"MQ","12/06/2022","4151","N237NN","DFW","16:10","16:07","163","154","-3","16:16","9","0","0","0","0","0"
"MQ","12/07/2021","4150","N289MW","DFW","16:20","16:14","170","163","-6","16:25","11","0","0","0","0","0"
"MQ","12/07/2022","4151","N280NN","DFW","16:10","16:05","163","160","-5","16:13","8","0","0","0","0","0"
"MQ","12/08/2021","4150","N267NN","DFW","16:20","16:14","170","168","-6","16:27","13","0","0","0","0","0"
"MQ","12/08/2022","4151","N300LK","DFW","16:10","16:00","163","161","-10","16:10","10","0","0","0","0","0"
"MQ","12/09/2021","4150","N234JW","DFW","16:20","16:19","170","161","-1","16:29","10","0","0","0","0","0"
"MQ","12/09/2022","4151","N213NN","DFW","16:10","16:19","163","153","9","16:28","9","0","0","0","0","0"
"MQ","12/10/2021","4150","N203NN","DFW","16:20","16:09","170","174","-11","16:23","14","0","0","0","0","0"
"MQ","12/10/2022","4151","N274NN","DFW","16:10","17:20","163","181","70","17:31","11","0","0","88","0","0"
"MQ","12/11/2021","4150","N238NN","DFW","16:20","16:15","170","172","-5","16:23","8","0","0","0","0","0"
"MQ","12/11/2022","4151","N237NN","DFW","16:10","15:59","163","164","-11","16:10","11","0","0","0","0","0"
"MQ","12/12/2021","4150","N202NN","DFW","16:20","16:13","170","148","-7","16:22","9","0","0","0","0","0"
"MQ","12/12/2022","4151","N247NN","DFW","16:10","16:00","163","179","-10","16:21","21","0","0","0","0","0"
"MQ","12/13/2021","4150","N231AN","DFW","16:20","16:43","170","150","23","16:58","15","0","0","0","0","0"
"MQ","12/13/2022","4151","N293NN","DFW","16:10","16:40","163","193","30","16:51","11","7","0","30","0","23"
"MQ","12/14/2021","4150","N253NN","DFW","16:20","16:28","170","150","8","16:43","15","0","0","0","0","0"
"MQ","12/14/2022","4151","N206NN","DFW","16:10","16:08","163","159","-2","16:18","10","0","0","0","0","0"
"MQ","12/15/2021","4150","N206NN","DFW","16:20","16:43","170","176","23","16:57","14","11","0","6","0","12"
"MQ","12/15/2022","4151","N293NN","DFW","16:20","16:10","165","178","-10","16:22","12","0","0","0","0","0"
"MQ","12/16/2021","4150","N217NN","DFW","16:32","16:27","177","160","-5","16:35","8","0","0","0","0","0"
"MQ","12/16/2022","4151","N210NN","DFW","16:20","16:15","165","177","-5","16:27","12","0","0","0","0","0"
"MQ","12/17/2021","4150","N253NN","DFW","16:32","16:52","177","153","20","17:02","10","0","0","0","0","0"
"MQ","12/17/2022","4151","N264NN","DFW","16:20","16:50","165","166","30","17:01","11","0","0","1","0","30"
"MQ","12/18/2021","4150","N284JN","DFW","16:32","16:35","177","158","3","16:42","7","0","0","0","0","0"
"MQ","12/18/2022","4151","N240NN","DFW","16:20","16:13","165","168","-7","16:22","9","0","0","0","0","0"
"MQ","12/19/2021","4150","N271NN","DFW","16:32","16:20","177","157","-12","16:31","11","0","0","0","0","0"
"MQ","12/19/2022","4151","N211NN","DFW","16:20","16:23","165","174","3","16:37","14","0","0","0","0","0"
"MQ","12/20/2021","4150","N230NN","DFW","16:32","17:07","177","151","35","17:17","10","0","0","0","0","0"
"MQ","12/20/2022","4151","N285NN","DFW","16:20","16:12","165","156","-8","16:22","10","0","0","0","0","0"
"MQ","12/20/2023","3443","N247NN","CLT","18:32","18:31","57","58","-1","18:38","7","0","0","0","0","0"
"MQ","12/21/2021","4150","N283NN","DFW","16:32","16:25","177","149","-7","16:37","12","0","0","0","0","0"
"MQ","12/21/2022","4151","N272NN","DFW","16:20","16:20","165","182","0","16:34","14","0","0","17","0","0"
"MQ","12/21/2023","3443","N257NN","CLT","18:32","18:29","57","79","-3","18:59","30","0","0","19","0","0"
"MQ","12/22/2021","4150","N256NN","DFW","16:32","16:35","177","148","3","16:46","11","0","0","0","0","0"
"MQ","12/22/2022","4151","N202NN","DFW","16:20","17:16","165","166","56","17:26","10","4","0","1","0","52"
"MQ","12/22/2023","3443","N280NN","CLT","18:32","18:33","57","63","1","18:55","22","0","0","0","0","0"
"MQ","12/23/2021","4150","N249NN","DFW","16:32","16:31","177","153","-1","16:46","15","0","0","0","0","0"
"MQ","12/23/2022","4151","N272NN","DFW","16:20","16:10","165","176","-10","16:22","12","0","0","0","0","0"
"MQ","12/23/2023","3443","N259NN","CLT","18:32","18:32","57","72","0","19:04","32","0","0","15","0","0"
"MQ","12/24/2021","4150","N220NN","DFW","16:32","16:23","177","180","-9","16:31","8","0","0","0","0","0"
"MQ","12/24/2022","4151","N265NN","DFW","16:20","16:22","165","158","2","16:32","10","0","0","0","0","0"
"MQ","12/25/2021","4150","N219NN","DFW","16:32","16:23","177","162","-9","16:33","10","0","0","0","0","0"
"MQ","12/25/2022","4151","N229NN","DFW","16:20","16:18","165","152","-2","16:26","8","0","0","0","0","0"
