Detailed Statistics Departures  
Origin Airport: Grand Rapids, MI: Gerald R. Ford International (GRR)
Airline: Frontier Airlines Inc. (F9)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","12/01/2021","2511","N238FR","TPA","14:38","14:35","176","164","-3","14:50","15","0","0","0","0","0"
"F9","12/01/2022","0499","N377FR","DEN","19:35","19:55","188","175","20","20:08","13","0","0","0","0","0"
"F9","12/01/2022","0919","N366FR","RSW","06:00","05:49","187","176","-11","06:13","24","0","0","0","0","0"
"F9","12/01/2022","1075","N332FR","MCO","18:30","18:59","186","151","29","19:09","10","0","0","0","0","0"
"F9","12/01/2023","1247","N605FR","DEN","15:38","15:25","204","173","-13","15:41","16","0","0","0","0","0"
"F9","12/01/2023","1370","N723FR","MCO","18:47","18:45","191","169","-2","18:59","14","0","0","0","0","0"
"F9","12/01/2023","2204","N723FR","RSW","10:31","10:15","184","183","-16","10:38","23","0","0","0","0","0"
"F9","12/01/2023","4286","N625FR","TPA","13:25","13:02","170","162","-23","13:16","14","0","0","0","0","0"
"F9","12/02/2021","0499","N366FR","DEN","15:14","15:03","184","180","-11","15:17","14","0","0","0","0","0"
"F9","12/02/2021","0919","N332FR","RSW","11:22","11:06","190","161","-16","11:22","16","0","0","0","0","0"
"F9","12/02/2021","1075","N383FR","MCO","20:06","19:56","182","160","-10","20:09","13","0","0","0","0","0"
"F9","12/02/2022","0919","N330FR","RSW","06:00","05:50","187","167","-10","06:01","11","0","0","0","0","0"
"F9","12/02/2022","1075","N366FR","MCO","18:34","18:47","186","146","13","18:57","10","0","0","0","0","0"
