Detailed Statistics Departures  
Origin Airport: Grand Rapids, MI: Gerald R. Ford International (GRR)
Airline: United Airlines Inc. (UA)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"UA","12/01/2021","1247","N460UA","ORD","07:40","07:35","63","69","-5","07:57","22","0","0","0","0","0"
"UA","12/01/2021","1558","N820UA","DEN","09:00","08:59","180","197","-1","09:24","25","0","0","16","0","0"
"UA","12/01/2021","2171","N423UA","DEN","15:40","15:42","180","158","2","15:50","8","0","0","0","0","0"
"UA","12/01/2022","1558","N33266","DEN","08:19","08:11","183","167","-8","08:24","13","0","0","0","0","0"
"UA","12/01/2022","1943","N68805","ORD","07:10","07:05","61","61","-5","07:23","18","0","0","0","0","0"
"UA","12/01/2022","2171","N833UA","DEN","15:26","15:18","181","169","-8","15:30","12","0","0","0","0","0"
"UA","12/01/2022","2305","N12225","ORD","18:42","19:46","61","47","64","19:56","10","0","0","0","0","50"
"UA","12/01/2023","0636","N852UA","ORD","13:52","13:51","68","93","-1","14:30","39","0","0","24","0","0"
"UA","12/01/2023","1558","N849UA","DEN","08:10","08:04","186","169","-6","08:16","12","0","0","0","0","0"
"UA","12/01/2023","2171","N76508","DEN","15:32","15:29","185","174","-3","15:40","11","0","0","0","0","0"
"UA","12/01/2023","2191","N27734","IAH","08:58","08:47","183","179","-11","08:57","10","0","0","0","0","0"
"UA","12/01/2023","2218","N27722","ORD","07:30","07:34","68","68","4","07:46","12","0","0","0","0","0"
"UA","12/02/2021","1247","N419UA","ORD","07:40","07:30","63","57","-10","07:48","18","0","0","0","0","0"
"UA","12/02/2021","1558","N823UA","DEN","09:00","09:04","180","182","4","09:15","11","0","0","0","0","0"
"UA","12/02/2021","2171","N458UA","DEN","15:40","15:34","180","171","-6","15:46","12","0","0","0","0","0"
"UA","12/02/2022","1558","N26210","DEN","08:19","08:15","183","175","-4","08:26","11","0","0","0","0","0"
"UA","12/02/2022","1943","N39415","ORD","07:10","06:57","61","63","-13","07:09","12","0","0","0","0","0"
"UA","12/02/2022","2171","N78438","DEN","15:32","15:57","180","177","25","16:11","14","16","0","0","0","6"
"UA","12/02/2022","2305","N86534","ORD","18:42","18:35","61","70","-7","18:55","20","0","0","0","0","0"
"UA","12/02/2023","1558","N845UA","DEN","08:00","07:57","186","178","-3","08:11","14","0","0","0","0","0"
"UA","12/02/2023","2171","N78509","DEN","16:20","16:09","185","165","-11","16:19","10","0","0","0","0","0"
"UA","12/02/2023","2191","N79521","IAH","09:05","08:52","182","205","-13","09:17","25","0","0","0","0","0"
"UA","12/02/2023","2218","N37308","ORD","07:30","07:24","68","66","-6","07:38","14","0","0","0","0","0"
"UA","12/03/2021","1247","N4901U","ORD","07:40","07:34","63","81","-6","08:03","29","0","0","0","0","0"
"UA","12/03/2021","1558","N821UA","DEN","09:00","08:58","180","194","-2","09:17","19","0","0","0","0","0"
"UA","12/03/2021","2171","N436UA","DEN","15:40","15:51","180","165","11","15:59","8","0","0","0","0","0"
"UA","12/03/2022","1558","N33262","DEN","08:00","07:52","180","195","-8","08:10","18","0","0","0","0","0"
"UA","12/03/2022","1943","N38424","ORD","07:10","07:05","61","62","-5","07:24","19","0","0","0","0","0"
"UA","12/03/2022","2171","N419UA","DEN","15:32","15:22","180","193","-10","15:31","9","0","0","0","0","0"
"UA","12/03/2023","0636","N27246","ORD","13:52","13:37","68","52","-15","13:49","12","0","0","0","0","0"
"UA","12/03/2023","1558","N843UA","DEN","08:10","08:10","186","190","0","08:50","40","0","0","0","0","0"
"UA","12/03/2023","2171","N78524","DEN","16:20","16:11","185","158","-9","16:22","11","0","0","0","0","0"
"UA","12/03/2023","2191","N17229","IAH","09:05","09:23","182","194","18","09:59","36","18","0","12","0","0"
"UA","12/03/2023","2218","N47275","ORD","07:30","07:25","68","93","-5","08:14","49","0","0","20","0","0"
"UA","12/04/2021","1247","N446UA","ORD","07:40","07:39","63","57","-1","07:55","16","0","0","0","0","0"
"UA","12/04/2021","1558","N458UA","DEN","09:00","08:54","180","176","-6","09:05","11","0","0","0","0","0"
"UA","12/04/2021","2171","N445UA","DEN","15:40","15:37","180","170","-3","15:50","13","0","0","0","0","0"
"UA","12/04/2022","1558","N36272","DEN","08:00","08:19","180","168","19","08:31","12","0","0","0","0","0"
"UA","12/04/2022","1943","N34455","ORD","07:10","07:00","61","73","-10","07:29","29","0","0","0","0","0"
"UA","12/04/2022","2171","N37456","DEN","15:32","15:35","180","168","3","15:45","10","0","0","0","0","0"
"UA","12/04/2022","2305","N34222","ORD","18:37","19:52","60","54","75","20:08","16","0","0","0","0","69"
"UA","12/04/2023","0636","N816UA","ORD","13:52","13:40","68","57","-12","13:56","16","0","0","0","0","0"
"UA","12/04/2023","1558","N803UA","DEN","08:10","08:02","186","176","-8","08:26","24","0","0","0","0","0"
"UA","12/04/2023","2171","N77510","DEN","16:20","16:10","185","166","-10","16:24","14","0","0","0","0","0"
"UA","12/04/2023","2191","N27724","IAH","08:58","08:53","183","190","-5","09:19","26","0","0","0","0","0"
"UA","12/04/2023","2218","N73276","ORD","07:30","07:26","68","59","-4","07:40","14","0","0","0","0","0"
"UA","12/05/2021","0791","N13248","ORD","06:25","06:15","64","80","-10","06:46","31","0","0","0","0","0"
"UA","12/05/2021","1247","N485UA","ORD","07:40","07:36","63","65","-4","07:45","9","0","0","0","0","0"
"UA","12/05/2021","1558","N460UA","DEN","08:05","08:24","180","173","19","08:34","10","0","0","0","0","0"
"UA","12/05/2021","2171","N460UA","DEN","15:40","15:58","180","187","18","16:19","21","18","0","7","0","0"
"UA","12/05/2022","1558","N24212","DEN","08:19","08:12","183","169","-7","08:23","11","0","0","0","0","0"
"UA","12/05/2022","1943","N37420","ORD","07:00","07:02","61","60","2","07:16","14","0","0","0","0","0"
"UA","12/05/2022","2171","N62894","DEN","15:32","15:24","180","185","-8","15:35","11","0","0","0","0","0"
"UA","12/05/2022","2305","N14214","ORD","18:42","19:49","61","51","67","20:00","11","0","0","0","0","57"
"UA","12/05/2023","0636","N835UA","ORD","13:52","13:39","68","57","-13","13:47","8","0","0","0","0","0"
"UA","12/05/2023","1558","N821UA","DEN","08:10","08:01","186","173","-9","08:28","27","0","0","0","0","0"
"UA","12/05/2023","2171","N76523","DEN","16:20","16:11","185","155","-9","16:21","10","0","0","0","0","0"
"UA","12/05/2023","2191","N12754","IAH","08:58","08:44","183","191","-14","09:23","39","0","0","0","0","0"
"UA","12/05/2023","2218","N23707","ORD","07:30","07:25","68","95","-5","08:12","47","0","0","22","0","0"
"UA","12/06/2021","1247","N424UA","ORD","07:40","07:37","63","62","-3","07:50","13","0","0","0","0","0"
"UA","12/06/2021","1558","N889UA","DEN","09:00","08:54","180","202","-6","09:26","32","0","0","16","0","0"
"UA","12/06/2021","2171","N462UA","DEN","15:40","15:35","180","205","-5","16:00","25","0","0","20","0","0"
