Detailed Statistics Departures  
Origin Airport: Great Falls, MT: Great Falls International (GTF)
Airline: SkyWest Airlines Inc. (OO)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"OO","12/01/2021","4248","N879AS","SLC","12:30","12:19","89","84","-11","12:31","12","0","0","0","0","0"
"OO","12/01/2021","4292","N445SW","SLC","07:00","06:55","96","79","-5","07:03","8","0","0","0","0","0"
"OO","12/01/2021","4740","N492SW","DEN","14:30","14:22","117","120","-8","14:39","17","0","0","0","0","0"
"OO","12/01/2021","4750","N438SW","DEN","07:00","06:56","122","109","-4","07:10","14","0","0","0","0","0"
"OO","12/01/2022","3594","N265SY","SLC","17:49","17:36","96","125","-13","18:16","40","16","0","0","0","0"
"OO","12/01/2022","3614","N271SY","SLC","13:35","13:32","98","100","-3","13:52","20","0","0","0","0","0"
"OO","12/01/2022","3716","N282SY","SLC","05:54","05:47","95","96","-7","06:03","16","0","0","0","0","0"
"OO","12/01/2022","4740","N211SY","DEN","14:33","18:22","112","141","229","19:01","39","0","258","0","0","0"
"OO","12/01/2022","4750","N167SY","DEN","06:45","06:54","125","110","9","07:10","16","0","0","0","0","0"
"OO","12/01/2023","3436","N171SY","SEA","15:51","15:50","111","99","-1","16:01","11","0","0","0","0","0"
"OO","12/01/2023","3834","N309SY","MSP","05:35","05:25","151","166","-10","05:51","26","0","0","0","0","0"
"OO","12/01/2023","3859","N264SY","SLC","12:30","12:20","87","96","-10","12:35","15","0","0","0","0","0"
"OO","12/01/2023","3862","N603CZ","SLC","05:50","05:45","94","88","-5","06:00","15","0","0","0","0","0"
"OO","12/01/2023","4750","N624UX","DEN","07:00","06:53","120","126","-7","07:18","25","0","0","0","0","0"
"OO","12/01/2023","4759","N622UX","DEN","14:23","14:17","121","112","-6","14:28","11","0","0","0","0","0"
"OO","12/02/2021","4248","N442SW","SLC","12:30","12:23","89","88","-7","12:34","11","0","0","0","0","0"
"OO","12/02/2021","4292","N446SW","SLC","07:00","06:53","96","80","-7","07:06","13","0","0","0","0","0"
"OO","12/02/2021","4740","N904EV","DEN","14:30","15:21","117","104","51","15:30","9","0","0","0","0","38"
"OO","12/02/2021","4750","N118SY","DEN","07:00","07:00","119","107","0","07:14","14","0","0","0","0","0"
"OO","12/02/2022","3594","N282SY","SLC","17:49","17:43","96","94","-6","17:58","15","0","0","0","0","0"
"OO","12/02/2022","3614","N275SY","SLC","13:35","13:27","98","117","-8","14:03","36","0","0","0","0","0"
"OO","12/02/2022","3716","N273SY","SLC","05:54","05:49","95","101","-5","06:13","24","0","0","0","0","0"
"OO","12/02/2022","4740","N167SY","DEN","14:33","14:35","112","108","2","14:47","12","0","0","0","0","0"
"OO","12/02/2022","4750","N116SY","DEN","06:45","09:03","125","106","138","09:14","11","119","0","0","0","0"
"OO","12/02/2023","3436","N191SY","SEA","15:51","15:47","111","109","-4","15:55","8","0","0","0","0","0"
"OO","12/02/2023","3834","N253SY","MSP","05:35","05:29","151","149","-6","05:53","24","0","0","0","0","0"
"OO","12/02/2023","3859","N302SY","SLC","12:30","12:29","87","94","-1","12:46","17","0","0","0","0","0"
"OO","12/02/2023","3862","N323SY","SLC","05:50","05:43","94","89","-7","05:56","13","0","0","0","0","0"
"OO","12/02/2023","4750","N611UX","DEN","07:00","06:53","120","106","-7","07:04","11","0","0","0","0","0"
"OO","12/02/2023","4759","N605UX","DEN","14:23","14:16","121","113","-7","14:33","17","0","0","0","0","0"
"OO","12/03/2021","4248","N460SW","SLC","12:30","12:24","89","92","-6","12:37","13","0","0","0","0","0"
"OO","12/03/2021","4292","N608SK","SLC","07:00","06:54","96","99","-6","07:22","28","0","0","0","0","0"
"OO","12/03/2021","4740","N466SW","DEN","14:30","14:20","117","100","-10","14:29","9","0","0","0","0","0"
"OO","12/03/2021","4750","N904EV","DEN","07:00","06:50","122","129","-10","07:21","31","0","0","0","0","0"
"OO","12/03/2022","3614","N280SY","SLC","13:45","13:40","98","87","-5","13:48","8","0","0","0","0","0"
"OO","12/03/2022","3716","N272SY","SLC","05:54","05:46","95","90","-8","06:00","14","0","0","0","0","0"
"OO","12/03/2022","4740","N209SY","DEN","14:33","14:32","112","108","-1","14:43","11","0","0","0","0","0"
"OO","12/03/2022","4750","N206SY","DEN","06:45","06:38","125","102","-7","06:48","10","0","0","0","0","0"
"OO","12/03/2023","3436","N171SY","SEA","15:51","15:44","111","102","-7","15:51","7","0","0","0","0","0"
"OO","12/03/2023","3834","N614CZ","MSP","05:35","05:28","151","134","-7","05:41","13","0","0","0","0","0"
