Detailed Statistics Departures  
Origin Airport: Green Bay, WI: Green Bay Austin Straubel International (GRB)
Airline: American Eagle Airlines Inc. (MQ)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"MQ","12/01/2021","4049","N902BC","ORD","10:29","10:28","77","61","-1","10:33","5","0","0","0","0","0"
"MQ","12/01/2022","3383","N251NN","ORD","06:00","05:53","68","59","-7","06:01","8","0","0","0","0","0"
"MQ","12/01/2022","4014","N251NN","ORD","14:57","15:05","68","64","8","15:13","8","0","0","0","0","0"
"MQ","12/01/2022","4203","N668HH","ORD","11:11","11:01","69","87","-10","11:36","35","0","0","0","0","0"
"MQ","12/02/2021","4049","N661JA","ORD","10:43","10:39","79","69","-4","10:49","10","0","0","0","0","0"
"MQ","12/02/2022","3383","N293NN","ORD","06:00","05:54","68","63","-6","06:02","8","0","0","0","0","0"
"MQ","12/02/2022","4014","N613AE","ORD","14:57","14:51","68","73","-6","15:03","12","0","0","0","0","0"
"MQ","12/02/2022","4203","N662EH","ORD","11:11","11:08","69","60","-3","11:14","6","0","0","0","0","0"
"MQ","12/03/2021","4049","N663AR","ORD","10:43","10:34","79","76","-9","10:51","17","0","0","0","0","0"
"MQ","12/03/2022","3383","N260NN","ORD","06:00","05:56","68","90","-4","06:33","37","0","0","18","0","0"
"MQ","12/03/2022","4014","N234JW","ORD","14:57","14:53","68","66","-4","15:04","11","0","0","0","0","0"
"MQ","12/03/2022","4203","N925AE","ORD","11:11","11:07","69","64","-4","11:17","10","0","0","0","0","0"
"MQ","12/04/2021","4049","N685AE","ORD","10:43","10:35","79","59","-8","10:41","6","0","0","0","0","0"
"MQ","12/04/2022","3383","N251NN","ORD","06:00","05:56","68","69","-4","06:15","19","0","0","0","0","0"
"MQ","12/04/2022","4014","N761RW","ORD","14:57","14:57","68","64","0","15:04","7","0","0","0","0","0"
"MQ","12/04/2022","4203","N931AE","ORD","11:11","11:17","69","60","6","11:27","10","0","0","0","0","0"
"MQ","12/05/2021","4049","N908AE","ORD","10:43","10:42","79","106","-1","11:27","45","0","0","26","0","0"
"MQ","12/05/2022","3383","N763CC","ORD","06:00","05:56","68","63","-4","06:05","9","0","0","0","0","0"
"MQ","12/05/2022","4014","N212NN","ORD","14:57","14:51","68","66","-6","15:06","15","0","0","0","0","0"
"MQ","12/05/2022","4203","N668HH","ORD","11:11","11:08","69","60","-3","11:13","5","0","0","0","0","0"
"MQ","12/06/2021","4049","N908AE","ORD","10:41","10:37","79","64","-4","10:47","10","0","0","0","0","0"
"MQ","12/06/2022","3383","N252NN","ORD","06:00","06:05","68","93","5","06:36","31","5","0","25","0","0"
"MQ","12/06/2022","4014","N241NN","ORD","14:57","14:51","68","77","-6","15:03","12","0","0","0","0","0"
"MQ","12/06/2022","4203","N679AE","ORD","11:11","11:00","69","74","-11","11:13","13","0","0","0","0","0"
"MQ","12/07/2021","4049","N678AE","ORD","10:41","10:36","79","59","-5","10:40","4","0","0","0","0","0"
"MQ","12/07/2022","3383","N228NN","ORD","06:00","05:53","68","71","-7","06:04","11","0","0","0","0","0"
"MQ","12/07/2022","4014","N205NN","ORD","14:57","15:00","68","100","3","15:44","44","0","0","32","0","3"
"MQ","12/07/2022","4203","N622AE","ORD","11:11","11:10","69","96","-1","11:35","25","0","0","26","0","0"
"MQ","12/08/2021","4049","N697AB","ORD","10:41","10:34","79","64","-7","10:45","11","0","0","0","0","0"
"MQ","12/08/2022","3383","N233NN","ORD","06:00","05:54","68","75","-6","06:07","13","0","0","0","0","0"
"MQ","12/08/2022","4014","N220NN","ORD","14:57","14:47","68","64","-10","14:57","10","0","0","0","0","0"
"MQ","12/08/2022","4203","N663AR","ORD","11:11","11:04","69","69","-7","11:16","12","0","0","0","0","0"
"MQ","12/09/2021","4049","N905JH","ORD","10:41","10:34","79","70","-7","10:42","8","0","0","0","0","0"
"MQ","12/09/2022","3383","N291NN","ORD","06:00","05:56","68","63","-4","06:06","10","0","0","0","0","0"
"MQ","12/09/2022","4014","N261NN","ORD","14:57","14:55","68","68","-2","15:03","8","0","0","0","0","0"
"MQ","12/09/2022","4203","N928AE","ORD","11:11","12:25","69","68","74","12:32","7","5","0","0","0","68"
"MQ","12/10/2021","4049","N613AE","ORD","10:41","10:32","79","78","-9","10:46","14","0","0","0","0","0"
"MQ","12/10/2022","3383","N205NN","ORD","06:00","05:53","68","88","-7","06:22","29","0","0","0","0","0"
"MQ","12/10/2022","4014","N234JW","ORD","14:57","14:50","68","90","-7","15:24","34","0","0","15","0","0"
"MQ","12/10/2022","4203","N679AE","ORD","11:11","11:11","69","57","0","11:18","7","0","0","0","0","0"
"MQ","12/11/2021","4049","N677AE","ORD","10:41","10:36","79","101","-5","11:21","45","0","0","17","0","0"
"MQ","12/11/2022","3383","N290NN","ORD","06:00","06:00","68","78","0","06:28","28","0","0","0","0","0"
