Detailed Statistics Departures  
Origin Airport: Green Bay, WI: Green Bay Austin Straubel International (GRB)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3442","N638RW","ORD","08:35","08:24","74","81","-11","08:50","26","0","0","0","0","0"
"YX","12/02/2021","3442","N640RW","ORD","08:35","08:33","74","60","-2","08:44","11","0","0","0","0","0"
"YX","12/03/2021","3442","N736YX","ORD","08:35","08:24","74","76","-11","08:45","21","0","0","0","0","0"
"YX","12/04/2021","3591","N739YX","ORD","08:35","08:25","74","78","-10","08:45","20","0","0","0","0","0"
"YX","12/16/2021","3498","N855RW","ORD","06:00","06:21","77","88","21","06:36","15","21","0","11","0","0"
"YX","12/17/2021","3498","N728YX","ORD","06:00","07:19","77","56","79","07:25","6","58","0","0","0","0"
"YX","12/18/2021","3286","N857RW","ORD","12:52","12:45","78","86","-7","13:18","33","0","0","0","0","0"
"YX","12/18/2021","3498","N640RW","ORD","06:00","05:50","77","74","-10","06:03","13","0","0","0","0","0"
"YX","12/19/2021","3498","N635RW","ORD","06:00","05:56","77","79","-4","06:19","23","0","0","0","0","0"
"YX","12/20/2021","3498","N631RW","ORD","06:00","05:50","77","80","-10","06:17","27","0","0","0","0","0"
"YX","12/21/2021","3498","N731YX","ORD","06:00","05:53","77","64","-7","06:01","8","0","0","0","0","0"
"YX","12/22/2021","3498","N639RW","ORD","06:00","05:54","77","75","-6","06:17","23","0","0","0","0","0"
"YX","12/23/2021","3498","N858RW","ORD","06:00","06:05","77","70","5","06:20","15","0","0","0","0","0"
"YX","12/24/2021","3498","N647RW","ORD","06:00","05:55","77","76","-5","06:16","21","0","0","0","0","0"
"YX","12/26/2021","3498","N654RW","ORD","06:00","06:06","77","72","6","06:30","24","0","0","0","0","0"
"YX","12/27/2021","3498","N865RW","ORD","06:00","06:07","77","111","7","06:57","50","0","7","34","0","0"
"YX","12/28/2021","3498","N858RW","ORD","06:00","05:53","77","68","-7","06:11","18","0","0","0","0","0"
"YX","12/29/2021","3498","N651RW","ORD","06:00","06:00","77","79","0","06:23","23","0","0","0","0","0"
"YX","12/30/2021","3498","N651RW","ORD","06:00","06:12","77","70","12","06:28","16","0","0","0","0","0"
"YX","12/31/2021","3498","N634RW","ORD","06:00","05:52","77","73","-8","06:15","23","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
