Detailed Statistics Departures  
Origin Airport: Greensboro/High Point, NC: Piedmont Triad International (GSO)
Airline: Republic Airline (YX)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"YX","12/01/2021","3465","N865RW","EWR","05:50","05:47","117","110","-3","06:16","29","0","0","0","0","0"
"YX","12/01/2021","3609","N728YX","EWR","13:35","13:29","115","109","-6","13:52","23","0","0","0","0","0"
"YX","12/01/2021","4574","N424YX","LGA","18:08","19:50","100","114","102","20:28","38","0","102","14","0","0"
"YX","12/01/2021","4578","N432YX","LGA","06:49","06:50","99","101","1","07:18","28","0","0","0","0","0"
"YX","12/01/2021","4773","N405YX","PHL","06:00","05:51","93","104","-9","06:31","40","0","0","0","0","0"
"YX","12/01/2021","5017","N424YX","LGA","13:29","13:26","96","89","-3","13:38","12","0","0","0","0","0"
"YX","12/01/2022","3540","N726YX","EWR","06:00","05:54","119","125","-6","06:24","30","0","0","0","0","0"
"YX","12/01/2022","3571","N645RW","EWR","19:01","19:38","113","132","37","20:23","45","4","0","19","0","33"
"YX","12/01/2022","3592","N643RW","EWR","12:17","12:52","103","119","35","13:25","33","0","0","51","0","0"
"YX","12/01/2022","4403","N114HQ","LGA","11:05","10:54","100","96","-11","11:09","15","0","0","0","0","0"
"YX","12/01/2022","4557","N434YX","DCA","16:05","15:56","76","62","-9","16:08","12","0","0","0","0","0"
"YX","12/01/2022","4719","N417YX","DCA","06:00","05:54","79","62","-6","06:06","12","0","0","0","0","0"
"YX","12/01/2022","4727","N441YX","LGA","19:10","19:04","99","88","-6","19:17","13","0","0","0","0","0"
"YX","12/01/2022","4773","N444YX","LGA","06:18","06:12","101","98","-6","06:25","13","0","0","0","0","0"
"YX","12/01/2022","4809","N453YX","DCA","10:43","10:38","76","62","-5","10:50","12","0","0","0","0","0"
"YX","12/01/2023","3469","N723YX","EWR","13:36","13:22","114","111","-14","13:32","10","0","0","0","0","0"
