Detailed Statistics Departures  
Origin Airport: Greer, SC: Greenville-Spartanburg International (GSP)
Airline: Allegiant Air (G4)
Month(s): December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2021, 2022 and 2023

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"G4","12/01/2022","1315","309NV","SFB","14:56","14:47","79","72","-9","14:57","10","0","0","0","0","0"
"G4","12/01/2023","0532","221NV","FLL","10:39","10:31","113","106","-8","10:41","10","0","0","0","0","0"
"G4","12/01/2023","2596","288NV","PIE","17:42","17:39","97","85","-3","17:52","13","0","0","0","0","0"
"G4","12/02/2021","2272","234NV","SFB","15:18","15:11","82","81","-7","15:22","11","0","0","0","0","0"
"G4","12/02/2022","0531","281NV","FLL","14:34","14:34","113","107","0","14:51","17","0","0","0","0","0"
"G4","12/02/2022","2721","314NV","PIE","19:39","19:19","90","80","-20","19:28","9","0","0","0","0","0"
"G4","12/03/2021","2046","245NV","PIE","15:14","15:25","89","87","11","15:36","11","0","0","0","0","0"
"G4","12/03/2021","2615","215NV","FLL","19:07","19:14","112","106","7","19:27","13","0","0","0","0","0"
"G4","12/03/2023","1199","319NV","SFB","15:48","15:53","86","80","5","16:04","11","0","0","0","0","0"
"G4","12/04/2022","1315","317NV","SFB","14:56","14:48","79","76","-8","15:00","12","0","0","0","0","0"
"G4","12/04/2023","0533","241NV","FLL","10:39","10:29","113","109","-10","10:40","11","0","0","0","0","0"
"G4","12/04/2023","2674","335NV","PIE","17:42","18:03","97","101","21","18:21","18","0","0","4","0","21"
"G4","12/05/2021","2272","234NV","SFB","15:18","15:18","82","81","0","15:28","10","0","0","0","0","0"
"G4","12/05/2022","0531","243NV","FLL","14:34","14:28","113","95","-6","14:37","9","0","0","0","0","0"
"G4","12/05/2022","1045","314NV","PIE","19:39","19:57","90","82","18","20:08","11","0","0","0","0","0"
"G4","12/06/2021","2046","307NV","PIE","15:14","15:14","89","96","0","15:35","21","0","0","0","0","0"
"G4","12/06/2021","2615","220NV","FLL","19:07","19:01","112","111","-6","19:20","19","0","0","0","0","0"
"G4","12/07/2023","2915","244NV","SFB","15:09","15:05","84","74","-4","15:15","10","0","0","0","0","0"
"G4","12/08/2022","2857","309NV","SFB","14:56","15:28","82","73","32","15:36","8","0","0","0","0","23"
"G4","12/08/2023","0501","220NV","FLL","16:23","16:22","114","142","-1","16:38","16","0","0","27","0","0"
"G4","12/08/2023","2596","230NV","PIE","18:02","17:52","93","84","-10","18:01","9","0","0","0","0","0"
"G4","12/09/2021","2272","294NV","SFB","15:18","15:13","82","83","-5","15:27","14","0","0","0","0","0"
"G4","12/09/2022","0531","234NV","FLL","12:37","12:29","113","93","-8","12:37","8","0","0","0","0","0"
